family,mechanism,role,variant,instrument,session,entry_model,orb_minutes,rr_target,k_family,n_is,exp_r_is,t_stat,p_value,q_value,wfe,era_dead,n_oos,exp_r_oos,mean_cost_to_risk,classification
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,15,1.0,594,1225,-0.13683404081632652,-7.783542410407637,1.4926220875131108e-14,2.0521965807467494e-12,,True,57,0.04797017543859646,0.12961788378633585,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,30,2.0,594,838,-0.14676766109785203,-5.3564212763884855,1.0976371068739983e-07,2.437433328048033e-06,,True,44,-0.14395681818181819,0.11468447139952208,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,15,1.5,594,1225,-0.14789910204081633,-7.237326400197819,8.056741867326503e-13,6.053798365891146e-11,,True,57,0.10440877192982456,0.12961788378633585,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,15,2.0,594,1225,-0.15344408163265305,-6.702575234322497,3.117420903048162e-11,1.6115819100397776e-09,,True,57,0.011182456140350865,0.12961788378633585,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,30,1.5,594,838,-0.15660214797136038,-6.512649998325634,1.2725117714508836e-10,5.671014529045248e-09,,True,44,-0.07665227272727272,0.11468447139952208,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,5,1.0,594,1485,-0.16410047138047137,-9.522637890260556,6.58356098409005e-21,2.8361980719459937e-18,,True,85,-0.10858588235294121,0.14540383855835115,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,5,2.0,594,1485,-0.16688599326599327,-7.6597048697045285,3.342803535063708e-14,3.927490262469396e-12,,True,85,-0.06311058823529415,0.14540383855835115,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,CME_REOPEN,E1,5,1.5,594,1485,-0.1806175084175084,-9.24938360270133,7.613059363165687e-20,2.7330883113764815e-17,,True,85,-0.15920823529411768,0.14540383855835115,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,30,2.0,594,1646,-0.03901998784933171,-1.4209279829668986,0.15552722114493678,0.2876407850711452,,True,71,0.02148450704225352,0.09073823873936246,UNSUPPORTED_NULL_OR_NEGATIVE
baseline_orb,ORB continuation / stop cascade,standalone,NO_FILTER,MES,COMEX_SETTLE,E2,30,1.5,594,1646,-0.040730984204131224,-1.6338650208044387,0.10247854820290096,0.21440812568577913,,True,71,-0.008545070422535224,0.09073823873936246,UNSUPPORTED_NULL_OR_NEGATIVE
