family,mechanism,role,instrument,session,cells,median_exp_r,mean_exp_r,best_exp_r,bh_pass_cells,t3_cells,deployable_candidates,provisional_cells,unsupported_cells,min_n_is,max_n_is,median_oos
session_participation,ORB-window participation/liquidity,conditioner,MGC,NYSE_OPEN,36,-0.04438450178351168,-0.04214205103691911,0.08858047138047138,4,0,0,0,36,297,305,0.06870000000000001
session_participation,ORB-window participation/liquidity,conditioner,MGC,SINGAPORE_OPEN,36,-0.10847662694132873,-0.10099206319504361,0.03461245901639344,13,0,0,0,36,300,305,0.18483666666666668
session_participation,ORB-window participation/liquidity,conditioner,MGC,TOKYO_OPEN,36,-0.1547118032786885,-0.13330036034416642,0.13703157894736842,19,0,0,0,36,304,305,0.08739003496503497
session_participation,ORB-window participation/liquidity,conditioner,MGC,US_DATA_1000,36,-0.006670023805659259,-0.014186190831108662,0.08965979729729731,1,0,0,0,36,296,305,0.028465000000000018
session_participation,ORB-window participation/liquidity,conditioner,MGC,US_DATA_830,36,-0.041662105481727565,-0.03821362395921318,0.1595079734219269,6,0,0,1,35,301,304,-0.140845
session_participation,ORB-window participation/liquidity,conditioner,MNQ,BRISBANE_1025,36,-0.05729554973821989,-0.05442232617356172,0.1170982547993019,10,0,0,0,36,571,573,0.2189243464052288
session_participation,ORB-window participation/liquidity,conditioner,MNQ,CME_PRECLOSE,36,0.01930273631840796,0.031453043670143684,0.14607069597069597,9,5,0,9,27,201,546,0.07453875598086124
session_participation,ORB-window participation/liquidity,conditioner,MNQ,CME_REOPEN,36,-0.06864684466019418,-0.068137407686504,0.026492570281124502,10,0,0,0,36,290,498,-0.09099800000000001
session_participation,ORB-window participation/liquidity,conditioner,MNQ,COMEX_SETTLE,36,-0.017310344827586206,-0.01877023121589723,0.1343526315789474,5,0,0,2,34,547,551,-0.09561850000000001
session_participation,ORB-window participation/liquidity,conditioner,MNQ,EUROPE_FLOW,36,-0.015493817434754385,-0.029441740510650904,0.12345761821366026,6,0,0,0,36,569,572,0.13878635416666665
session_participation,ORB-window participation/liquidity,conditioner,MNQ,LONDON_METALS,36,-0.029041792187780403,-0.029994653302501412,0.08372924693520142,4,0,0,0,36,566,571,-0.13296777777777777
session_participation,ORB-window participation/liquidity,conditioner,MNQ,NYSE_CLOSE,36,-0.015340908141627039,-0.014525502212199892,0.09862573221757323,7,1,0,3,33,248,478,0.21873854166666667
session_participation,ORB-window participation/liquidity,conditioner,MNQ,NYSE_OPEN,36,0.0622960978860579,0.058640741254514496,0.1557326923076923,7,0,0,7,29,566,572,-0.024782829670329673
session_participation,ORB-window participation/liquidity,conditioner,MNQ,NYSE_PREOPEN,36,-0.023268705035971216,-0.0143669559056525,0.21167755834829446,10,3,0,3,33,556,557,-0.13881708669354836
session_participation,ORB-window participation/liquidity,conditioner,MNQ,SINGAPORE_OPEN,36,-0.0019471014047464002,-0.01055869775389968,0.11787873462214413,5,0,0,0,36,569,573,0.0379735294117647
session_participation,ORB-window participation/liquidity,conditioner,MNQ,TOKYO_OPEN,36,0.00046494755244755884,-0.005776693743041909,0.10844432809773125,5,0,0,1,35,570,573,0.06717142857142858
session_participation,ORB-window participation/liquidity,conditioner,MNQ,US_DATA_1000,36,0.0707088202375373,0.06031849742647361,0.13606848591549298,10,2,0,8,28,568,571,0.011267036290322552
session_participation,ORB-window participation/liquidity,conditioner,MNQ,US_DATA_830,36,-0.07023590192644484,-0.07024715123086955,0.06201926444833626,9,0,0,0,36,570,571,-0.2941782913165266
size_friction,ORB size relative to friction,filter_conditioner,MES,CME_PRECLOSE,72,-0.011896320754716982,-0.0013132576961516658,0.1604858181818182,26,1,0,6,66,275,1203,-0.072218
size_friction,ORB size relative to friction,filter_conditioner,MES,CME_REOPEN,72,-0.08040754716981133,-0.07955351901714851,0.0015531250000000094,32,0,0,0,72,217,814,-0.12206590909090911
size_friction,ORB size relative to friction,filter_conditioner,MES,COMEX_SETTLE,72,-0.030065574005443643,-0.02846504138591918,0.16126399999999996,22,0,0,0,72,167,1473,-0.015032537313432856
size_friction,ORB size relative to friction,filter_conditioner,MES,EUROPE_FLOW,72,-0.07649733350064308,-0.07854276997950291,0.03984553775743707,13,0,0,0,72,75,1310,0.10240219059801728
size_friction,ORB size relative to friction,filter_conditioner,MES,LONDON_METALS,72,-0.040131263811827196,-0.047519609473523176,0.09091440677966102,15,0,0,0,72,118,1485,-0.06838079937304076
size_friction,ORB size relative to friction,filter_conditioner,MES,NYSE_CLOSE,72,-0.031153000886062765,-0.026031102346694188,0.08531462585034014,16,0,0,0,72,158,868,0.1332807692307692
size_friction,ORB size relative to friction,filter_conditioner,MES,NYSE_OPEN,72,0.02587505295482859,0.023672253586421985,0.11034843110504776,15,4,0,12,60,752,1688,-0.009496000000000003
size_friction,ORB size relative to friction,filter_conditioner,MES,SINGAPORE_OPEN,72,-0.01558259775051338,-0.0061772471883614856,0.1759132075471698,2,0,0,0,72,53,1046,-0.09311669696969699
size_friction,ORB size relative to friction,filter_conditioner,MES,TOKYO_OPEN,72,-0.013574492649486338,-0.0020654503941200724,0.21224153846153845,6,0,0,0,72,65,1221,0.08019919354838709
size_friction,ORB size relative to friction,filter_conditioner,MES,US_DATA_1000,72,0.027376182391639255,0.022913526516623543,0.12812237569060772,11,2,0,10,62,624,1651,0.0122716216216216
size_friction,ORB size relative to friction,filter_conditioner,MES,US_DATA_830,72,-0.046671905617235616,-0.04912935657454964,0.023011284722222223,17,0,0,0,72,373,1480,-0.0844084393939394
