session,om,rr,dir,filter,n_full,t_full,expr_full,is_t,oos_n,oos_expr,oos_t,oos_pw,tier,dir_match,p_full,bh_rank,bh_crit,bh_pass_Kfamily
US_DATA_1000,15,1.5,long,none,508,0.18,0.0081,-0.96,153,0.1401,1.61,0.1,STATISTICALLY_USELESS,False,0.8572244877885257,1772,0.04447791164658635,False
LONDON_METALS,30,1.0,long,none,506,0.18,0.007,-0.02,152,0.0259,0.34,0.05,STATISTICALLY_USELESS,False,0.8572247725460863,1773,0.04450301204819277,False
LONDON_METALS,15,1.5,long,atr_20_pct>=60,317,0.18,0.0112,0.43,96,-0.0347,-0.3,0.06,STATISTICALLY_USELESS,False,0.8572679404662976,1774,0.0445281124497992,False
LONDON_METALS,30,2.0,long,atr_20_pct>=60,311,0.18,0.0135,0.54,94,-0.0646,-0.47,0.06,STATISTICALLY_USELESS,False,0.8572701725492086,1775,0.04455321285140562,False
EUROPE_FLOW,15,1.5,long,atr_20_pct>=60,298,-0.18,-0.0113,0.35,90,-0.0973,-0.81,0.06,STATISTICALLY_USELESS,False,0.8572753179791809,1776,0.04457831325301205,False
CME_REOPEN,15,1.0,long,atr_20_pct>=75,168,0.18,0.0097,-1.32,51,0.2103,1.84,0.14,STATISTICALLY_USELESS,False,0.8573707976695384,1777,0.04460341365461848,False
US_DATA_1000,5,2.0,long,garch_forecast_vol_pct>=70,164,0.18,0.0182,0.11,50,0.0313,0.16,0.05,STATISTICALLY_USELESS,True,0.8573761487278309,1778,0.0446285140562249,False
US_DATA_1000,5,1.0,long,atr_20_pct<=40,122,-0.18,-0.0133,-0.22,37,-0.0003,-0.0,0.05,STATISTICALLY_USELESS,True,0.8574536716878722,1779,0.04465361445783133,False
TOKYO_OPEN,15,2.0,long,day_of_week==1,112,0.18,0.0202,-0.42,34,0.188,0.8,0.06,STATISTICALLY_USELESS,False,0.8574807661955339,1780,0.04467871485943775,False
EUROPE_FLOW,30,2.0,long,day_of_week==0,108,-0.18,-0.0215,0.01,33,-0.0732,-0.31,0.05,STATISTICALLY_USELESS,False,0.8574930202764235,1781,0.04470381526104418,False
LONDON_METALS,30,2.0,short,day_of_week==3,100,-0.18,-0.0225,-0.91,30,0.2296,0.88,0.09,STATISTICALLY_USELESS,False,0.8575204951475743,1782,0.04472891566265061,False
COMEX_SETTLE,30,1.5,long,day_of_week==0,88,-0.18,-0.0163,-0.59,27,0.083,0.44,0.07,STATISTICALLY_USELESS,False,0.8575711670723828,1783,0.04475401606425703,False
US_DATA_1000,15,2.0,long,none,508,0.17,0.0083,-0.9,153,0.1427,1.5,0.09,STATISTICALLY_USELESS,False,0.8650779490464136,1784,0.04477911646586346,False
LONDON_METALS,15,2.0,long,none,498,0.17,0.0098,-0.47,150,0.1033,0.93,0.06,STATISTICALLY_USELESS,False,0.8650793131289575,1785,0.04480421686746988,False
EUROPE_FLOW,30,1.0,short,atr_20_pct>=60,312,-0.17,-0.0087,-1.1,94,0.1225,1.3,0.11,STATISTICALLY_USELESS,False,0.8651206684751958,1786,0.04482931726907631,False
TOKYO_OPEN,15,2.0,short,garch_forecast_vol_pct>=70,151,-0.17,-0.0178,-0.16,46,-0.0146,-0.07,0.05,STATISTICALLY_USELESS,True,0.8652392038339726,1787,0.04485441767068274,False
TOKYO_OPEN,30,2.0,long,day_of_week==1,120,0.17,0.0193,-0.97,36,0.3442,1.49,0.09,STATISTICALLY_USELESS,False,0.8652988116191777,1788,0.044879518072289154,False
NYSE_OPEN,15,1.0,long,day_of_week==1,102,0.17,0.0147,0.38,31,-0.0407,-0.25,0.06,STATISTICALLY_USELESS,False,0.8653501921699165,1789,0.04490461847389558,False
COMEX_SETTLE,30,1.5,short,day_of_week==2,99,0.17,0.015,-0.35,30,0.1307,0.75,0.06,STATISTICALLY_USELESS,False,0.8653605881389813,1790,0.04492971887550201,False
NYSE_OPEN,5,1.0,short,day_of_week==4,97,-0.17,-0.0149,-0.77,30,0.1316,0.77,0.08,STATISTICALLY_USELESS,False,0.8653678792577566,1791,0.04495481927710843,False
EUROPE_FLOW,15,2.0,long,day_of_week==4,88,-0.17,-0.0226,0.38,27,-0.2046,-0.85,0.06,STATISTICALLY_USELESS,False,0.8654048313549925,1792,0.04497991967871486,False
US_DATA_1000,30,2.0,short,garch_forecast_vol_pct<=30,87,0.17,0.0157,-0.88,27,0.2677,1.56,0.09,STATISTICALLY_USELESS,False,0.8654094138222912,1793,0.045005020080321284,False
US_DATA_830,30,1.5,short,garch_forecast_vol_pct<=30,82,-0.17,-0.0194,0.2,25,-0.1217,-0.57,0.05,STATISTICALLY_USELESS,False,0.8654340205747033,1794,0.04503012048192771,False
NYSE_OPEN,15,1.5,short,atr_20_pct<=25,82,-0.17,-0.0187,-0.23,25,0.0079,0.04,0.05,STATISTICALLY_USELESS,False,0.8654340205747033,1795,0.04505522088353414,False
US_DATA_830,5,1.5,short,atr_20_pct>=60,305,0.16,0.0098,-0.69,92,0.1429,1.18,0.07,STATISTICALLY_USELESS,False,0.8729873325370597,1796,0.045080321285140564,False
US_DATA_1000,5,1.5,short,atr_20_pct>=60,286,-0.16,-0.0102,-0.28,86,0.0123,0.1,0.05,STATISTICALLY_USELESS,False,0.8729944132346299,1797,0.04510542168674699,False
NYSE_OPEN,30,1.0,short,atr_20_pct>=75,212,0.16,0.0093,-0.34,64,0.0831,0.74,0.06,STATISTICALLY_USELESS,False,0.873034138240486,1798,0.045130522088353414,False
EUROPE_FLOW,15,2.0,long,overnight_range_pct>=70,186,0.16,0.0147,-0.25,56,0.1115,0.61,0.05,STATISTICALLY_USELESS,False,0.8730556349535302,1799,0.04515562248995984,False
US_DATA_1000,5,1.5,long,overnight_range_pct>=80,144,0.16,0.0143,0.28,44,-0.0193,-0.11,0.05,STATISTICALLY_USELESS,False,0.8731068582016966,1800,0.04518072289156627,False
LONDON_METALS,5,2.0,short,garch_forecast_vol_pct>=70,143,0.16,0.0163,-0.43,43,0.1712,0.8,0.06,STATISTICALLY_USELESS,False,0.8731084467794389,1801,0.045205823293172694,False
EUROPE_FLOW,5,2.0,long,day_of_week==2,112,-0.16,-0.0173,-0.46,34,0.0727,0.32,0.06,STATISTICALLY_USELESS,False,0.8731718729517591,1802,0.04523092369477912,False
NYSE_OPEN,30,1.0,long,garch_forecast_vol_pct<=30,107,0.16,0.0126,0.17,33,0.0043,0.03,0.05,STATISTICALLY_USELESS,True,0.8731855730211023,1803,0.045256024096385544,False
COMEX_SETTLE,30,1.5,long,day_of_week==3,102,0.16,0.0134,-0.24,31,0.0981,0.56,0.05,STATISTICALLY_USELESS,False,0.8732006277615927,1804,0.04528112449799197,False
SINGAPORE_OPEN,15,1.0,long,day_of_week==4,89,0.16,0.0139,-0.6,27,0.1843,1.03,0.07,STATISTICALLY_USELESS,False,0.8732477644376894,1805,0.0453062248995984,False
NYSE_OPEN,15,2.0,short,atr_20_pct<=25,82,-0.16,-0.0193,-0.25,25,0.0186,0.08,0.05,STATISTICALLY_USELESS,False,0.8732794024390048,1806,0.04533132530120482,False
NYSE_OPEN,15,2.0,long,none,509,-0.15,-0.0077,-0.92,153,0.0995,1.01,0.09,STATISTICALLY_USELESS,False,0.8808241507992476,1807,0.045356425702811246,False
SINGAPORE_OPEN,30,1.5,long,none,501,0.15,0.0075,-0.73,151,0.1209,1.27,0.08,STATISTICALLY_USELESS,False,0.8808251031247549,1808,0.045381526104417674,False
NYSE_OPEN,15,1.0,short,none,477,-0.15,-0.0062,-0.3,144,0.0124,0.16,0.05,STATISTICALLY_USELESS,False,0.8808281521152886,1809,0.045406626506024096,False
NYSE_OPEN,5,2.0,long,atr_20_pct>=75,222,0.15,0.0131,0.04,67,0.0335,0.2,0.05,STATISTICALLY_USELESS,True,0.880901421402091,1810,0.045431726907630525,False
US_DATA_1000,15,1.0,long,overnight_range_pct>=70,187,0.15,0.0095,-0.81,57,0.1656,1.38,0.08,STATISTICALLY_USELESS,False,0.8809271466992264,1811,0.04545682730923695,False
US_DATA_830,30,1.0,long,atr_20_pct<=40,118,-0.15,-0.0117,-0.86,36,0.1388,1.01,0.09,STATISTICALLY_USELESS,False,0.8810228927305476,1812,0.045481927710843376,False
LONDON_METALS,30,1.0,short,atr_20_pct<=40,115,-0.15,-0.0117,0.44,35,-0.1306,-0.9,0.06,STATISTICALLY_USELESS,False,0.8810296817692713,1813,0.045507028112449804,False
EUROPE_FLOW,5,2.0,long,day_of_week==1,112,-0.15,-0.0168,-0.53,34,0.0936,0.41,0.06,STATISTICALLY_USELESS,False,0.8810368373490053,1814,0.045532128514056226,False
US_DATA_1000,5,1.5,short,overnight_range_pct>=80,110,0.15,0.0156,0.61,33,-0.117,-0.58,0.07,STATISTICALLY_USELESS,False,0.8810418262967807,1815,0.045557228915662655,False
US_DATA_1000,5,2.0,short,overnight_range_pct>=80,110,0.15,0.0177,1.19,33,-0.3257,-1.65,0.12,STATISTICALLY_USELESS,False,0.8810418262967807,1816,0.04558232931726908,False
SINGAPORE_OPEN,30,1.5,long,day_of_week==0,105,-0.15,-0.0162,-1.2,32,0.2899,1.39,0.12,STATISTICALLY_USELESS,False,0.8810551370909246,1817,0.045607429718875506,False
US_DATA_830,5,1.0,long,day_of_week==4,104,0.15,0.0128,-0.84,32,0.2327,1.52,0.08,STATISTICALLY_USELESS,False,0.88105795412876,1818,0.045632530120481934,False
US_DATA_830,30,1.5,short,day_of_week==0,96,0.15,0.0158,0.55,29,-0.1025,-0.49,0.06,STATISTICALLY_USELESS,False,0.8810826224861705,1819,0.045657630522088356,False
US_DATA_830,5,2.0,short,day_of_week==4,93,-0.15,-0.0181,-0.26,28,0.0212,0.08,0.05,STATISTICALLY_USELESS,False,0.8810929775865123,1820,0.045682730923694785,False
SINGAPORE_OPEN,5,1.0,short,day_of_week==0,91,-0.15,-0.0129,-0.44,28,0.057,0.32,0.06,STATISTICALLY_USELESS,False,0.8811002639451953,1821,0.04570783132530121,False
EUROPE_FLOW,30,2.0,short,day_of_week==0,88,-0.15,-0.0193,-0.17,27,-0.0029,-0.01,0.05,STATISTICALLY_USELESS,True,0.8811118206612517,1822,0.045732931726907636,False
