strategy,session,filter,n_is,mean_is,annual_r,sharpe,skewness,kurtosis_excess,t,p,wfe,era_ok,years_positive,years_eligible,dd,tail5,start,end,n_2026,mean_2026,trades_per_year,era_detail,year_detail,orb_minutes,rr,null_pnl_is,null_pnl_total,p_for_bh,q_global,q_session,sr0,dsr,strict_pass,research_shortlist
MNQ_BRISBANE_1025_O15_E2_RR1_DIR_LONG,BRISBANE_1025,DIR_LONG,908,0.04157466960352424,5.676457163441747,0.046998200315853084,-0.3108872523262068,-1.871962382385611,1.4161985723406094,0.1570606972414463,0.802424277410282,True,5,7,16.326199999999996,-1.0,2019-05-07,2025-12-29,45,0.2240488888888889,136.5364347468094,2019:85:+0.070;2020_2022:408:+0.054;2023:127:-0.011;2024_2025:288:+0.038,2019:85:+0.070;2020:146:+0.037;2021:140:+0.036;2022:122:+0.096;2023:127:-0.011;2024:141:+0.080;2025:147:-0.002,15,1.0,0,0,0.1570606972414463,0.2938608994229619,0.7834870663437744,0.1841826006474741,2.0523428884311468e-05,False,False
MNQ_NYSE_CLOSE_O5_E2_RR1_COST_LT08,NYSE_CLOSE,COST_LT08,791,0.04668053097345133,5.669020838587642,0.06562989706684141,-0.21196542237535196,-1.3243751008247298,1.8458226243879232,0.06529194375416872,0.36047247598024845,False,4,6,16.76520000000001,-1.0,2019-06-28,2025-12-31,69,0.2626057971014493,121.44293820933164,2019:LOW_N=12;2020_2022:382:+0.094;2023:75:-0.101;2024_2025:322:+0.015,2019:LOW_N=12;2020:127:+0.101;2021:93:+0.068;2022:162:+0.103;2023:75:-0.101;2024:147:+0.062;2025:175:-0.025,5,1.0,1,1,0.06529194375416872,0.16630966805307126,0.24484478907813267,0.1841826006474741,0.000469775808680184,False,False
MNQ_NYSE_CLOSE_O5_E2_RR2_ATR_P30,NYSE_CLOSE,ATR_P30,981,0.038290417940876655,5.646028487654321,0.04431167525251308,0.5515958591912753,-0.5316314383890024,1.3878824146786286,0.16548830464965308,0.12691664280040513,False,3,7,20.737600000000022,-1.0,2019-05-08,2025-12-31,78,0.18912820512820513,147.45277777777778,2019:60:-0.107;2020_2022:494:+0.080;2023:90:-0.046;2024_2025:337:+0.025,2019:60:-0.107;2020:198:+0.191;2021:118:-0.047;2022:178:+0.042;2023:90:-0.046;2024:194:+0.104;2025:143:-0.083,5,2.0,1,1,0.16548830464965308,0.30358180771698773,0.39194598469654673,0.1841826006474741,4.678362917620582e-06,False,False
MNQ_NYSE_PREOPEN_O15_E2_RR2_COST_LT08,NYSE_PREOPEN,COST_LT08,1125,0.033348,5.634416786595395,0.024329197009299208,0.5779939105461088,-1.6639306585154896,0.816026075261664,0.41465811864900926,0.9863421781060228,False,3,6,28.31460000000001,-1.0,2019-05-06,2025-12-31,83,-0.027343373493975934,168.95816200657893,2019:LOW_N=25;2020_2022:503:+0.079;2023:177:-0.079;2024_2025:420:+0.047,2019:LOW_N=25;2020:133:-0.034;2021:137:+0.142;2022:233:+0.107;2023:177:-0.079;2024:199:+0.116;2025:221:-0.015,15,2.0,0,0,0.41465811864900926,0.582477251839523,0.6813836752238145,0.1841826006474741,3.384257546423797e-08,False,False
MNQ_CME_PRECLOSE_O15_E2_RR2_ORB_VOL_Q67,CME_PRECLOSE,ORB_VOL_Q67,374,0.08774224598930482,5.627182112676056,0.14162483351887492,0.8110387679082909,1.4150553134614192,2.7388939295816366,0.006460433123186557,0.5010842526582663,False,3,3,6.5489999999999995,-1.0,2020-03-03,2025-12-31,58,0.13036034482758624,64.1330985915493,2019:LOW_N=0;2020_2022:128:+0.129;2023:LOW_N=24;2024_2025:222:+0.060,2020:LOW_N=14;2021:LOW_N=29;2022:85:+0.184;2023:LOW_N=24;2024:71:+0.096;2025:151:+0.044,15,2.0,0,0,0.006460433123186557,0.030198138703932852,0.011538787644008982,0.1841826006474741,0.19343685623024892,False,False
MNQ_LONDON_METALS_O5_E2_RR1_ATR_P70,LONDON_METALS,ATR_P70,617,0.06033273905996759,5.625378909805545,0.06583447285464879,-0.2877682784205512,-1.9092812505095078,1.6352943809915492,0.10249819844356207,2.0411059129347033,False,5,5,13.3062,-1.0,2019-05-08,2025-12-18,49,-0.18493469387755104,93.23924286305338,2019:LOW_N=25;2020_2022:309:+0.028;2023:LOW_N=7;2024_2025:276:+0.098,2019:LOW_N=25;2020:146:+0.008;2021:71:+0.011;2022:92:+0.075;2023:LOW_N=7;2024:151:+0.126;2025:125:+0.064,5,1.0,0,0,0.10249819844356207,0.22180559589204862,0.3184861819029847,0.1841826006474741,0.001808600020131168,False,False
MNQ_NYSE_OPEN_O15_E2_RR1_5_ATR_P70,NYSE_OPEN,ATR_P70,618,0.06009919093851133,5.612685074472487,0.05293027467394499,0.2636869481375223,-1.8109861857917826,1.3158257627142829,0.18872121250602225,7.4348559213471015,False,3,5,28.049999999999997,-1.0,2019-05-08,2025-12-18,48,0.23020208333333333,93.39035995035168,2019:LOW_N=25;2020_2022:311:-0.013;2023:LOW_N=7;2024_2025:275:+0.146,2019:LOW_N=25;2020:148:-0.131;2021:71:+0.244;2022:92:-0.022;2023:LOW_N=7;2024:151:+0.106;2025:124:+0.195,15,1.5,0,0,0.18872121250602225,0.3285771110595923,0.2105567246968017,0.1841826006474741,0.0005135208360400045,False,False
MNQ_BRISBANE_1025_O30_E2_RR2_ATR_P30,BRISBANE_1025,ATR_P30,1168,0.03178270547945207,5.579787469135805,0.02356259939153591,0.5495581417700441,-1.6892911131891166,0.8052757498027976,0.42082460974792546,0.4165256696269589,False,4,7,47.40910000000003,-1.0,2019-05-08,2025-12-31,86,0.18254767441860467,175.5604938271605,2019:68:-0.082;2020_2022:582:+0.031;2023:115:-0.008;2024_2025:403:+0.064,2019:68:-0.082;2020:236:+0.125;2021:142:+0.015;2022:204:-0.067;2023:115:-0.008;2024:232:+0.031;2025:171:+0.108,30,2.0,0,0,0.42082460974792546,0.5875474861635713,0.8607776108480294,0.1841826006474741,1.668625210227148e-08,False,False
MNQ_CME_PRECLOSE_O15_E2_RR1_5_ORB_SIZE_Q67,CME_PRECLOSE,ORB_SIZE_Q67,378,0.08631428571428572,5.5738721702525735,0.15401467975480954,0.45856876285507253,0.7193586150039764,2.9943876097177413,0.002931417139305751,0.608868274869397,False,3,5,6.596700000000013,-1.0,2020-02-24,2025-12-31,29,0.02220344827586209,64.5764733395697,2019:LOW_N=0;2020_2022:185:+0.114;2023:LOW_N=22;2024_2025:171:+0.057,2020:58:+0.213;2021:38:-0.024;2022:89:+0.108;2023:LOW_N=22;2024:71:-0.002;2025:100:+0.099,15,1.5,0,0,0.002931417139305751,0.016127388963892143,0.005653447340089662,0.1841826006474741,0.27345378657294955,False,False
MNQ_NYSE_OPEN_O30_E2_RR1_5_ATR_P70,NYSE_OPEN,ATR_P70,618,0.05966019417475728,5.571687008688457,0.058038047517269716,0.2611909872680565,-1.5991861001227914,1.4428029820606891,0.14958343614418215,4.203355228412611,False,4,5,16.8701,-1.0,2019-05-08,2025-12-18,48,0.16457916666666667,93.39035995035168,2019:LOW_N=25;2020_2022:311:+0.005;2023:LOW_N=7;2024_2025:275:+0.123,2019:LOW_N=25;2020:148:-0.036;2021:71:+0.011;2022:92:+0.069;2023:LOW_N=7;2024:151:+0.155;2025:124:+0.084,30,1.5,0,0,0.14958343614418215,0.2830420086374551,0.17713827964442624,0.1841826006474741,0.0007974233227179273,False,False
MNQ_TOKYO_OPEN_O30_E2_RR2_ATR_P50,TOKYO_OPEN,ATR_P50,913,0.04040788608981379,5.563562799339389,0.029648564800968565,0.5557161190073325,-1.6812782012961265,0.8958577685176107,0.3705651226391562,-0.21176804822912146,False,3,7,56.545499999999954,-1.0,2019-05-08,2025-12-23,64,0.09312812500000002,137.68507431874485,2019:50:+0.177;2020_2022:467:+0.144;2023:LOW_N=47;2024_2025:349:-0.088,2019:50:+0.177;2020:207:+0.220;2021:107:-0.044;2022:153:+0.172;2023:47:-0.181;2024:204:-0.134;2025:145:-0.023,30,2.0,0,0,0.3705651226391562,0.5331503745831182,0.413440426085009,0.1841826006474741,1.2656923671361398e-06,False,False
