inst,sess,apt,rr,dir,n_on,n_off,expr_on,expr_off,delta
MNQ,EUROPE_FLOW,5,1.0,long,179,524,0.08815307262569833,0.03327041984732824,0.05488265277837009
MNQ,EUROPE_FLOW,5,1.0,short,201,542,0.11640149253731343,0.06778450184501845,0.04861699069229497
MNQ,EUROPE_FLOW,5,1.5,long,179,524,0.1399435754189944,0.0700013358778626,0.06994223954113181
MNQ,EUROPE_FLOW,5,1.5,short,201,542,0.0886238805970149,0.05680830258302584,0.03181557801398906
MNQ,EUROPE_FLOW,5,2.0,long,179,524,0.12067709497206701,0.07792652671755719,0.04275056825450982
MNQ,EUROPE_FLOW,5,2.0,short,201,542,0.1690587064676617,0.09699114391143908,0.07206756255622261
MNQ,EUROPE_FLOW,15,1.0,long,186,551,0.12124301075268816,0.029788747731397443,0.09145426302129071
MNQ,EUROPE_FLOW,15,1.0,short,194,515,0.08749381443298969,-0.006093009708737842,0.09358682414172753
MNQ,EUROPE_FLOW,15,1.5,long,186,550,0.07110591397849465,0.06167963636363636,0.009426277614858293
MNQ,EUROPE_FLOW,15,1.5,short,194,515,0.14945876288659798,-0.01719961165048542,0.1666583745370834
MNQ,EUROPE_FLOW,15,2.0,long,186,549,0.04067204301075269,0.07693005464480873,-0.036258011634056043
MNQ,EUROPE_FLOW,15,2.0,short,194,514,0.19132989690721644,-0.012720817120622584,0.20405071402783903
MNQ,EUROPE_FLOW,30,1.0,long,194,573,0.04885206185567007,0.023425305410122145,0.025426756445547927
MNQ,EUROPE_FLOW,30,1.0,short,185,485,0.1445913513513513,0.013111958762886585,0.1314793925884647
MNQ,EUROPE_FLOW,30,1.5,long,193,570,-0.05456839378238341,0.014122631578947388,-0.0686910253613308
MNQ,EUROPE_FLOW,30,1.5,short,185,483,0.14358972972972978,0.018894202898550736,0.12469552683117904
MNQ,EUROPE_FLOW,30,2.0,long,193,569,-0.028501036269430045,-0.015751318101933216,-0.012749718167496829
MNQ,EUROPE_FLOW,30,2.0,short,185,480,0.21823081081081078,0.05906104166666666,0.1591697691441441
MNQ,US_DATA_830,5,1.0,long,192,502,-0.02393697916666666,0.03480916334661354,-0.0587461425132802
MNQ,US_DATA_830,5,1.0,short,183,536,0.11742841530054643,0.023619962686567162,0.09380845261397927
MNQ,US_DATA_830,5,1.5,long,191,494,-0.09165392670157063,-0.008978947368421029,-0.0826749793331496
MNQ,US_DATA_830,5,1.5,short,181,528,0.0740657458563536,0.06854318181818184,0.005522564038171765
MNQ,US_DATA_830,5,2.0,long,189,485,-0.06396031746031748,-0.044468041237113405,-0.019492276223204076
MNQ,US_DATA_830,5,2.0,short,180,525,0.10795444444444446,0.06206533333333335,0.04588911111111112
MNQ,US_DATA_830,15,1.0,long,189,518,-0.05432380952380953,0.047808108108108094,-0.10213191763191762
MNQ,US_DATA_830,15,1.0,short,184,505,0.1349663043478261,-0.01777267326732673,0.15273897761515284
MNQ,US_DATA_830,15,1.5,long,188,508,0.022458510638297877,0.039337401574803144,-0.016878890936505266
MNQ,US_DATA_830,15,1.5,short,182,497,0.14363736263736263,-0.010141046277665995,0.1537784089150286
MNQ,US_DATA_830,15,2.0,long,185,497,-0.03446594594594593,-0.010264587525150906,-0.024201358420795023
MNQ,US_DATA_830,15,2.0,short,180,494,0.09949944444444445,-0.05054574898785425,0.1500451934322987
MNQ,US_DATA_830,30,1.0,long,172,534,-0.019989534883720926,0.09652940074906367,-0.11651893563278459
MNQ,US_DATA_830,30,1.0,short,196,479,0.01641581632653063,0.02211085594989563,-0.005695039623365001
MNQ,US_DATA_830,30,1.5,long,171,519,-0.03625146198830408,0.05275414258188824,-0.08900560457019233
MNQ,US_DATA_830,30,1.5,short,191,471,-0.06554188481675392,-0.04050934182590235,-0.025032542990851572
MNQ,US_DATA_830,30,2.0,long,167,507,-0.04248083832335328,0.06821163708086785,-0.11069247540422113
MNQ,US_DATA_830,30,2.0,short,190,465,-0.07167894736842104,-0.05469870967741938,-0.016980237691001654
MNQ,NYSE_OPEN,5,1.0,long,176,543,0.030246022727272715,0.10530349907918969,-0.07505747635191698
MNQ,NYSE_OPEN,5,1.0,short,201,505,0.13618308457711445,0.0994,0.03678308457711445
MNQ,NYSE_OPEN,5,1.5,long,175,521,0.030960571428571435,0.14717869481765836,-0.11621812338908692
MNQ,NYSE_OPEN,5,1.5,short,197,498,0.05209543147208121,0.14601425702811244,-0.09391882555603123
MNQ,NYSE_OPEN,5,2.0,long,171,501,0.009542105263157876,0.15870299401197605,-0.14916088874881817
MNQ,NYSE_OPEN,5,2.0,short,195,481,0.06478615384615385,0.1131906444906445,-0.04840449064449065
MNQ,NYSE_OPEN,15,1.0,long,174,489,-0.03858678160919541,0.15696850715746422,-0.19555528876665962
MNQ,NYSE_OPEN,15,1.0,short,184,461,0.09021195652173915,0.11280390455531454,-0.022591948033575393
MNQ,NYSE_OPEN,15,1.5,long,164,426,-0.010843292682926827,0.1027030516431925,-0.11354634432611933
MNQ,NYSE_OPEN,15,1.5,short,170,422,-0.002224117647058827,0.13269976303317532,-0.13492388068023414
MNQ,NYSE_OPEN,15,2.0,long,143,378,-0.13372937062937063,0.041832275132275124,-0.17556164576164573
MNQ,NYSE_OPEN,15,2.0,short,161,386,-0.04759813664596273,0.106730310880829,-0.15432844752679173
MNQ,NYSE_OPEN,30,1.0,long,151,392,0.04556291390728475,0.16463265306122454,-0.11906973915393979
MNQ,NYSE_OPEN,30,1.0,short,156,374,0.08854679487179488,0.13666577540106953,-0.048118980529274644
MNQ,NYSE_OPEN,30,1.5,long,117,310,-0.17825811965811966,0.0735090322580645,-0.25176715191618415
MNQ,NYSE_OPEN,30,1.5,short,133,311,0.039422556390977415,0.0773176848874598,-0.03789512849648238
MNQ,NYSE_OPEN,30,2.0,long,99,251,-0.46176363636363643,-0.1707581673306773,-0.2910054690329591
MNQ,NYSE_OPEN,30,2.0,short,114,267,-0.1170175438596491,-0.02347153558052435,-0.09354600827912475
MNQ,US_DATA_1000,5,1.0,long,195,548,0.020480512820512838,0.03679270072992699,-0.016312187909414154
MNQ,US_DATA_1000,5,1.0,short,182,507,0.21408681318681325,0.16307534516765287,0.05101146801916037
MNQ,US_DATA_1000,5,1.5,long,195,535,0.0768953846153846,0.0318614953271028,0.0450338892882818
MNQ,US_DATA_1000,5,1.5,short,182,497,0.1847137362637363,0.15327525150905436,0.031438484754681945
