trading_day,pnl_r,pnl_r0,outcome,is_is,is_oos,is_scratch,orb_US_DATA_1000_break_dir,orb_US_DATA_1000_size,o5_open,o5_close,o5_high,o5_low,o5_size,o5_volume,o5_clv,feature_fire,lane_fire
2019-10-11,1.2748,1.2748,win,True,False,0,long,14.5,7873.25,7882.5,7885.25,7873.25,12.0,3139.0,0.7708333333333334,1,1
2019-10-15,1.3375,1.3375,win,True,False,0,long,20.75,7894.75,7902.0,7903.5,7894.75,8.75,2545.0,0.8285714285714286,1,1
2019-10-18,1.3216,1.3216,win,True,False,0,short,18.75,7950.0,7938.5,7950.75,7936.5,14.25,3053.0,0.14035087719298245,1,1
2019-10-25,1.3194,1.3194,win,True,False,0,long,18.5,7964.5,7964.75,7972.5,7962.5,10.0,3492.0,0.225,0,1
2019-10-28,1.1511,1.1511,win,True,False,0,long,8.75,8092.0,8090.0,8095.25,8088.75,6.5,2077.0,0.19230769230769232,0,1
2019-10-31,-1.0,-1.0,loss,True,False,0,short,27.5,8087.25,8082.0,8087.5,8077.5,10.0,5110.0,0.45,0,1
2019-11-04,-1.0,-1.0,loss,True,False,0,long,15.5,8220.0,8210.25,8220.75,8205.25,15.5,4332.0,0.3225806451612903,0,1
2019-11-06,1.1592,1.1592,win,True,False,0,short,9.0,8199.5,8200.0,8202.75,8197.75,5.0,2313.0,0.45,0,1
2019-11-07,1.256,1.256,win,True,False,0,long,13.25,8254.0,8250.0,8257.5,8249.0,8.5,1726.0,0.11764705882352941,0,1
2019-11-11,1.1948,1.1948,win,True,False,0,long,10.25,8228.5,8225.25,8231.5,8225.0,6.5,1492.0,0.038461538461538464,0,1
2019-11-12,1.2385,1.2385,win,True,False,0,long,12.25,8272.25,8268.75,8276.25,8268.25,8.0,2835.0,0.0625,0,1
2019-11-13,-1.0,-1.0,loss,True,False,0,long,12.75,8254.75,8260.5,8262.5,8249.75,12.75,3978.0,0.8431372549019608,1,1
2019-11-18,-1.0,-1.0,loss,True,False,0,short,10.0,8296.0,8298.25,8301.5,8295.0,6.5,2976.0,0.5,0,1
2019-11-22,1.3238,1.3238,win,True,False,0,short,19.0,8285.75,8286.0,8292.25,8284.25,8.0,2488.0,0.21875,1,1
2019-11-27,1.2184,1.2184,win,True,False,0,long,11.25,8416.0,8417.75,8418.75,8410.0,8.75,2714.0,0.8857142857142857,1,1
2019-12-10,-1.0,-1.0,loss,True,False,0,long,21.5,8363.25,8364.25,8368.75,8358.75,10.0,3245.0,0.55,0,1
2019-12-26,1.0554,1.0554,win,True,False,0,long,6.5,8756.75,8760.5,8762.25,8756.75,5.5,984.0,0.6818181818181818,0,1
2019-12-30,-1.0,-1.0,loss,True,False,0,short,23.75,8714.5,8710.5,8721.75,8710.25,11.5,2746.0,0.021739130434782608,1,1
2019-12-31,-1.0,-1.0,loss,True,False,0,short,26.75,8736.5,8724.0,8740.75,8722.0,18.75,2602.0,0.10666666666666667,1,1
2020-01-03,1.341,1.341,win,True,False,0,long,21.25,8825.25,8811.0,8825.25,8805.0,20.25,5824.0,0.2962962962962963,0,1
2020-01-06,1.2879,1.2879,win,True,False,0,long,15.5,8797.25,8799.0,8802.25,8792.25,10.0,3125.0,0.675,0,1
2020-01-08,-1.0,-1.0,loss,True,False,0,long,10.75,8890.5,8891.0,8894.25,8888.0,6.25,1796.0,0.48,0,1
2020-01-09,-1.0,-1.0,loss,True,False,0,long,15.0,9004.0,9001.0,9007.0,8992.0,15.0,4429.0,0.6,0,1
2020-01-17,-1.0,-1.0,loss,True,False,0,short,14.0,9157.75,9158.25,9161.5,9153.0,8.5,2815.0,0.6176470588235294,0,1
2020-01-20,0.7994,0.7994,win,True,False,0,short,3.5,9171.5,9168.5,9171.75,9168.25,3.5,207.0,0.07142857142857142,1,1
2020-01-22,-1.0,-1.0,loss,True,False,0,long,19.25,9239.5,9236.0,9243.5,9235.5,8.0,2480.0,0.0625,0,1
2020-01-23,-1.0,-1.0,loss,True,False,0,long,21.0,9189.5,9185.25,9189.5,9183.25,6.25,2497.0,0.32,0,1
2020-01-24,1.2879,1.2879,win,True,False,0,short,15.5,9269.0,9259.5,9269.5,9256.5,13.0,3748.0,0.23076923076923078,1,1
2020-01-28,1.3444,1.3444,win,True,False,0,long,21.75,9018.0,9022.25,9033.75,9016.0,17.75,6696.0,0.352112676056338,0,1
2020-01-31,1.4206,1.4206,win,True,False,0,short,44.25,9128.5,9102.75,9128.75,9097.0,31.75,8194.0,0.18110236220472442,1,1
2020-02-03,-1.0,-1.0,loss,True,False,0,long,32.0,9126.25,9144.0,9150.75,9126.25,24.5,6348.0,0.7244897959183674,0,1
2020-02-04,1.3671,1.3671,win,True,False,0,long,25.75,9266.0,9263.5,9275.0,9258.5,16.5,4047.0,0.30303030303030304,0,1
2020-02-06,-1.0,-1.0,loss,True,False,0,short,16.75,9414.0,9412.25,9415.25,9401.75,13.5,3697.0,0.7777777777777778,0,1
2020-02-10,1.2128,1.2128,win,True,False,0,long,11.0,9447.75,9445.0,9452.75,9444.5,8.25,3344.0,0.06060606060606061,0,1
2020-02-11,-1.0,-1.0,loss,True,False,0,long,31.0,9557.75,9573.0,9579.5,9557.75,21.75,5340.0,0.7011494252873564,0,1
2020-02-13,1.3876,1.3876,win,True,False,0,long,30.75,9571.0,9558.5,9575.75,9554.0,21.75,6955.0,0.20689655172413793,0,1
2020-02-19,1.2071,1.2071,win,True,False,0,long,10.75,9711.25,9712.5,9714.5,9708.5,6.0,2779.0,0.6666666666666666,0,1
2020-02-24,1.4069,1.4069,win,True,False,0,short,37.5,9184.0,9171.5,9197.0,9164.75,32.25,10557.0,0.20930232558139536,1,1
2020-02-25,1.4184,1.4184,win,True,False,0,short,43.0,9129.75,9124.0,9147.75,9110.5,37.25,8218.0,0.3624161073825503,0,1
2020-02-26,-1.0,-1.0,loss,True,False,0,long,49.25,8955.0,8940.75,8965.0,8933.25,31.75,9230.0,0.23622047244094488,0,1
2020-02-27,1.4455,1.4455,win,True,False,0,short,65.25,8669.75,8641.25,8698.25,8637.0,61.25,15646.0,0.06938775510204082,1,1
2020-03-02,-1.0,-1.0,loss,True,False,0,short,82.75,8515.25,8505.75,8534.5,8491.0,43.5,10428.0,0.3390804597701149,0,1
2020-03-04,1.45,1.45,win,True,False,0,long,71.25,8695.25,8701.0,8721.25,8679.5,41.75,9308.0,0.5149700598802395,0,1
2020-03-13,-1.0,-1.0,loss,True,False,0,long,88.5,7504.5,7539.25,7550.25,7466.25,84.0,4275.0,0.8690476190476191,1,1
2020-03-16,1.4701,1.4701,win,True,False,0,long,120.5,7221.75,7167.75,7249.0,7153.75,95.25,4134.0,0.14698162729658792,0,1
2020-03-19,-1.0,-1.0,loss,True,False,0,long,180.5,7226.25,7214.5,7241.5,7184.0,57.5,11415.0,0.5304347826086957,0,1
2020-03-24,-1.0,-1.0,loss,True,False,0,long,92.25,7336.0,7343.0,7363.5,7311.25,52.25,10241.0,0.6076555023923444,0,1
2020-03-26,1.4471,1.4471,win,True,False,0,long,67.25,7628.25,7620.0,7645.75,7607.75,38.0,9099.0,0.3223684210526316,0,1
