orb_label,rr_target,direction,signal,n_on_is,n_off_is,expr_on_is,expr_off_is,delta_is,winrate_on_is,winrate_off_is,welch_t,welch_p,n_on_oos,n_off_oos,expr_on_oos,expr_off_oos,delta_oos,same_sign_oos,role,bh_p,abs_delta_is,priority_rank
CME_PRECLOSE,1.0,long,F2_NEAR_PDL_15,99,644,-0.001985858585858604,0.155891149068323,-0.15787700765418158,0.5454545454545454,0.6319875776397516,-1.5995660657816286,0.11216668598377733,3,28,-0.3584666666666667,0.07608571428571433,-0.434552380952381,True,AVOID,0.5823598556782211,0.15787700765418158,10100
CME_PRECLOSE,1.0,long,F3_NEAR_PIVOT_50__AND__F5_BELOW_PDL,31,712,-0.007445161290322592,0.14105070224719102,-0.14849586353751362,0.5483870967741935,0.6235955056179775,-0.88118809607384,0.3846869905787341,2,29,-0.03770000000000001,0.03897931034482759,-0.07667931034482761,True,AVOID,0.7408786485220064,0.14849586353751362,10074
US_DATA_1000,1.5,short,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,92,715,0.009445652173913051,0.14023384615384615,-0.1307881939799331,0.43478260869565216,0.4811188811188811,-1.0139326064950425,0.31271017750670455,4,29,-0.3953,0.006748275862068965,-0.4020482758620689,True,AVOID,0.7294674767064702,0.1307881939799331,10058
US_DATA_1000,1.0,long,F2_NEAR_PDL_15,110,771,0.1426290909090909,0.02634059662775616,0.11628849428133474,0.6,0.5421530479896238,1.2142155014804168,0.22667529979509413,4,31,0.472375,-0.12099032258064514,0.5933653225806451,True,TAKE,0.6933597405496996,0.11628849428133474,10047
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_15,222,659,-0.03774684684684684,0.06734081942336874,-0.10508766627021558,0.509009009009009,0.5629742033383915,-1.4297569205873597,0.15361173650772553,9,26,-0.3461222222222222,0.048226923076923084,-0.39434914529914533,True,AVOID,0.604470454350924,0.10508766627021558,10045
US_DATA_1000,1.0,long,F3_NEAR_PIVOT_15__AND__F6_INSIDE_PDR,212,669,-0.03760188679245284,0.06572406576980568,-0.10332595256225852,0.5094339622641509,0.5620328849028401,-1.3845051507355426,0.16707807320086243,9,26,-0.3461222222222222,0.048226923076923084,-0.39434914529914533,True,AVOID,0.604470454350924,0.10332595256225852,10043
US_DATA_1000,1.5,short,F2_NEAR_PDL_15,100,707,0.024313,0.13961089108910893,-0.11529789108910893,0.43,0.4823196605374823,-0.9090782575074876,0.36501159592423804,4,29,-1.0,0.09015517241379309,-1.090155172413793,True,AVOID,0.7338357211376522,0.11529789108910893,10042
CME_PRECLOSE,1.0,short,F5_BELOW_PDL,140,569,0.1476792857142857,0.039931810193321614,0.10774747552096409,0.6142857142857143,0.5676625659050967,1.2488675593668481,0.21309122565111377,11,24,-0.13454545454545455,-0.15262916666666668,0.018083712121212125,True,TAKE,0.6883286845693172,0.10774747552096409,10039
US_DATA_1000,1.0,long,F1_NEAR_PDH_15__AND__F6_INSIDE_PDR,98,783,0.1335234693877551,0.02926245210727969,0.10426101728047542,0.6020408163265306,0.5427841634738186,1.0462352346677102,0.29749299303848853,2,33,0.93,-0.11276363636363636,1.0427636363636363,True,TAKE,0.728885770066141,0.10426101728047542,10031
NYSE_OPEN,1.5,long,F3_NEAR_PIVOT_50,609,221,0.05772495894909689,0.1555529411764706,-0.0978279822273737,0.4400656814449918,0.4796380090497738,-1.0348919274221853,0.3013662318542698,20,8,0.10802999999999999,0.5378875,-0.4298575,True,AVOID,0.728885770066141,0.0978279822273737,10025
