trading_day,pnl_r,pnl_r0,outcome,is_scratch,is_is,is_oos,year,feature_fire,orb_mid,pivot_val,break_dir
2022-03-03,0.848,0.848,win,0,True,False,2022,1,14248.25,14134.0,long
2022-03-07,0.8965,0.8965,win,0,True,False,2022,1,13758.5,13874.083333333334,long
2022-03-08,0.8768,0.8768,win,0,True,False,2022,1,13258.25,13471.75,long
2022-03-14,0.8864,0.8864,win,0,True,False,2022,1,13266.75,13361.916666666666,long
2022-03-15,-1.0,-1.0,loss,0,True,False,2022,1,13138.875,13185.5,long
2022-03-18,0.6213,0.6213,win,0,True,False,2022,1,14009.75,13992.75,long
2022-03-22,-1.0,-1.0,loss,0,True,False,2022,1,14372.625,14339.75,long
2022-03-24,0.846,0.846,win,0,True,False,2022,1,14513.125,14530.25,long
2022-03-30,0.8806,0.8806,win,0,True,False,2022,1,15140.625,15145.083333333334,long
2022-04-05,-1.0,-1.0,loss,0,True,False,2022,1,15117.125,15044.583333333334,long
2022-04-07,-1.0,-1.0,loss,0,True,False,2022,1,14508.625,14585.083333333334,long
2022-04-11,-1.0,-1.0,loss,0,True,False,2022,0,14144.625,14358.666666666666,long
2022-04-12,-1.0,-1.0,loss,0,True,False,2022,1,14123.0,14123.083333333334,long
2022-04-13,-1.0,-1.0,loss,0,True,False,2022,1,13949.625,14043.5,long
2022-04-18,0.7506,0.7506,win,0,True,False,2022,1,13832.75,13835.25,long
2022-04-21,0.9072,0.9072,win,0,True,False,2022,1,14161.875,14109.0,long
2022-04-25,0.8974,0.8974,win,0,True,False,2022,1,13267.875,13325.333333333334,long
2022-04-28,0.9033,0.9033,win,0,True,False,2022,1,13220.5,13116.083333333334,long
2022-05-03,0.8983,0.8983,win,0,True,False,2022,1,13079.75,12942.833333333334,long
2022-05-06,-1.0,-1.0,loss,0,True,False,2022,1,12843.625,13039.416666666666,long
2022-05-09,0.9121,0.9121,win,0,True,False,2022,0,12402.5,12604.75,long
2022-05-10,0.8794,0.8794,win,0,True,False,2022,1,12394.75,12332.5,long
2022-05-12,-1.0,-1.0,loss,0,True,False,2022,0,11799.5,12163.916666666666,long
2022-05-16,-1.0,-1.0,loss,0,True,False,2022,1,12386.625,12445.166666666666,long
2022-05-17,-1.0,-1.0,loss,0,True,False,2022,1,12473.5,12316.0,long
2022-05-20,-1.0,-1.0,loss,0,True,False,2022,1,12049.5,11896.666666666666,long
2022-05-24,0.8818,0.8818,win,0,True,False,2022,1,11822.25,11914.083333333334,long
2022-05-25,0.9591,0.9591,win,0,True,False,2022,1,11705.875,11774.0,long
2022-05-26,-1.0,-1.0,loss,0,True,False,2022,1,11961.0,11872.666666666666,long
2022-05-27,0.9466,0.9466,win,0,True,False,2022,1,12326.5,12156.916666666666,long
2022-06-06,0.7559,0.7559,win,0,True,False,2022,0,12737.125,12556.583333333334,long
2022-06-08,-1.0,-1.0,loss,0,True,False,2022,1,12645.875,12614.583333333334,long
2022-06-14,-1.0,-1.0,loss,0,True,False,2022,1,11409.25,11455.75,long
2022-06-15,0.9358,0.9358,win,0,True,False,2022,1,11455.375,11382.833333333334,long
2022-06-16,-1.0,-1.0,loss,0,True,False,2022,0,11380.75,11616.25,long
2022-06-20,-1.0,-1.0,loss,0,True,False,2022,1,11378.625,11387.333333333334,long
2022-06-21,-1.0,-1.0,loss,0,True,False,2022,1,11476.375,11377.666666666666,long
2022-06-24,-1.0,-1.0,loss,0,True,False,2022,0,11825.0,11645.666666666666,long
2022-06-27,-1.0,-1.0,loss,0,True,False,2022,1,12166.0,12121.916666666666,long
2022-06-28,0.8864,0.8864,win,0,True,False,2022,1,12054.5,12106.416666666666,long
2022-07-01,-1.0,-1.0,loss,0,True,False,2022,1,11481.5,11513.0,long
2022-07-06,0.8141,0.8141,win,0,True,False,2022,1,11770.0,11688.5,long
2022-07-07,0.9121,0.9121,win,0,True,False,2022,1,11924.75,11863.583333333334,long
2022-07-12,0.8853,0.8853,win,0,True,False,2022,1,11892.375,11953.666666666666,long
2022-07-14,-1.0,-1.0,loss,0,True,False,2022,1,11644.625,11725.333333333334,long
