trading_day,split,context_state,context_pass,touched_long_stop,entry_ts,pnl_r,outcome
2020-06-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-09 00:40:00+10:00,0.9025,win
2020-06-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-11 00:08:00+10:00,-1.0,loss
2020-06-11,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-12 00:07:00+10:00,0.91,win
2020-06-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-17 00:07:00+10:00,-1.0,loss
2020-06-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-20 00:06:00+10:00,0.8015,win
2020-06-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-23 00:11:00+10:00,-1.0,loss
2020-06-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-24 00:12:00+10:00,0.846,win
2020-06-25,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-26 00:10:00+10:00,-1.0,loss
2020-06-29,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-06-30 00:13:00+10:00,0.9188,win
2020-06-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-01 00:07:00+10:00,-0.3531,scratch
2020-07-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-02 00:06:00+10:00,0.9127,win
2020-07-02,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2020-07-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-07 00:32:00+10:00,0.8853,win
2020-07-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-10 00:07:00+10:00,-1.0,loss
2020-07-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-15 00:30:00+10:00,0.9581,win
2020-07-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-17 00:41:00+10:00,-1.0,loss
2020-07-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-25 00:05:00+10:00,0.9146,win
2020-07-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-28 04:21:00+10:00,0.8806,win
2020-07-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-07-31 00:08:00+10:00,-1.0,loss
2020-08-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-08-04 04:38:00+10:00,-1.0,loss
2020-08-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-08-11 03:06:00+10:00,-1.0,loss
2020-08-13,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-08-14 00:24:00+10:00,0.8768,win
2020-08-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-08-18 03:03:00+10:00,0.7981,win
2020-08-26,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-08-27 00:24:00+10:00,0.8875,win
2020-09-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-02 00:05:00+10:00,0.943,win
2020-09-03,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2020-09-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-05 04:40:00+10:00,0.9688,win
2020-09-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-09 00:08:00+10:00,0.9496,win
2020-09-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-11 00:05:00+10:00,-1.0,loss
2020-09-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-16 02:44:00+10:00,-1.0,loss
2020-09-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-18 00:05:00+10:00,-1.0,loss
2020-09-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-09-22 02:04:00+10:00,0.9634,win
2020-10-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-10-03 00:05:00+10:00,0.9127,win
2020-10-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-10-13 00:05:00+10:00,0.9057,win
2020-10-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-10-16 05:11:00+10:00,0.9231,win
2020-10-28,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2020-10-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-10-31 00:05:00+10:00,-1.0,loss
2020-11-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-04 01:06:00+10:00,0.9308,win
2020-11-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-05 01:05:00+10:00,0.9515,win
2020-11-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-06 01:06:00+10:00,-1.0,loss
2020-11-09,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-10 01:05:00+10:00,-1.0,loss
2020-11-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-11 02:42:00+10:00,-1.0,loss
2020-11-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-11-19 01:05:00+10:00,0.883,win
2020-12-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-12-02 01:09:00+10:00,-1.0,loss
2020-12-14,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-12-15 01:14:00+10:00,-1.0,loss
2020-12-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-12-16 01:06:00+10:00,-1.0,loss
2020-12-21,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-12-22 02:48:00+10:00,0.959,win
2020-12-28,IS,TAKE_GO_LONG_CONTEXT,True,True,2020-12-29 01:50:00+10:00,0.8685,win
2021-01-06,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-07 01:07:00+10:00,0.9,win
2021-01-07,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-08 01:05:00+10:00,0.9304,win
2021-01-08,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-09 01:05:00+10:00,-1.0,loss
2021-01-12,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-13 01:10:00+10:00,0.8956,win
2021-01-15,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-01-20,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-21 01:05:00+10:00,0.8253,win
2021-01-25,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-01-27,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-01-28 01:05:00+10:00,-1.0,loss
2021-02-02,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-03 01:10:00+10:00,-1.0,loss
2021-02-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-05 01:15:00+10:00,0.9407,win
2021-02-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-17 01:29:00+10:00,-1.0,loss
2021-02-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-18 05:09:00+10:00,-1.0,loss
2021-02-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-19 02:16:00+10:00,-1.0,loss
2021-02-22,IS,TAKE_GO_LONG_CONTEXT,True,False,,,
2021-02-23,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-02-24 01:05:00+10:00,0.9646,win
2021-03-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-02 01:17:00+10:00,0.9351,win
2021-03-03,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-04 01:09:00+10:00,-1.0,loss
2021-03-04,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-05 01:33:00+10:00,0.9623,win
2021-03-10,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-11 01:06:00+10:00,-1.0,loss
2021-03-15,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-16 00:13:00+10:00,-1.0,loss
2021-03-16,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-17 00:09:00+10:00,0.9033,win
2021-03-17,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-18 00:10:00+10:00,0.8842,win
2021-03-18,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-19 02:10:00+10:00,-1.0,loss
2021-03-19,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-20 00:22:00+10:00,0.9601,win
2021-03-22,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-23 00:28:00+10:00,0.9199,win
2021-03-24,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-25 00:05:00+10:00,-1.0,loss
2021-03-25,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-26 00:08:00+10:00,-1.0,loss
2021-03-29,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-30 00:14:00+10:00,0.926,win
2021-03-30,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-03-31 00:11:00+10:00,-1.0,loss
2021-03-31,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-01 00:06:00+10:00,0.9,win
2021-04-01,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-02 00:09:00+10:00,-1.0,loss
2021-04-05,IS,TAKE_GO_LONG_CONTEXT,True,True,2021-04-06 00:09:00+10:00,0.8992,win
