rank,strategy_id,state,primary_blocker,next_action,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,status_reason,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,active_in_profile
446,MNQ_US_DATA_1000_E2_RR1.0_CB1_ATR_P70_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,ATR_P70,1,0.118,67,13.6,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1180, N=67",MISSING,,,UNSPECIFIED,unknown,5,False
447,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_100_O30,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,30,E2,1.0,OVNRNG_100,1,0.116,127,13.6,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1160, N=127",MISSING,,,UNSPECIFIED,unknown,5,False
448,MNQ_COMEX_SETTLE_E2_RR1.0_CB1_X_MGC_ATR70_O15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,COMEX_SETTLE,15,E2,1.0,X_MGC_ATR70,1,0.0794,157,13.6,DEPLOY,"Session HOT (+0.0837), ExpR=+0.0794, N=157",MISSING,,,UNSPECIFIED,unknown,5,False
449,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT10,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,COST_LT10,1,0.0582,254,13.6,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0582, N=254",MISSING,,,UNSPECIFIED,unknown,5,False
450,MNQ_US_DATA_1000_E1_RR1.0_CB4_VWAP_MID_ALIGNED_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E1,1.0,VWAP_MID_ALIGNED,4,0.1377,106,13.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1377, N=106",MISSING,,,UNSPECIFIED,unknown,5,False
451,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_COST_LT08_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.0,COST_LT08,1,0.0947,154,13.5,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0947, N=154",MISSING,,,UNSPECIFIED,unknown,5,False
452,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_ORB_VOL_4K_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.5,ORB_VOL_4K,1,0.0681,215,13.5,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0681, N=215",MISSING,,,UNSPECIFIED,unknown,5,False
453,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_COST_LT15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.0,COST_LT15,1,0.0629,232,13.5,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0629, N=232",MISSING,,,UNSPECIFIED,unknown,5,False
454,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_ORB_G8_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,CME_PRECLOSE,5,E2,1.0,ORB_G8,1,0.0629,232,13.5,DEPLOY,"Session HOT (+0.0100), ExpR=+0.0629, N=232",MISSING,,,UNSPECIFIED,unknown,5,False
455,MNQ_US_DATA_1000_E2_RR1.0_CB1_COST_LT15,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,COST_LT15,1,0.057,256,13.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0570, N=256",MISSING,,,UNSPECIFIED,unknown,5,False
456,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G6,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ORB_G6,1,0.057,256,13.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0570, N=256",MISSING,,,UNSPECIFIED,unknown,5,False
457,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_G8,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ORB_G8,1,0.057,256,13.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0570, N=256",MISSING,,,UNSPECIFIED,unknown,5,False
458,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_2K,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,ORB_VOL_2K,1,0.057,256,13.5,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0570, N=256",MISSING,,,UNSPECIFIED,unknown,5,False
459,MNQ_US_DATA_1000_E2_RR2.0_CB1_VWAP_MID_ALIGNED_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,2.0,VWAP_MID_ALIGNED,1,0.133,109,13.4,DEPLOY,"Session HOT (+0.0615), ExpR=+0.1330, N=109",MISSING,,,UNSPECIFIED,unknown,5,False
460,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_ORB_G8,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,TOKYO_OPEN,5,E2,1.5,ORB_G8,1,0.058,251,13.4,DEPLOY,"Session HOT (+0.0456), ExpR=+0.0580, N=251",MISSING,,,UNSPECIFIED,unknown,5,False
461,MNQ_US_DATA_1000_E2_RR1.0_CB1_OVNRNG_100,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,5,E2,1.0,OVNRNG_100,1,0.0869,166,13.3,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0869, N=166",MISSING,,,UNSPECIFIED,unknown,5,False
462,MNQ_US_DATA_1000_E2_RR1.0_CB1_ORB_VOL_16K_O15_S075,EXACT_LANE_READY_FOR_REPLAY,MISSING_CHORDIA,RUN_STRICT_UNLOCK,MNQ,US_DATA_1000,15,E2,1.0,ORB_VOL_16K,1,0.0626,231,13.3,DEPLOY,"Session HOT (+0.0615), ExpR=+0.0626, N=231",MISSING,,,UNSPECIFIED,unknown,5,False
