rank,strategy_id,instrument,session,orb_minutes,entry_model,rr_target,filter_type,confirm_bars,trailing_expr,trailing_n,annual_r_estimate,status,chordia_verdict,chordia_audit_age_days,c8_oos_status,family,family_role,family_priority,family_median_exp_r,family_oos_median,active_in_profile,action
41,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ATR_P30_O30_S075,MNQ,SINGAPORE_OPEN,30,E2,2.0,ATR_P30,1,0.228,169,42.0,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
42,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_COST_LT10,MNQ,EUROPE_FLOW,5,E2,1.5,COST_LT10,1,0.2224,201,41.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
43,MNQ_EUROPE_FLOW_E2_RR1.5_CB1_OVNRNG_100,MNQ,EUROPE_FLOW,5,E2,1.5,OVNRNG_100,1,0.2598,170,40.8,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
44,MNQ_SINGAPORE_OPEN_E2_RR2.0_CB1_ORB_VOL_4K_O30,MNQ,SINGAPORE_OPEN,30,E2,2.0,ORB_VOL_4K,1,0.1747,250,40.3,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
45,MNQ_SINGAPORE_OPEN_E2_RR4.0_CB1_DIR_LONG_O30,MNQ,SINGAPORE_OPEN,30,E2,4.0,DIR_LONG,1,0.3114,140,40.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
46,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_NO_FILTER_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,NO_FILTER,1,0.1657,256,39.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
47,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ORB_G4_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,ORB_G4,1,0.1657,256,39.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
48,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ORB_G5_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,ORB_G5,1,0.1657,256,39.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
49,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ORB_G6_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,ORB_G6,1,0.1657,256,39.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
50,MNQ_CME_PRECLOSE_E2_RR1.5_CB1_X_MES_ATR60_S075,MNQ,CME_PRECLOSE,5,E2,1.5,X_MES_ATR60,1,0.2548,88,38.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
51,MNQ_CME_PRECLOSE_E2_RR1.0_CB1_X_MES_ATR60_S075,MNQ,CME_PRECLOSE,5,E2,1.0,X_MES_ATR60,1,0.2307,97,38.4,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
52,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_COST_LT15_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,COST_LT15,1,0.1621,255,38.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
53,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ORB_G8_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,ORB_G8,1,0.1621,255,38.2,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
54,MNQ_SINGAPORE_OPEN_E2_RR1.5_CB1_ORB_VOL_2K_O30,MNQ,SINGAPORE_OPEN,30,E2,1.5,ORB_VOL_2K,1,0.1619,255,38.1,DEPLOY,MISSING,,,,,5,,,False,RUN_STRICT_UNLOCK
