instrument,session,dst_regime,g_filter,stack_level,stack_label,n,freq_per_year,avg_r,conviction_score,sizing_tier,sample_class
MES,0030,summer,G4,L5,size+dir+conc+vol+cal,121,0.500000,0.368173,2.032000,2x,PRELIMINARY
MES,0030,summer,G5,L0,size,220,0.900000,0.202007,1.000000,1x,CORE
MES,0030,summer,G5,L1,size+dir,220,0.900000,0.202007,1.000000,1x,CORE
MES,0030,summer,G5,L2,size+conc,189,0.800000,0.242535,1.201000,1x,PRELIMINARY
MES,0030,summer,G5,L3,size+dir+conc,189,0.800000,0.242535,1.201000,1x,PRELIMINARY
MES,0030,summer,G5,L4,size+dir+conc+vol,124,0.500000,0.410518,2.032000,2x,PRELIMINARY
MES,0030,summer,G5,L5,size+dir+conc+vol+cal,110,0.400000,0.364732,1.806000,2x,PRELIMINARY
MES,0030,summer,G6,L0,size,173,0.700000,0.133377,1.000000,1x,PRELIMINARY
MES,0030,summer,G6,L1,size+dir,173,0.700000,0.133377,1.000000,1x,PRELIMINARY
MES,0030,summer,G6,L2,size+conc,152,0.600000,0.198854,1.491000,1x,PRELIMINARY
MES,0030,summer,G6,L3,size+dir+conc,152,0.600000,0.198854,1.491000,1x,PRELIMINARY
MES,0030,summer,G6,L4,size+dir+conc+vol,103,0.400000,0.289253,2.169000,2x,PRELIMINARY
MES,0030,summer,G6,L5,size+dir+conc+vol+cal,91,0.400000,0.244766,1.835000,2x,REGIME
MES,0030,summer,G8,L0,size,104,0.400000,0.080423,1.000000,1x,PRELIMINARY
MES,0030,summer,G8,L1,size+dir,104,0.400000,0.080423,1.000000,1x,PRELIMINARY
MES,0030,summer,G8,L2,size+conc,93,0.400000,0.117030,1.455000,1x,REGIME
MES,0030,summer,G8,L3,size+dir+conc,93,0.400000,0.117030,1.455000,1x,REGIME
MES,0030,summer,G8,L4,size+dir+conc+vol,67,0.300000,0.174949,2.175000,2x,REGIME
MES,0030,summer,G8,L5,size+dir+conc+vol+cal,57,0.200000,0.134014,1.666000,2x,REGIME
MNQ,0030,winter,G4,L0,size,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G4,L1,size+dir,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G4,L2,size+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G4,L3,size+dir+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G4,L4,size+dir+conc+vol,82,0.300000,0.358293,2.561000,3x,REGIME
MNQ,0030,winter,G4,L5,size+dir+conc+vol+cal,72,0.300000,0.344075,2.460000,2x,REGIME
MNQ,0030,winter,G5,L0,size,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G5,L1,size+dir,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G5,L2,size+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G5,L3,size+dir+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G5,L4,size+dir+conc+vol,82,0.300000,0.358293,2.561000,3x,REGIME
MNQ,0030,winter,G5,L5,size+dir+conc+vol+cal,72,0.300000,0.344075,2.460000,2x,REGIME
MNQ,0030,winter,G6,L0,size,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G6,L1,size+dir,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G6,L2,size+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G6,L3,size+dir+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G6,L4,size+dir+conc+vol,82,0.300000,0.358293,2.561000,3x,REGIME
MNQ,0030,winter,G6,L5,size+dir+conc+vol+cal,72,0.300000,0.344075,2.460000,2x,REGIME
MNQ,0030,winter,G8,L0,size,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G8,L1,size+dir,154,0.600000,0.139882,1.000000,1x,PRELIMINARY
MNQ,0030,winter,G8,L2,size+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G8,L3,size+dir+conc,120,0.500000,0.244232,1.746000,2x,PRELIMINARY
MNQ,0030,winter,G8,L4,size+dir+conc+vol,82,0.300000,0.358293,2.561000,3x,REGIME
MNQ,0030,winter,G8,L5,size+dir+conc+vol+cal,72,0.300000,0.344075,2.460000,2x,REGIME
MNQ,0030,summer,G4,L0,size,314,1.300000,0.040109,1.000000,1x,CORE
MNQ,0030,summer,G4,L1,size+dir,314,1.300000,0.040109,1.000000,1x,CORE
