instrument,session,dst_regime,hold_minutes,n,avg_r,win_rate,sharpe,pvalue,pvalue_bh,terminal_rate
MES,2300,WINTER,15,16,-0.249800,0.312500,-0.417900,0.126359,0.202174,0.312500
MES,2300,WINTER,20,16,-0.146500,0.437500,-0.209800,0.429181,0.517859,0.312500
MES,2300,WINTER,30,16,-0.201700,0.312500,-0.252500,0.343635,0.461026,0.437500
MES,2300,WINTER,45,16,-0.183200,0.437500,-0.213200,0.422004,0.517859,0.437500
MES,2300,WINTER,60,16,-0.258700,0.375000,-0.290500,0.278188,0.382730,0.500000
MES,2300,WINTER,90,16,-0.470700,0.187500,-0.540200,0.053845,0.096921,0.687500
MES,2300,WINTER,120,16,-0.566200,0.187500,-0.664600,0.021158,0.040089,0.812500
MES,2300,WINTER,180,16,-0.741100,0.125000,-0.975500,0.001823,0.004145,0.937500
MGC,0030,SUMMER,1,583,-0.238500,0.286400,-0.668800,0.000000,0.000000,0.020600
MGC,0030,SUMMER,2,583,-0.233700,0.308700,-0.638200,0.000000,0.000000,0.034300
MGC,0030,SUMMER,5,583,-0.231000,0.317300,-0.569500,0.000000,0.000000,0.054900
MGC,0030,SUMMER,10,583,-0.229600,0.331000,-0.510400,0.000000,0.000000,0.077200
MGC,0030,SUMMER,15,583,-0.259200,0.301900,-0.558700,0.000000,0.000000,0.130400
MGC,0030,SUMMER,20,583,-0.258400,0.279600,-0.515600,0.000000,0.000000,0.159500
MGC,0030,SUMMER,30,583,-0.266700,0.291600,-0.478800,0.000000,0.000000,0.202400
MGC,0030,SUMMER,45,583,-0.288700,0.283000,-0.477800,0.000000,0.000000,0.259000
MGC,0030,SUMMER,60,583,-0.295600,0.281300,-0.449500,0.000000,0.000000,0.301900
MGC,0030,SUMMER,90,583,-0.311000,0.286400,-0.432900,0.000000,0.000000,0.387700
MGC,0030,SUMMER,120,583,-0.307100,0.291600,-0.381500,0.000000,0.000000,0.454500
MGC,0030,SUMMER,180,583,-0.321600,0.289900,-0.366700,0.000000,0.000000,0.557500
MGC,0030,WINTER,1,491,-0.274800,0.260700,-0.787800,0.000000,0.000000,0.022400
MGC,0030,WINTER,2,491,-0.275100,0.248500,-0.767100,0.000000,0.000000,0.028500
MGC,0030,WINTER,5,491,-0.282200,0.242400,-0.759100,0.000000,0.000000,0.042800
MGC,0030,WINTER,10,491,-0.289600,0.242400,-0.720100,0.000000,0.000000,0.067200
MGC,0030,WINTER,15,491,-0.296900,0.250500,-0.722400,0.000000,0.000000,0.089600
MGC,0030,WINTER,20,491,-0.294000,0.270900,-0.686500,0.000000,0.000000,0.105900
MGC,0030,WINTER,30,491,-0.299500,0.266800,-0.626200,0.000000,0.000000,0.154800
MGC,0030,WINTER,45,491,-0.311700,0.258700,-0.597200,0.000000,0.000000,0.211800
MGC,0030,WINTER,60,491,-0.306400,0.305500,-0.546200,0.000000,0.000000,0.258700
MGC,0030,WINTER,90,491,-0.323700,0.268800,-0.530200,0.000000,0.000000,0.303500
MGC,0030,WINTER,120,491,-0.331200,0.281100,-0.508600,0.000000,0.000000,0.354400
