instrument,bris_time,bris_h,bris_m,n_all,avgr_all,wr_all,totr_all,n_winter,avgr_winter,n_summer,avgr_summer,vol_mean,vol_winter,vol_summer
MGC,18:30,18,30,102,-0.00980392156862745,32.35294117647059,-1.0,48,0.041666666666666664,54,-0.05555555555555555,612.2022587268993,783.103139013453,537.1068965517242
MGC,18:45,18,45,79,-0.06329113924050633,30.37974683544304,-5.0,40,0.025,39,-0.15384615384615385,531.7669404517454,657.9125560538116,476.3374384236453
MGC,19:00,19,0,133,0.08270676691729323,35.338345864661655,11.0,60,0.15,73,0.0273972602739726,593.2197125256673,730.1177130044844,533.0655172413793
MGC,19:15,19,15,96,0.08333333333333333,35.41666666666667,8.0,46,0.2826086956521739,50,-0.1,505.1824093086927,618.4170403587444,455.4261083743842
MGC,19:30,19,30,122,0.08196721311475409,35.24590163934426,10.0,40,-0.1,82,0.17073170731707318,696.9551676933607,606.3856502242153,736.7522167487684
MGC,19:45,19,45,87,0.367816091954023,44.827586206896555,32.0,37,0.24324324324324326,50,0.46,459.4671457905544,541.0381165919282,423.6241379310345
MGC,20:00,20,0,113,0.19469026548672566,39.823008849557525,22.0,49,0.04081632653061224,64,0.3125,503.6043805612594,557.2511210762332,480.0315270935961
MGC,20:15,20,15,84,0.14285714285714285,36.904761904761905,12.0,31,-0.12903225806451613,53,0.3018867924528302,437.29979466119096,474.91255605381167,420.77241379310345
MGC,20:30,20,30,101,-0.07920792079207921,30.693069306930692,-8.0,57,-0.2631578947368421,44,0.1590909090909091,617.5609171800137,937.012331838565,477.1911330049261
MGC,20:45,20,45,64,0.40625,46.875,26.0,24,0.25,40,0.5,431.1167008898015,458.5134529147982,419.0783251231527
MGC,21:00,21,0,108,0.3055555555555556,41.66666666666667,33.0,35,0.2571428571428571,73,0.3287671232876712,561.242984257358,538.5156950672646,571.2295566502463
MGC,21:15,21,15,85,0.11764705882352941,36.470588235294116,10.0,29,0.06896551724137931,56,0.14285714285714285,488.32169746748804,469.47533632286996,496.60295566502464
MGC,21:30,21,30,107,0.18691588785046728,38.31775700934579,20.0,39,0.07692307692307693,68,0.25,569.8887748117728,522.1210762331839,590.8783251231528
MGC,21:45,21,45,114,-0.14035087719298245,28.07017543859649,-16.0,44,-0.1590909090909091,70,-0.12857142857142856,581.8829568788501,500.3710762331838,617.7
MGC,22:00,22,0,178,0.25280898876404495,40.44943820224719,45.0,53,0.22641509433962265,125,0.264,947.3110882956879,750.4114349775784,1033.8305418719212
MGC,22:15,22,15,191,0.15706806282722513,37.696335078534034,30.0,41,-0.024390243902439025,150,0.20666666666666667,945.0667351129364,635.9125560538116,1080.9118226600986
MGC,22:30,22,30,575,0.01391304347826087,26.608695652173914,8.0,43,0.06976744186046512,532,0.009398496240601503,2260.158110882957,662.0863228699552,2962.365024630542
MGC,22:45,22,45,270,0.13333333333333333,35.55555555555556,36.0,41,0.14634146341463414,229,0.13100436681222707,1323.9520876112251,699.006726457399,1598.558620689655
MGC,23:00,23,0,439,0.1776765375854214,37.58542141230068,78.0,125,0.168,314,0.18152866242038215,1899.3288843258042,1434.6390134529147,2103.517733990148
MGC,23:15,23,15,319,0.08150470219435736,33.5423197492163,26.0,105,0.3523809523809524,214,-0.0514018691588785,1443.1420260095824,1300.189461883408,1505.9566502463053
MGC,23:30,23,30,687,0.1848617176128093,33.770014556040756,127.0,274,0.0948905109489051,413,0.24455205811138014,2566.5249828884325,3318.5526905829597,2236.077339901478
MGC,23:45,23,45,508,0.11220472440944881,33.267716535433074,57.0,140,0.08571428571428572,368,0.12228260869565218,2009.6060917180014,1832.4282511210763,2087.45960591133
MNQ,00:00,0,0,516,0.3003875968992248,42.44186046511628,155.0,178,0.34831460674157305,338,0.27514792899408286,17670.590753424658,6728.544943820225,22467.842364532018
MNQ,00:15,0,15,514,0.26264591439688717,41.43968871595331,135.0,177,0.2994350282485876,337,0.2433234421364985,13812.51198630137,5392.730337078651,17503.943349753696
MNQ,00:30,0,30,515,0.23495145631067962,39.6116504854369,121.0,177,0.2768361581920904,338,0.21301775147928995,24595.546232876713,41385.96629213483,17234.22906403941
MNQ,00:45,0,45,515,0.26407766990291265,41.16504854368932,136.0,177,0.3785310734463277,338,0.20414201183431951,19591.125,30571.775280898877,14776.948275862069
MNQ,01:00,1,0,515,0.06601941747572816,34.1747572815534,34.0,177,-0.11299435028248588,338,0.15976331360946747,19297.720890410958,30349.106741573032,14452.532019704433
MNQ,01:15,1,15,515,0.24271844660194175,40.97087378640777,125.0,177,0.11864406779661017,338,0.3076923076923077,15151.044520547945,22888.91011235955,11758.581280788178
MNQ,01:30,1,30,515,0.170873786407767,38.44660194174757,88.0,177,0.1751412429378531,338,0.16863905325443787,15028.284246575342,22246.786516853932,11863.522167487685
MNQ,01:45,1,45,514,0.122568093385214,36.77042801556421,63.0,177,0.15254237288135594,337,0.10682492581602374,12865.857876712329,19036.1797752809,10160.642857142857
MNQ,02:00,2,0,513,0.1111111111111111,36.64717348927875,57.0,177,0.1694915254237288,336,0.08035714285714286,12935.138698630137,18666.494382022473,10422.37684729064
MNQ,02:15,2,15,515,0.20776699029126214,39.80582524271845,107.0,177,0.1977401129943503,338,0.21301775147928995,10462.301369863013,14462.230337078652,8708.637931034482
MNQ,02:30,2,30,515,0.1786407766990291,38.640776699029125,92.0,177,0.03954802259887006,338,0.2514792899408284,10751.304794520547,14970.837078651686,8901.362068965518
MNQ,02:45,2,45,512,0.275390625,41.6015625,141.0,177,0.2033898305084746,335,0.31343283582089554,9614.700342465754,12964.286516853932,8146.162561576355
MNQ,03:00,3,0,505,0.0594059405940594,34.05940594059406,30.0,176,0.05113636363636364,329,0.06382978723404255,10401.539383561643,13223.561797752809,9164.29802955665
MNQ,03:15,3,15,504,0.12301587301587301,37.10317460317461,62.0,176,0.18181818181818182,328,0.09146341463414634,8817.573630136987,10972.91011235955,7872.62315270936
MNQ,03:30,3,30,505,0.2198019801980198,39.40594059405941,111.0,177,0.12994350282485875,328,0.2682926829268293,9130.205479452055,10855.91011235955,8373.615763546799
MNQ,03:45,3,45,502,0.26095617529880477,41.235059760956176,131.0,174,0.25287356321839083,328,0.2652439024390244,8312.664383561643,10060.831460674157,7546.226600985222
MNQ,04:00,4,0,497,0.11871227364185111,34.80885311871227,59.0,169,0.10059171597633136,328,0.12804878048780488,10010.34589041096,11219.08988764045,9480.4039408867
MNQ,04:15,4,15,495,0.048484848484848485,33.73737373737374,24.0,167,0.04790419161676647,328,0.04878048780487805,8380.589041095891,9335.91011235955,7961.753694581281
MNQ,04:30,4,30,495,0.13535353535353536,36.16161616161616,67.0,167,0.25748502994011974,328,0.07317073170731707,8582.83390410959,9667.808988764045,8107.1551724137935
MNQ,04:45,4,45,495,0.05858585858585859,34.14141414141414,29.0,167,-0.017964071856287425,328,0.0975609756097561,7717.784246575343,8731.556179775282,7273.322660098522
MNQ,05:00,5,0,495,0.1191919191919192,34.74747474747475,59.0,167,0.1317365269461078,328,0.11280487804878049,9223.405821917808,10661.842696629214,8592.761083743842
MNQ,05:15,5,15,495,0.08282828282828283,34.14141414141414,41.0,167,0.12574850299401197,328,0.06097560975609756,7881.270547945205,9027.865168539325,7378.5763546798025
MNQ,05:30,5,30,495,0.1111111111111111,33.535353535353536,55.0,167,0.2215568862275449,328,0.054878048780487805,8781.231164383562,10081.842696629214,8211.012315270937
MNQ,05:45,5,45,495,0.2909090909090909,37.77777777777778,144.0,167,0.16167664670658682,328,0.3567073170731707,8428.938356164384,8861.241573033707,8239.406403940886
