instrument,session,aperture_min,n_days,n_g4,n_breaks,n_trades,avg_r,total_r,win_rate,avg_orb_size,p_value,p_adj_bh,n_winter,avg_r_winter,wr_winter,n_summer,avg_r_summer,wr_summer,sensitivity_verdict,sample_class,delta_vs_5m
MNQ,0900,45,1270,1270,1242,1242,0.034035,42.271226,0.267311,32.979134,0.360166,0.413875,424,0.099591,0.226415,818,0.000054,0.288509,ROBUST,CORE,-0.055271
MNQ,0900,60,1269,1269,1221,1221,0.057596,70.324433,0.256347,36.941883,0.120735,0.171917,416,0.121842,0.218750,805,0.024395,0.275776,ROBUST,CORE,-0.031710
MNQ,1000,5,1292,1275,1275,1275,0.172534,219.981080,0.383529,14.961765,0.000025,0.000483,1275,0.172534,0.383529,0,,,SKIP,CORE,0.000000
MNQ,1000,10,1292,1290,1289,1289,0.140681,181.338439,0.359969,19.365891,0.000426,0.003250,1289,0.140681,0.359969,0,,,ROBUST,CORE,-0.031853
MNQ,1000,15,1292,1292,1287,1287,0.108042,139.050637,0.339549,22.731037,0.005959,0.018150,1287,0.108042,0.339549,0,,,ROBUST,CORE,-0.064492
MNQ,1000,20,1292,1292,1280,1280,0.065156,83.400127,0.313281,26.144737,0.090764,0.133596,1280,0.065156,0.313281,0,,,ROBUST,CORE,-0.107378
MNQ,1000,30,1292,1292,1267,1267,0.057765,73.187860,0.298343,30.330108,0.128857,0.177687,1267,0.057765,0.298343,0,,,ROBUST,CORE,-0.114769
MNQ,1000,45,1292,1292,1239,1239,0.038205,47.336501,0.267958,35.336881,0.305247,0.366857,1239,0.038205,0.267958,0,,,ROBUST,CORE,-0.134329
MNQ,1000,60,1292,1292,1215,1215,0.049784,60.487590,0.249383,39.901316,0.174637,0.231085,1215,0.049784,0.249383,0,,,ROBUST,CORE,-0.122750
MNQ,1100,5,1292,1202,1202,1202,0.111103,133.545612,0.367720,12.461522,0.007810,0.020062,1202,0.111103,0.367720,0,,,SKIP,CORE,0.000000
MNQ,1100,10,1292,1273,1272,1272,0.096458,122.694512,0.356918,16.598193,0.016573,0.036185,1272,0.096458,0.356918,0,,,ROBUST,CORE,-0.014645
MNQ,1100,15,1292,1284,1278,1278,0.125334,160.176612,0.361502,19.554712,0.001803,0.007024,1278,0.125334,0.361502,0,,,ROBUST,CORE,0.014231
MNQ,1100,20,1292,1291,1276,1276,0.114706,146.364911,0.347179,22.483540,0.003872,0.013705,1276,0.114706,0.347179,0,,,ROBUST,CORE,0.003603
MNQ,1100,30,1292,1292,1265,1265,0.146526,185.355920,0.339130,26.679954,0.000201,0.002400,1265,0.146526,0.339130,0,,,ROBUST,CORE,0.035424
MNQ,1100,45,1292,1292,1239,1239,0.122578,151.873796,0.301049,33.645511,0.001399,0.005727,1239,0.122578,0.301049,0,,,ROBUST,CORE,0.011475
MNQ,1100,60,1292,1292,1213,1213,0.132040,160.163994,0.281121,38.072949,0.000511,0.003520,1213,0.132040,0.281121,0,,,ROBUST,CORE,0.020937
MNQ,1800,5,1291,1284,1284,1284,0.172897,222.000000,0.390966,18.917640,0.000025,0.000483,528,0.107955,0.369318,756,0.218254,0.406085,SKIP,CORE,0.000000
MNQ,1800,10,1291,1290,1290,1290,0.184258,237.693422,0.392248,25.351744,0.000007,0.000296,528,0.125151,0.373106,762,0.225215,0.405512,ROBUST,CORE,0.011361
MNQ,1800,15,1291,1290,1288,1288,0.133851,172.400231,0.372671,29.790698,0.000941,0.004741,526,0.113463,0.365019,762,0.147925,0.377953,ROBUST,CORE,-0.039046
MNQ,1800,20,1291,1291,1287,1287,0.160175,206.144939,0.376068,33.557320,0.000078,0.001131,526,0.161252,0.370722,761,0.159430,0.379763,ROBUST,CORE,-0.012722
MNQ,1800,30,1291,1291,1278,1278,0.148890,190.281915,0.367762,39.222696,0.000228,0.002489,520,0.176116,0.369231,758,0.130213,0.366755,ROBUST,CORE,-0.024007
MNQ,1800,45,1291,1291,1266,1266,0.135854,171.990745,0.356240,46.124710,0.000735,0.004184,515,0.225227,0.374757,751,0.074566,0.343542,ROBUST,CORE,-0.037044
MNQ,1800,60,1290,1290,1258,1258,0.128234,161.317847,0.349762,50.886628,0.001391,0.005727,510,0.231684,0.372549,748,0.057699,0.334225,ROBUST,CORE,-0.044664
MNQ,2300,5,1291,1279,1279,1279,0.084324,107.850000,0.360438,17.195465,0.036529,0.062965,442,0.147059,0.382353,837,0.051195,0.348865,SKIP,CORE,0.000000
MNQ,2300,10,1291,1287,1287,1287,0.135813,174.791097,0.377622,23.093629,0.000829,0.004523,442,0.228507,0.409502,845,0.087327,0.360947,ROBUST,CORE,0.051489
MNQ,2300,15,1291,1291,1289,1289,0.159015,204.970360,0.384794,27.035244,0.000095,0.001251,444,0.243243,0.414414,845,0.114758,0.369231,ROBUST,CORE,0.074691
MNQ,2300,20,1289,1289,1289,1289,0.137787,177.607064,0.374709,30.447634,0.000665,0.004110,444,0.191265,0.391892,845,0.109687,0.365680,ROBUST,CORE,0.053463
MNQ,2300,30,1289,1289,1289,1289,0.247747,319.345326,0.406517,38.076028,0.000000,0.000000,444,0.216496,0.400901,845,0.264167,0.409467,ROBUST,CORE,0.163423
MNQ,2300,45,1288,1288,1282,1282,0.127818,163.862456,0.243370,81.556289,0.000346,0.003137,440,0.056743,0.309091,842,0.164959,0.209026,ROBUST,CORE,0.043494
MNQ,2300,60,1288,1288,1262,1262,0.106030,133.810020,0.186212,98.942935,0.001360,0.005727,440,0.042465,0.293182,822,0.140055,0.128954,ROBUST,CORE,0.021706
MNQ,0030,5,1289,1286,1286,1286,0.123927,159.369927,0.350700,42.014969,0.001823,0.007024,444,0.062327,0.308559,842,0.156409,0.372922,SKIP,CORE,0.000000
MNQ,0030,10,1289,1289,1289,1289,0.096623,124.546706,0.299457,56.498642,0.010661,0.025391,444,0.102983,0.272523,845,0.093281,0.313609,ROBUST,CORE,-0.027304
MNQ,0030,15,1289,1289,1286,1286,0.098170,126.246258,0.257387,66.474787,0.006746,0.018802,442,0.110686,0.219457,844,0.091615,0.277251,ROBUST,CORE,-0.025757
MNQ,0030,20,1289,1289,1285,1285,0.094523,121.462472,0.214786,75.491660,0.006096,0.018150,441,0.095837,0.160998,844,0.093837,0.242891,ROBUST,CORE,-0.029404
MNQ,0030,30,1289,1289,1280,1280,0.070447,90.171669,0.163281,88.785687,0.026119,0.049588,437,0.056470,0.098398,843,0.077692,0.196916,ROBUST,CORE,-0.053480
