instrument,session,dst_regime,n_valid_orb,median_orb_size,mean_orb_size,pct_g4,pct_g5,pct_g6,pct_g8,band_g4g6_avgR,band_g4g6_n,band_g6g8_avgR,band_g6g8_n,band_g8p_avgR,band_g8p_n
MGC,1800,SUMMER,1510,1.3000,2.4170,0.1238,0.0881,0.0709,0.0483,0.1944,80,0.1898,33,0.1359,67
MGC,1815,WINTER,152,0.7500,1.6612,0.0855,0.0658,0.0592,0.0395,-0.2500,4,0.0000,3,-0.1213,6
MGC,1815,SUMMER,1369,0.6000,1.1176,0.0387,0.0285,0.0248,0.0131,0.6197,19,-0.1787,16,0.3825,18
MGC,1900,ALL,2498,0.9000,1.6639,0.0741,0.0568,0.0412,0.0252,0.4668,82,0.6518,40,0.2753,60
MGC,1915,ALL,2408,0.6000,1.0736,0.0382,0.0274,0.0216,0.0120,0.0754,40,0.3788,23,-0.0472,29
MGC,2300,WINTER,883,0.8000,1.3995,0.0589,0.0362,0.0294,0.0159,-0.0173,26,0.7500,12,-0.2910,14
MGC,2300,SUMMER,1686,0.8000,1.1474,0.0320,0.0196,0.0119,0.0030,0.0270,34,0.3577,15,0.4493,5
MGC,0030,WINTER,872,0.5000,0.9493,0.0275,0.0183,0.0138,0.0069,-0.2500,12,1.0000,6,-0.5000,6
MGC,0030,SUMMER,1674,0.7000,0.9436,0.0149,0.0108,0.0078,0.0018,0.7500,12,-0.1211,10,0.0000,3
MNQ,0900,WINTER,177,14.5000,18.0240,1.0000,1.0000,0.9831,0.9266,0.0000,3,-0.1000,10,0.1707,164
MNQ,0900,SUMMER,338,16.6250,20.2581,0.9970,0.9941,0.9941,0.9467,-1.0000,1,0.3125,16,-0.0719,320
