leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,on_rate,avg_r_on,avg_r_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,5,1.0,1055,534,0.5061611374407583,0.04360018726591759,-0.12475412667946259,0.1683543139453802,4,5,0.8,0.11025426101130364,0.4210793831168831,112
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,1.5,1001,516,0.5154845154845155,0.023755813953488365,-0.13992536082474227,0.16368117477823063,5,5,1.0,0.17587191809695873,0.28016170873786406,103
M6E_1800,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,1,2.5,1011,490,0.4846686449060336,0.018957346938775512,-0.13816122840690978,0.1571185753456853,5,5,1.0,0.16325031565822284,0.16408928030303033,96
MES_US_DATA_OPEN,M2K_US_DATA_OPEN,M2K,US_DATA_OPEN,E0,1,1.0,1190,641,0.5386554621848739,0.012133853354134175,-0.14471766848816028,0.15685152184229445,5,5,1.0,0.1484524310904457,0.17998556363636362,110
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,3.0,1098,559,0.5091074681238615,0.09282486583184257,-0.06098051948051946,0.15380538531236204,5,5,1.0,0.15666539213386504,0.42419728658062505,109
M2K_1000,MES_1000,MES,1000,E0,1,2.5,1259,830,0.659253375694996,0.028291807228915628,-0.11807202797202798,0.14636383520094362,3,5,0.6,0.1399417657021877,0.1643589161554192,163
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,3,1.5,1055,543,0.5146919431279621,0.030164272559852677,-0.11497050781250001,0.1451347803723527,4,5,0.8,0.10911326619330532,0.3256653522947641,119
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,1.5,1006,517,0.5139165009940357,0.0156806576402321,-0.12658895705521475,0.14226961469544686,4,5,0.8,0.17632142093445957,0.08617646658896652,104
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E1,4,1.0,1087,556,0.5114995400183993,0.021658093525179858,-0.11122937853107344,0.1328874720562533,4,5,0.8,0.09451100176462604,0.28287964298593576,118
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.5,1135,576,0.507488986784141,0.1071920138888889,-0.02124311270125223,0.1284351265901411,5,5,1.0,0.14976846153846152,0.27324099883855985,112
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.5,1141,578,0.5065731814198072,0.10576608996539794,-0.014744404973357,0.12051049493875493,5,5,1.0,0.1262843018149883,0.19774815137016097,114
