symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift
MES,1000,E0,1,2.0,fast30_and_q60,1767,660,82.5,0.10310606060606062,-0.09184579945799458,0.19495186006405518,0.42727272727272725,0.4218608852755194,5,6,0.8333333333333334,0.13212774470299246,0.41130745134965474
MES,1000,E0,1,2.5,fast30_and_q60,1767,660,82.5,0.10284303030303031,-0.0948293586269196,0.19767238892994993,0.36666666666666664,0.35862691960252935,3,6,0.5,0.15025107573722485,0.34508409290646586
MES,US_POST_EQUITY,E0,2,2.0,size_q60_plus,723,281,35.125,0.1028370106761566,0.07780090497737556,0.025036105698781036,0.3914590747330961,0.4321266968325792,2,6,0.3333333333333333,,
MES,0030,E0,2,2.5,short_fast30,690,306,38.25,0.10190947712418301,0.07856588541666666,0.023343591707516348,0.3562091503267974,0.3567708333333333,3,6,0.5,,
MES,0030,E0,2,1.0,fast30_and_q40,727,435,54.375,0.10170344827586207,0.0641455479452055,0.03755790033065658,0.6,0.6541095890410958,4,5,0.8,,
MES,1000,E0,2,2.0,short_q60,637,158,19.75,0.10165443037974685,-0.09143632567849687,0.19309075605824372,0.4240506329113924,0.4091858037578288,3,3,1.0,,
MES,US_EQUITY_OPEN,E0,2,1.0,fast30_and_q40,742,432,54.0,0.10151481481481481,0.03552387096774195,0.06599094384707285,0.5902777777777778,0.6,4,5,0.8,,
MES,CME_CLOSE,E0,1,2.0,fast_le_30,1145,990,123.75,0.10137828282828285,-0.21084645161290322,0.31222473444118604,0.43434343434343436,0.3548387096774194,0,0,,,
MES,1100,E0,1,4.0,long_q60,1743,385,48.125,0.10130571428571429,-0.23649307805596465,0.3377987923416789,0.2623376623376623,0.22091310751104565,6,6,1.0,0.2820343904098191,0.4768700506166678
MES,1000,E0,2,2.5,size_q60_plus,637,273,34.125,0.10126227106227106,-0.12833186813186814,0.2295941391941392,0.3626373626373626,0.3543956043956044,4,5,0.8,,
MES,LONDON_OPEN,E0,2,2.0,fast30_and_q60,658,257,32.125,0.10116342412451364,-0.07419950124688279,0.17536292537139642,0.41245136186770426,0.40399002493765584,4,5,0.8,,
MES,0030,E0,2,3.0,size_q40_plus,675,409,51.125,0.10023398533007334,-0.07781766917293233,0.17805165450300567,0.30073349633251834,0.2857142857142857,5,5,1.0,,
MES,0030,E0,2,3.0,long_fast30,675,289,36.125,0.10005640138408306,-0.022331865284974106,0.12238826666905717,0.31141868512110726,0.2823834196891192,4,6,0.6666666666666666,,
MES,0030,E0,2,1.0,size_q40_plus,727,449,56.125,0.09995812917594653,0.06507302158273381,0.034885107593212714,0.5991091314031181,0.658273381294964,4,5,0.8,,
MES,1000,E0,1,2.5,size_q60_plus,1767,762,95.25,0.09925419947506563,-0.1121705472636816,0.21142474673874723,0.3648293963254593,0.3592039800995025,5,7,0.7142857142857143,0.1571166025573005,0.41075787581699347
MES,1000,E0,2,4.0,size_q60_plus,636,272,34.0,0.09895294117647058,-0.11494862637362638,0.21390156755009695,0.2536764705882353,0.25,3,5,0.6,,
MES,US_POST_EQUITY,E0,1,2.5,short_fast30,1694,708,88.5,0.09790988700564972,-0.01786663286004057,0.11577651986569029,0.3516949152542373,0.3255578093306288,5,6,0.8333333333333334,0.09835205206175368,0.279204494949495
MES,US_EQUITY_OPEN,E0,1,2.5,long_fast30,1688,710,88.75,0.09777394366197183,0.052600204498977496,0.04517373916299433,0.34507042253521125,0.33537832310838445,3,6,0.5,0.08489952826121769,-0.16504079791499598
MES,US_EQUITY_OPEN,E0,2,3.0,fast30_and_q40,671,387,48.375,0.0977640826873385,-0.11979894366197186,0.21756302634931035,0.29457364341085274,0.2535211267605634,3,5,0.6,,
MES,US_POST_EQUITY,E0,2,2.5,long_fast30,708,312,39.0,0.09729134615384617,0.0882090909090909,0.009082255244755269,0.3557692307692308,0.3611111111111111,4,6,0.6666666666666666,,
MES,CME_CLOSE,E0,1,2.0,long_q60,1145,201,25.125,0.09725721393034827,0.050990042372881364,0.0462671715574669,0.40298507462686567,0.4279661016949153,2,5,0.4,,
MES,0030,E0,2,1.5,long_fast30,717,312,39.0,0.09710320512820514,0.03480543209876545,0.06229777302943969,0.4935897435897436,0.4765432098765432,3,6,0.5,,
MGC,1100,E0,1,2.5,long_q60,2501,541,49.18181818181818,0.09699408502772643,-0.26733147959183673,0.36432556461956317,0.39371534195933455,0.34030612244897956,8,8,1.0,0.33697420393777344,0.25878508403361344
MES,US_EQUITY_OPEN,E0,1,1.5,size_q40_plus,1766,1083,135.375,0.09695964912280702,0.03249399707174232,0.0644656520510647,0.46999076638965837,0.4816983894582723,3,6,0.5,0.073831968503937,-0.04171114300903773
MES,1000,E0,1,1.0,fast30_and_q60,1770,661,82.625,0.09665521936459907,-0.10027565374210999,0.19693087310670906,0.6354009077155824,0.6221821460775473,5,6,0.8333333333333334,0.1640617113932187,0.32789498430634023
MES,CME_CLOSE,E0,1,1.0,short_fast30,1503,655,81.875,0.09656900763358778,0.11724316037735849,-0.020674152743770713,0.6351145038167939,0.6721698113207547,2,6,0.3333333333333333,-0.02845254642744728,0.015497393165660109
MES,US_EQUITY_OPEN,E0,1,2.5,fast30_and_q40,1688,983,122.875,0.09601576805696846,0.03755886524822695,0.05845690280874151,0.335707019328586,0.3446808510638298,3,5,0.6,0.08719169377722713,-0.20576907371588227
MES,US_POST_EQUITY,E0,2,2.0,fast30_and_q60,723,265,33.125,0.09555886792452832,0.08288668122270744,0.012672186701820881,0.3886792452830189,0.43231441048034935,2,6,0.3333333333333333,,
MES,0030,E0,2,1.0,short_q60,727,157,19.625,0.09420828025477708,0.08452771929824562,0.009680560956531456,0.5859872611464968,0.631578947368421,3,5,0.6,,
MES,1100,E0,2,1.0,fast30_and_q60,652,252,31.5,0.09395833333333334,-0.134507,0.22846533333333333,0.6547619047619048,0.635,4,5,0.8,,
MES,US_EQUITY_OPEN,E0,2,2.0,short_fast30,724,310,38.75,0.09383258064516128,0.13267053140096619,-0.0388379507558049,0.4,0.42028985507246375,4,6,0.6666666666666666,,
MES,0030,E0,1,1.5,fast30_and_q60,1774,719,89.875,0.09379596662030598,-0.018089668246445492,0.11188563486675147,0.46870653685674546,0.46729857819905213,6,6,1.0,0.10197168020899364,0.06160204468004546
MES,US_POST_EQUITY,E0,1,4.0,short_q60,1585,320,40.0,0.09379124999999996,-0.08625280632411068,0.18004405632411064,0.234375,0.2150197628458498,4,6,0.6666666666666666,0.18073457874196508,0.2337370535714286
MES,0030,E0,1,2.5,short_fast30,1716,756,94.5,0.09353121693121692,0.003020729166666669,0.09051048776455026,0.35185185185185186,0.3333333333333333,3,6,0.5,0.09270056967095186,0.08582151162790697
MES,0030,E0,1,1.5,short_q60,1774,386,48.25,0.09296891191709844,0.008983213256484152,0.08398569866061428,0.4689119170984456,0.4675792507204611,4,6,0.6666666666666666,0.05439998819012256,0.16619944356120825
MES,1000,E0,1,2.5,fast30_and_q40,1767,934,116.75,0.09285910064239829,-0.14865558223289319,0.2415146828752915,0.37366167023554603,0.34813925570228094,5,6,0.8333333333333334,0.20767135468481096,0.4494776537698413
MES,US_EQUITY_OPEN,E0,1,2.0,long_fast30,1735,734,91.75,0.09263297002724798,0.09032477522477524,0.0023081948024727406,0.3991825613079019,0.40559440559440557,2,6,0.3333333333333333,0.012628090905212372,-0.06667197802197801
MES,US_EQUITY_OPEN,E0,2,2.5,size_q40_plus,697,421,52.625,0.09257292161520189,0.03608478260869566,0.05648813900650623,0.334916864608076,0.3442028985507246,2,5,0.4,,
MES,0030,E0,2,3.0,size_q60_plus,675,269,33.625,0.09239144981412639,-0.011224384236453205,0.1036158340505796,0.2936802973977695,0.2955665024630542,5,6,0.8333333333333334,,
MES,0900,E0,2,4.0,size_q60_plus,666,284,35.5,0.09236338028169011,-0.18647984293193717,0.2788432232136273,0.25704225352112675,0.2643979057591623,5,6,0.8333333333333334,,
MES,US_POST_EQUITY,E0,1,1.5,size_q40_plus,1764,1094,136.75,0.09180740402193785,-0.020110746268656717,0.11191815029059457,0.4725776965265082,0.48656716417910445,7,7,1.0,0.10616388963560336,0.03993547910510767
MES,US_EQUITY_OPEN,E0,1,2.0,fast30_and_q60,1735,705,88.125,0.09177248226950355,0.09097873786407767,0.0007937444054258724,0.38581560283687943,0.4145631067961165,3,6,0.5,-0.007138080382350601,-0.06574925742574256
MES,US_POST_EQUITY,E0,2,2.5,fast30_and_q60,708,256,32.0,0.09170898437500001,0.09249601769911506,-0.0007870333241150468,0.33203125,0.37389380530973454,3,6,0.5,,
MES,US_POST_EQUITY,E0,1,2.0,fast30_and_q40,1728,1009,126.125,0.09166897918731419,-0.02658219749652295,0.11825117668383714,0.39444995044598613,0.3991655076495132,4,6,0.6666666666666666,0.12514230808755522,-0.0408874028799337
MES,1000,E0,1,1.0,short_q60,1770,389,48.625,0.09121645244215937,-0.05995640839971035,0.1511728608418697,0.6298200514138818,0.6263577118030412,4,6,0.6666666666666666,0.10617385807131076,0.3751108219178082
MES,US_EQUITY_OPEN,E0,2,1.5,size_q40_plus,735,449,56.125,0.0911,0.052083216783216785,0.039016783216783216,0.46770601336302897,0.48951048951048953,3,5,0.6,,
MES,US_EQUITY_OPEN,E0,1,2.5,size_q40_plus,1688,1029,128.625,0.0910849368318756,0.04117769347496205,0.04990724335691355,0.33430515063168126,0.34749620637329287,3,6,0.5,0.060071805261517425,-0.05739690306239932
MES,0030,E0,1,1.5,fast30_and_q40,1774,1073,134.125,0.09096141658900278,-0.07025235378031383,0.1612137703693166,0.47530288909599255,0.456490727532097,6,6,1.0,0.13140171785870997,0.28905121905825426
MES,US_POST_EQUITY,E0,1,1.0,fast30_and_q40,1786,1053,131.625,0.09049648622981957,-0.042148703956343785,0.13264519018616336,0.5897435897435898,0.5866302864938608,6,6,1.0,0.12894788146956288,0.14154363952477544
MES,1000,E0,1,3.0,size_q60_plus,1767,762,95.25,0.09044724409448816,-0.1076060696517413,0.19805331374622948,0.31627296587926507,0.3174129353233831,5,7,0.7142857142857143,0.13111433043293722,0.43446542483660133
M2K,CME_CLOSE,E0,1,1.5,size_q60_plus,893,392,65.33333333333333,0.09030535714285713,-0.02775229540918164,0.11805765255203877,0.5102040816326531,0.5269461077844312,3,5,0.6,0.19660750269995553,-0.11827192982456139
M2K,CME_CLOSE,E0,1,1.5,fast30_and_q60,893,392,65.33333333333333,0.09030535714285713,-0.02775229540918164,0.11805765255203877,0.5102040816326531,0.5269461077844312,3,5,0.6,0.19660750269995553,-0.11827192982456139
MES,0030,E0,2,2.0,short_q60,709,154,19.25,0.09022142857142858,0.10946684684684685,-0.019245418275418272,0.38961038961038963,0.4306306306306306,1,5,0.2,,
MES,1000,E0,1,3.0,fast30_and_q60,1767,660,82.5,0.08997666666666665,-0.08907669376693766,0.1790533604336043,0.31666666666666665,0.3170731707317073,3,6,0.5,0.10600119311237761,0.38170529817953547
MES,US_POST_EQUITY,E0,1,1.0,size_q60_plus,1786,760,95.0,0.0899442105263158,-0.0038594541910331377,0.09380366471734893,0.5802631578947368,0.594541910331384,4,6,0.6666666666666666,0.06418003875824821,0.20128727924405349
MES,1100,E0,2,1.5,fast30_and_q60,652,252,31.5,0.08987579365079365,-0.216871,0.30674679365079366,0.5198412698412699,0.48,4,5,0.8,,
MES,US_EQUITY_OPEN,E0,2,1.5,fast30_and_q60,735,286,35.75,0.08945769230769231,0.06729354120267261,0.022164151105019694,0.46153846153846156,0.48552338530066813,3,5,0.6,,
MES,1000,E0,1,1.5,fast30_and_q60,1769,661,82.625,0.08921709531013615,-0.1026585740072202,0.19187566931735633,0.5052950075642966,0.5,6,6,1.0,0.15952706883932666,0.2891278028876334
MES,1000,E0,1,4.0,fast30_and_q60,1765,659,82.375,0.08898224582701061,-0.12289584086799277,0.21187808669500338,0.2534142640364188,0.24502712477396021,3,6,0.5,0.150520071931095,0.3171278217200251
MES,1000,E0,1,1.5,short_q60,1769,389,48.625,0.08889845758354757,-0.06474978260869564,0.1536482401922432,0.5038560411311054,0.5014492753623189,4,6,0.6666666666666666,0.12059785248675489,0.345252800608828
MES,LONDON_OPEN,E0,2,2.5,size_q60_plus,658,268,33.5,0.08876417910447765,-0.11282615384615385,0.2015903329506315,0.35074626865671643,0.3333333333333333,4,6,0.6666666666666666,,
MES,1000,E0,1,4.0,size_q60_plus,1765,760,95.0,0.08805539473684211,-0.14348815920398011,0.2315435539408222,0.25263157894736843,0.24477611940298508,5,7,0.7142857142857143,0.16201162216323922,0.4404562614379085
MES,US_EQUITY_OPEN,E0,1,2.0,size_q60_plus,1735,736,92.0,0.08768084239130433,0.09396856856856858,-0.006287726177264252,0.3845108695652174,0.4164164164164164,4,6,0.6666666666666666,-0.027861986237679007,0.0050690789473684245
MGC,1100,E0,1,3.0,long_q60,2489,534,48.54545454545455,0.08746779026217229,-0.27472097186700767,0.36218876212917994,0.3408239700374532,0.30025575447570335,7,8,0.875,0.3314661163389868,0.28328823529411773
MES,0030,E0,2,2.5,short_q60,690,150,18.75,0.08706466666666662,0.08943314814814814,-0.002368481481481513,0.3333333333333333,0.362962962962963,2,5,0.4,,
M2K,US_EQUITY_OPEN,E0,1,1.5,short_fast30,1166,598,99.66666666666667,0.08688929765886289,0.01413943661971832,0.07274986103914456,0.47157190635451507,0.44014084507042256,4,5,0.8,0.08387389601139603,0.07986203007518795
MES,1100,E0,2,1.0,size_q60_plus,652,292,36.5,0.08687089041095893,-0.15414333333333333,0.24101422374429227,0.6506849315068494,0.6361111111111111,4,5,0.8,,
MES,LONDON_OPEN,E0,2,2.5,fast30_and_q60,658,257,32.125,0.08661206225680937,-0.10591695760598505,0.19252901986279441,0.35019455252918286,0.3341645885286783,4,5,0.8,,
