symbol,session,rr_target,confirm_bars,direction,n,avg_r,win_rate,t_stat,p_val,long_pct,p_bh
MNQ,0900,2.5,1,ALL,442,-0.1037,0.2308,-1.7451,0.081659,0.495,0.100791
MNQ,0900,3.0,1,ALL,441,-0.0809,0.2086,-1.2279,0.220146,0.494,0.252751
MNQ,0900,4.0,1,ALL,440,-0.0329,0.1773,-0.4204,0.674378,0.495,0.693646
MNQ,0900,1.0,1,LONG,219,-0.1509,0.3881,-2.8546,0.004725,0.495,0.006379
MNQ,0900,1.5,1,LONG,219,-0.1806,0.2968,-2.8139,0.005343,0.495,0.007168
MNQ,0900,2.0,1,LONG,219,-0.1447,0.2603,-1.9273,0.055246,0.495,0.07061
MNQ,0900,2.5,1,LONG,219,-0.1586,0.2192,-1.9037,0.058261,0.495,0.073593
MNQ,0900,3.0,1,LONG,218,-0.1234,0.2018,-1.3276,0.185717,0.494,0.216837
MNQ,0900,4.0,1,LONG,218,-0.1283,0.1606,-1.197,0.232621,0.495,0.264453
MNQ,0900,1.0,1,SHORT,223,-0.0261,0.4484,-0.5123,0.608953,0.495,0.635429
MNQ,0900,1.5,1,SHORT,223,-0.0196,0.3543,-0.305,0.760654,0.495,0.775006
MNQ,0900,2.0,1,SHORT,223,-0.0463,0.2825,-0.6129,0.54058,0.495,0.58635
MNQ,0900,2.5,1,SHORT,223,-0.0497,0.2422,-0.5869,0.557896,0.495,0.596562
MNQ,0900,3.0,1,SHORT,223,-0.0394,0.2152,-0.4211,0.674085,0.494,0.693646
MNQ,0900,4.0,1,SHORT,222,0.0607,0.1937,0.5316,0.59553,0.495,0.624439
MNQ,1000,1.0,1,ALL,474,-0.1008,0.4451,-2.6203,0.009068,0.456,0.012091
MNQ,1000,1.5,1,ALL,474,-0.0549,0.3713,-1.1517,0.250042,0.456,0.28277
MNQ,1000,2.0,1,ALL,474,-0.0771,0.2975,-1.402,0.161564,0.456,0.191746
MNQ,1000,2.5,1,ALL,474,-0.1028,0.2468,-1.6825,0.093124,0.456,0.113643
MNQ,1000,3.0,1,ALL,474,-0.0863,0.2194,-1.2791,0.201502,0.456,0.232751
MNQ,1000,4.0,1,ALL,474,-0.0006,0.1941,-0.007,0.994394,0.456,0.994394
MNQ,1000,1.0,1,LONG,216,-0.0747,0.4583,-1.3028,0.194044,0.456,0.225341
MNQ,1000,1.5,1,LONG,216,0.0064,0.3981,0.0891,0.929118,0.456,0.933439
MNQ,1000,2.0,1,LONG,216,-0.0131,0.3241,-0.1562,0.875997,0.456,0.884184
MNQ,1000,2.5,1,LONG,216,-0.0604,0.2639,-0.6521,0.515037,0.456,0.567592
MNQ,1000,3.0,1,LONG,216,-0.0385,0.2361,-0.3749,0.708108,0.456,0.724888
MNQ,1000,4.0,1,LONG,216,0.0762,0.213,0.6094,0.542917,0.456,0.58635
MNQ,1000,1.0,1,SHORT,258,-0.1227,0.4341,-2.3612,0.018963,0.456,0.024527
MNQ,1000,1.5,1,SHORT,258,-0.1062,0.3488,-1.6714,0.095869,0.456,0.116335
MNQ,1000,2.0,1,SHORT,258,-0.1308,0.2752,-1.7977,0.073396,0.456,0.091639
MNQ,1000,2.5,1,SHORT,258,-0.1383,0.2326,-1.7019,0.089991,0.456,0.110444
MNQ,1000,3.0,1,SHORT,258,-0.1263,0.2054,-1.4133,0.158777,0.456,0.18948
MNQ,1000,4.0,1,SHORT,258,-0.0648,0.1783,-0.6108,0.541887,0.456,0.58635
MNQ,1800,1.0,1,ALL,478,-0.0233,0.5293,-0.5511,0.58181,0.5,0.616034
MNQ,1800,1.5,1,ALL,478,0.0333,0.4477,0.632,0.527689,0.5,0.578583
MNQ,1800,2.0,1,ALL,478,0.0658,0.3849,1.0653,0.287275,0.5,0.323184
MNQ,1800,2.5,1,ALL,477,0.0375,0.3208,0.5415,0.588409,0.499,0.619982
MNQ,1800,3.0,1,ALL,476,0.0583,0.2857,0.7581,0.448748,0.498,0.497075
MNQ,1800,4.0,1,ALL,476,0.0199,0.2206,0.2261,0.8212,0.498,0.832766
MNQ,1800,1.0,1,LONG,239,-0.0801,0.4979,-1.3354,0.183016,0.5,0.214845
MNQ,1800,1.5,1,LONG,239,-0.0443,0.4142,-0.6003,0.548893,0.5,0.589855
MNQ,1800,2.0,1,LONG,239,-0.0387,0.3473,-0.4529,0.651058,0.5,0.676099
MNQ,1800,2.5,1,LONG,238,-0.0766,0.2857,-0.8071,0.42041,0.499,0.468085
MNQ,1800,3.0,1,LONG,237,-0.0943,0.2447,-0.9099,0.363824,0.498,0.407181
MNQ,1800,4.0,1,LONG,237,-0.1434,0.1857,-1.2267,0.221157,0.498,0.252751
MNQ,1800,1.0,1,SHORT,239,0.0335,0.5607,0.564,0.5733,0.5,0.610014
MNQ,1800,1.5,1,SHORT,239,0.1108,0.4812,1.4795,0.140339,0.5,0.168407
MNQ,1800,2.0,1,SHORT,239,0.1703,0.4226,1.9181,0.056298,0.5,0.071532
MNQ,1800,2.5,1,SHORT,239,0.1512,0.3556,1.5031,0.134128,0.499,0.161853
MNQ,1800,3.0,1,SHORT,239,0.2096,0.3264,1.8584,0.064345,0.498,0.080805
MNQ,1800,4.0,1,SHORT,239,0.1818,0.2552,1.3883,0.166355,0.498,0.196353
