candidate_id,variant,year,n,avg_r,wr
A3,strict_all4,2023,1,-1.0,0.0
A3,strict_all4,2024,6,-0.62335,0.16666666666666666
A3,strict_all4,2025,9,0.27015555555555554,0.5555555555555556
B1,baseline,2021,149,-0.012959731543624144,0.3691275167785235
B1,baseline,2022,176,0.20947613636363635,0.42045454545454547
B1,baseline,2023,182,-0.20147582417582416,0.3241758241758242
B1,baseline,2024,143,0.0005363636363636409,0.38461538461538464
B1,baseline,2025,163,0.1290355828220859,0.38650306748466257
B1,baseline,2026,17,0.24144117647058827,0.4117647058823529
B1,veto_D,2021,136,0.00019117647058823384,0.375
B1,veto_D,2022,173,0.211564161849711,0.42196531791907516
B1,veto_D,2023,179,-0.18809273743016758,0.329608938547486
B1,veto_D,2024,137,0.008715328467153277,0.38686131386861317
B1,veto_D,2025,159,0.15743899371069184,0.39622641509433965
B1,veto_D,2026,17,0.24144117647058827,0.4117647058823529
B1,bqs_ge3,2021,37,0.08575675675675679,0.40540540540540543
B1,bqs_ge3,2022,16,-0.0838875,0.3125
B1,bqs_ge3,2024,39,0.347025641025641,0.5128205128205128
B1,bqs_ge3,2025,29,0.15846551724137925,0.41379310344827586
B1,bqs_ge3,2026,8,-0.63525,0.125
B1,strict_all4,2021,5,-0.39109999999999995,0.2
B1,strict_all4,2022,3,-1.0,0.0
B1,strict_all4,2024,8,0.11481249999999998,0.375
B1,strict_all4,2025,9,0.5856444444444445,0.5555555555555556
B1,strict_all4,2026,2,-1.0,0.0
B2,baseline,2020,208,0.011101923076923089,0.35096153846153844
B2,baseline,2021,210,0.03568238095238096,0.38571428571428573
B2,baseline,2022,220,0.10309318181818183,0.38181818181818183
B2,baseline,2023,226,-0.18109026548672566,0.336283185840708
B2,baseline,2024,213,-0.02845305164319248,0.38028169014084506
B2,baseline,2025,210,0.12859714285714283,0.3904761904761905
B2,baseline,2026,24,0.08773333333333334,0.375
B2,veto_D,2020,204,0.01647352941176468,0.35294117647058826
B2,veto_D,2021,202,0.03861386138613862,0.38613861386138615
B2,veto_D,2022,219,0.10813013698630138,0.3835616438356164
B2,veto_D,2023,222,-0.16633513513513515,0.34234234234234234
B2,veto_D,2024,207,-0.023880193236714982,0.38164251207729466
B2,veto_D,2025,209,0.13399712918660286,0.3923444976076555
B2,veto_D,2026,24,0.08773333333333334,0.375
B2,bqs_ge3,2020,111,-0.005516216216216211,0.35135135135135137
B2,bqs_ge3,2021,116,0.058263793103448265,0.39655172413793105
B2,bqs_ge3,2022,62,0.06500645161290323,0.3548387096774194
B2,bqs_ge3,2023,124,-0.1075217741935484,0.3709677419354839
B2,bqs_ge3,2024,60,-0.27348333333333336,0.3
B2,bqs_ge3,2025,13,0.1008153846153846,0.38461538461538464
B2,bqs_ge3,2026,15,-0.08007333333333332,0.3333333333333333
B2,strict_all4,2020,21,-0.06354761904761907,0.3333333333333333
B2,strict_all4,2021,17,0.004911764705882347,0.35294117647058826
B2,strict_all4,2022,8,0.17251249999999996,0.375
B2,strict_all4,2023,30,-0.18922000000000003,0.3333333333333333
B2,strict_all4,2024,19,-0.18749473684210524,0.3157894736842105
B2,strict_all4,2026,2,0.5222500000000001,0.5
