label,n,avg_r,wr,total_r,sharpe,median_mfe,mfe_gte_0.5R,mfe_gte_1.0R,mfe_gte_1.5R,mfe_gte_2.0R,mfe_gte_2.5R,mfe_gte_3.0R,instrument,session,lookback,test,threshold
CONTRACT<1.5x (N=693),693,-0.5058741702741703,0.1341991341991342,-350.5708,-0.4942834029822666,0.3247,0.4184704184704185,0.24963924963924963,0.18181818181818182,0.13131313131313133,0.08802308802308802,0.04184704184704185,MGC,0900,10,expansion_ratio,<1.5
EXPAND>=2.0x (N=150),150,0.0065559999999999855,0.20666666666666667,0.9833999999999978,0.004369822147821025,0.4703,0.4866666666666667,0.35333333333333333,0.28,0.25333333333333335,0.22,0.14666666666666667,MGC,0900,10,expansion_ratio,>=2.0
CONTRACT<2.0x (N=810),810,-0.45104086419753087,0.1419753086419753,-365.3431,-0.41352072543886853,0.3275,0.4222222222222222,0.2641975308641975,0.1962962962962963,0.145679012345679,0.09753086419753086,0.05308641975308642,MGC,0900,10,expansion_ratio,<2.0
EXPAND>=3.0x (N=61),61,0.19750491803278686,0.22950819672131148,12.047799999999999,0.12289243106530455,0.438,0.45901639344262296,0.32786885245901637,0.2786885245901639,0.2786885245901639,0.2459016393442623,0.19672131147540983,MGC,0900,10,expansion_ratio,>=3.0
CONTRACT<3.0x (N=899),899,-0.4186957730812014,0.1468298109010011,-376.4075,-0.3704289779856041,0.3425,0.43047830923248054,0.27474972191323693,0.20467185761957732,0.1546162402669633,0.10789766407119021,0.058954393770856504,MGC,0900,10,expansion_ratio,<3.0
"r(expansion,pnl)=0.117 p=0.0003 | r(expansion,mfe)=0.100 p=0.0020",960,0.11722505279585631,0.0002727338432701147,,,0.09970759816396188,,,,,,,MGC,0900,10,expansion_ratio_correlation,continuous
POST-NR10 (N=113),113,-0.44890176991150443,0.1504424778761062,-50.7259,-0.4158274847648067,0.2577,0.35398230088495575,0.2743362831858407,0.22123893805309736,0.13274336283185842,0.09734513274336283,0.061946902654867256,MGC,0900,10,post_nr,post_nr=True
NOT-NR10 (N=857),857,-0.37043932322053674,0.1528588098016336,-317.4665,-0.3124418700275866,0.3804,0.44457409568261375,0.27887981330221706,0.20770128354725786,0.16569428238039674,0.11785297549591599,0.0676779463243874,MGC,0900,10,post_nr,post_nr=False
pnl t=-0.71 p=0.4758 | mfe t=-0.65 p=0.5164,113,-0.07846244669096769,,,,,,,,,,,MGC,0900,10,post_nr_significance,t-test
"r(expansion_ratio, abs_size)=0.405 p=0.0000",960,0.40489116378641454,,,,,,,,,,,MGC,0900,10,confound_check,ratio_vs_abs_size
