symbol,anchor,target_mode,year,n,avg_r,total_r,wr
MES,1000,SPLIT70,2022,9,-0.6047549523515305,-5.442794571163775,0.1111111111111111
MES,1000,SPLIT70,2023,6,-0.5996625897479374,-3.597975538487624,0.16666666666666666
MES,1000,SPLIT70,2024,10,0.5212621726033135,5.212621726033135,0.8
MES,1000,SPLIT70,2025,14,0.1500699046104916,2.1009786645468824,0.5
MES,1000,SPLIT70,2026,1,-1.0,-1.0,0.0
MES,1000,SPLIT70_BE,2019,4,0.43832839442321814,1.7533135776928725,0.5
MES,1000,SPLIT70_BE,2020,10,-0.09924590041132851,-0.9924590041132851,0.3
MES,1000,SPLIT70_BE,2021,5,0.15657923796741396,0.7828961898370699,0.8
MES,1000,SPLIT70_BE,2022,9,-0.5683319825229897,-5.114987842706907,0.1111111111111111
MES,1000,SPLIT70_BE,2023,6,-0.5574575042956652,-3.3447450257739915,0.16666666666666666
MES,1000,SPLIT70_BE,2024,10,0.5018242085017548,5.018242085017548,0.6
MES,1000,SPLIT70_BE,2025,14,0.14510197202669578,2.031427608373741,0.42857142857142855
MES,1000,SPLIT70_BE,2026,1,-1.0,-1.0,0.0
MGC,1000,FAR,2016,7,-0.6034655103533199,-4.224258572473239,0.14285714285714285
MGC,1000,FAR,2017,1,-0.46601941747569875,-0.46601941747569875,0.0
MGC,1000,FAR,2018,6,0.4301929879722857,2.5811579278337144,0.6666666666666666
MGC,1000,FAR,2019,9,0.18550132665576605,1.6695119399018945,0.3333333333333333
MGC,1000,FAR,2020,9,-0.11568613098535055,-1.041175178868155,0.4444444444444444
MGC,1000,FAR,2021,5,0.4204927847898731,2.1024639239493657,0.4
MGC,1000,FAR,2022,3,-0.14133114215278933,-0.423993426458368,0.3333333333333333
MGC,1000,FAR,2023,4,0.5225167906598975,2.09006716263959,0.5
MGC,1000,FAR,2024,6,0.1526717490496127,0.9160304942976762,0.3333333333333333
MGC,1000,FAR,2025,10,-0.5143494203484706,-5.143494203484707,0.2
MGC,1000,FAR,2026,1,4.322580645160877,4.322580645160877,1.0
MGC,1000,MID,2016,7,-0.45373626282379664,-3.1761538397665765,0.14285714285714285
MGC,1000,MID,2017,1,-0.7087378640776405,-0.7087378640776405,0.0
MGC,1000,MID,2018,6,0.2270837507582678,1.3625025045496069,0.6666666666666666
MGC,1000,MID,2019,9,-0.10014011772391804,-0.9012610595152624,0.4444444444444444
MGC,1000,MID,2020,9,-0.10368641648521697,-0.9331777483669527,0.5555555555555556
MGC,1000,MID,2021,5,0.024202999305269833,0.12101499652634917,0.6
MGC,1000,MID,2022,3,-0.5316351684469743,-1.594905505340923,0.3333333333333333
MGC,1000,MID,2023,4,-0.017252032044292764,-0.06900812817717106,0.5
MGC,1000,MID,2024,6,-0.3712699550638477,-2.2276197303830862,0.16666666666666666
MGC,1000,MID,2025,10,-0.5363323494658853,-5.363323494658853,0.2
MGC,1000,MID,2026,1,1.903225806451411,1.903225806451411,1.0
MGC,1000,SPLIT70,2016,7,-0.49865503708265363,-3.4905852595785754,0.2857142857142857
MGC,1000,SPLIT70,2017,1,-0.6359223300970579,-0.6359223300970579,0.0
MGC,1000,SPLIT70,2018,6,0.2880165219224731,1.7280991315348389,0.5
MGC,1000,SPLIT70,2019,9,-0.01444768441001291,-0.1300291596901162,0.4444444444444444
MGC,1000,SPLIT70,2020,9,-0.10728633083525704,-0.9655769775173134,0.4444444444444444
MGC,1000,SPLIT70,2021,5,0.14308993495065087,0.7154496747532543,0.4
MGC,1000,SPLIT70,2022,3,-0.41454396055871884,-1.2436318816761565,0.3333333333333333
MGC,1000,SPLIT70,2023,4,0.14467861476696436,0.5787144590678575,0.5
MGC,1000,SPLIT70,2024,6,-0.21408744382980957,-1.2845246629788574,0.16666666666666666
MGC,1000,SPLIT70,2025,10,-0.5297374707306608,-5.297374707306608,0.2
MGC,1000,SPLIT70,2026,1,2.6290322580642504,2.6290322580642504,1.0
MGC,1000,SPLIT70_BE,2016,7,-0.478504262353556,-3.349529836474892,0.14285714285714285
MGC,1000,SPLIT70_BE,2017,1,-0.6359223300970579,-0.6359223300970579,0.0
MGC,1000,SPLIT70_BE,2018,6,0.3255608581569673,1.9533651489418036,0.6666666666666666
MGC,1000,SPLIT70_BE,2019,9,-0.18853184949979082,-1.6967866454981173,0.4444444444444444
MGC,1000,SPLIT70_BE,2020,9,-0.1561220952630696,-1.4050988573676264,0.4444444444444444
MGC,1000,SPLIT70_BE,2021,5,0.16968545896920376,0.8484272948460188,0.6
MGC,1000,SPLIT70_BE,2022,3,-0.5928512736236472,-1.7785538208709415,0.3333333333333333
MGC,1000,SPLIT70_BE,2023,4,0.05322099158342569,0.21288396633370277,0.5
MGC,1000,SPLIT70_BE,2024,6,-0.24078317431031815,-1.444699045861909,0.16666666666666666
MGC,1000,SPLIT70_BE,2025,10,-0.5122238587667358,-5.122238587667358,0.2
MGC,1000,SPLIT70_BE,2026,1,2.6290322580642504,2.6290322580642504,1.0
MNQ,1000,FAR,2024,2,-1.0,-2.0,0.0
