config,layer,group,n,avg_r,wr,t,p,bh_sig
MGC_1000_E0,vel_x_comp,Stable×Expanded,160,-0.182839375,0.25,-1.9107711232611886,0.057833594673120346,False
MGC_1000_E0,vel_x_comp,Contracting×Compressed,74,-0.36076756756756756,0.2702702702702703,-2.9279075805090136,0.004548591060831941,True
MGC_1000_E0,vel_x_comp,Contracting×Neutral,113,-0.24859380530973454,0.2920353982300885,-2.386804315799087,0.01867137013824136,True
MGC_1000_E0,vel_x_comp,Contracting×Expanded,63,-0.2725746031746032,0.20634920634920634,-1.8413184770764919,0.07035995408785656,False
MGC_1000_E1,baseline,all,2547,-0.3646537495092265,0.26501766784452296,-19.031648382827456,1.2985801240008758e-75,True
MGC_1000_E1,vel_x_comp,Expanding×Compressed,161,-0.3892335403726708,0.2857142857142857,-5.146681266893968,7.683270186592134e-07,True
MGC_1000_E1,vel_x_comp,Expanding×Neutral,213,-0.3022525821596244,0.26291079812206575,-4.128121960712289,5.2580483263326364e-05,True
MGC_1000_E1,vel_x_comp,Expanding×Expanded,150,-0.2833346666666666,0.22,-3.2037988266393094,0.0016589469801511448,True
MGC_1000_E1,vel_x_comp,Stable×Compressed,559,-0.4073590339892666,0.2844364937388193,-10.716034976920218,1.7115673209410797e-24,True
MGC_1000_E1,vel_x_comp,Stable×Neutral,590,-0.39829728813559323,0.25084745762711863,-10.423439362391731,1.8392496780896734e-23,True
MGC_1000_E1,vel_x_comp,Stable×Expanded,353,-0.2615546742209632,0.26628895184135976,-4.62313689906532,5.314904682918393e-06,True
MGC_1000_E1,vel_x_comp,Contracting×Compressed,164,-0.4461371951219512,0.2804878048780488,-6.448100855748496,1.2293907813126856e-09,True
MGC_1000_E1,vel_x_comp,Contracting×Neutral,208,-0.3717942307692308,0.27403846153846156,-5.792966304634005,2.5453112843220692e-08,True
MGC_1000_E1,vel_x_comp,Contracting×Expanded,144,-0.33811736111111107,0.25,-4.033933069820038,8.893486470979656e-05,True
MGC_1800_E0,baseline,all,1263,-0.1705051464766429,0.35312747426761676,-5.27146851562408,1.5905695354863002e-07,True
MGC_1800_E0,vel_x_comp,Expanding×Compressed,99,-0.15442525252525252,0.37373737373737376,-1.3581590379948867,0.17753178866505576,False
MGC_1800_E0,vel_x_comp,Expanding×Neutral,113,-0.019744247787610598,0.3893805309734513,-0.1675723437130171,0.8672219296696642,False
