symbol,session,rr_target,confirm_bars,t80_minutes,n_before,n_after,avg_r_before,avg_r_after,wr_before,wr_after,t_stat,p_val,p_bh,verdict
MES,1000,4.0,2,478.0,1260,160,-0.0769,0.8212,0.2333,0.425,4.8571,3e-06,1.3e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1000,4.0,3,528.0,818,108,-0.0441,0.6289,0.2372,0.3796,3.1061,0.002427,0.005087,NO-BENEFIT (avg_r_after >= 0)
MES,1000,4.0,4,529.0,634,91,-0.0753,0.5952,0.2256,0.3626,2.6612,0.009221,0.016758,NO-BENEFIT (avg_r_after >= 0)
MES,1100,1.0,1,31.0,4078,927,-0.1909,-0.1608,0.5581,0.5049,-5.8333,0.0,0.0,SURVIVES — time-stop recommended
MES,1100,1.0,2,50.0,1968,431,-0.1769,-0.1769,0.5452,0.4896,-4.3299,1.9e-05,6.8e-05,SURVIVES — time-stop recommended
MES,1100,1.0,3,65.0,1708,377,-0.2149,-0.1669,0.5082,0.4907,-3.7862,0.000178,0.000518,SURVIVES — time-stop recommended
MES,1100,1.0,4,76.0,1656,361,-0.1861,-0.1054,0.5211,0.5235,-2.3271,0.020512,0.03345,SURVIVES — time-stop recommended
MES,1100,1.0,5,86.0,1557,370,-0.1939,-0.1841,0.5106,0.473,-4.0828,5.5e-05,0.000177,SURVIVES — time-stop recommended
MES,1100,1.5,1,66.0,4398,754,-0.2529,0.0221,0.4125,0.4973,0.5825,0.56043,0.616058,NO-BENEFIT (avg_r_after >= 0)
MES,1100,1.5,2,119.0,2088,341,-0.2402,0.0232,0.4018,0.4868,0.4037,0.686711,0.729496,NO-BENEFIT (avg_r_after >= 0)
MES,1100,1.5,3,140.0,1784,319,-0.2593,-0.0215,0.384,0.4608,-0.3598,0.719241,0.754961,DIRECTIONAL (not significant)
MES,1100,1.5,4,166.0,1703,335,-0.2365,-0.0428,0.3922,0.4448,-0.7276,0.467382,0.533535,DIRECTIONAL (not significant)
MES,1100,1.5,5,184.0,1606,333,-0.2492,-0.1287,0.3811,0.4084,-2.222,0.026954,0.042553,SURVIVES — time-stop recommended
MES,1100,2.0,1,107.0,4480,705,-0.2576,0.1321,0.3438,0.4596,2.8246,0.004868,0.009358,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.0,2,230.0,2145,286,-0.2558,0.1965,0.3291,0.4755,2.6177,0.009326,0.016878,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.0,3,258.0,1840,266,-0.2767,0.153,0.313,0.4511,1.9456,0.052764,0.079414,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.0,4,261.0,1755,284,-0.2517,0.0728,0.3197,0.419,0.9628,0.336491,0.400765,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.0,5,270.0,1666,274,-0.2527,0.0809,0.3151,0.4234,1.0523,0.293583,0.357699,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.5,1,190.0,4549,642,-0.28,0.24,0.2853,0.4315,4.2263,2.7e-05,9.4e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.5,2,293.0,2165,263,-0.2824,0.3172,0.2725,0.4449,3.4623,0.000625,0.001536,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.5,3,328.0,1881,226,-0.3274,0.3167,0.2493,0.4381,3.1657,0.001761,0.003821,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.5,4,329.0,1798,238,-0.291,0.2706,0.2603,0.4244,2.7949,0.005618,0.010634,NO-BENEFIT (avg_r_after >= 0)
MES,1100,2.5,5,348.0,1729,209,-0.2983,0.35,0.2545,0.4498,3.3551,0.000943,0.0022,NO-BENEFIT (avg_r_after >= 0)
MES,1100,3.0,1,281.0,4652,538,-0.3064,0.4573,0.2414,0.4424,6.4142,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,3.0,2,355.0,2204,222,-0.2892,0.6068,0.2359,0.4775,5.3157,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,3.0,3,357.0,1890,214,-0.3328,0.4076,0.218,0.4112,3.5108,0.000545,0.001385,NO-BENEFIT (avg_r_after >= 0)
MES,1100,3.0,4,388.0,1840,192,-0.3072,0.5555,0.2234,0.4531,4.4578,1.4e-05,5.2e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1100,3.0,5,396.0,1756,178,-0.3137,0.5708,0.2175,0.4551,4.3832,2e-05,7.1e-05,NO-BENEFIT (avg_r_after >= 0)
MES,1100,4.0,1,366.0,4768,417,-0.3333,0.9632,0.185,0.47,9.3028,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,4.0,2,418.0,2228,197,-0.3148,0.962,0.1822,0.4619,6.3004,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,4.0,3,472.0,1956,147,-0.3356,1.0863,0.1733,0.483,6.0356,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,4.0,4,481.0,1881,146,-0.3095,1.1289,0.1792,0.4932,6.2537,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1100,4.0,5,513.0,1796,133,-0.3429,1.1715,0.1676,0.4962,6.1111,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
MES,1800,1.0,1,42.0,4156,975,-0.1603,-0.2085,0.5238,0.4636,-7.6025,0.0,0.0,SURVIVES — time-stop recommended
MES,1800,1.0,2,60.0,1990,445,-0.132,-0.2015,0.5271,0.4607,-4.8886,1e-06,5e-06,SURVIVES — time-stop recommended
MES,1800,1.0,3,75.0,1674,386,-0.1455,-0.1889,0.5108,0.4637,-4.2302,2.9e-05,0.0001,SURVIVES — time-stop recommended
MES,1800,1.0,4,81.0,1576,377,-0.1403,-0.1866,0.5114,0.4615,-4.1029,5e-05,0.000165,SURVIVES — time-stop recommended
MES,1800,1.0,5,85.0,1494,396,-0.1297,-0.2374,0.5134,0.4318,-5.3771,0.0,0.0,SURVIVES — time-stop recommended
MES,1800,1.5,1,78.0,4369,836,-0.1905,-0.0625,0.406,0.4402,-1.7001,0.089493,0.126243,DIRECTIONAL (not significant)
MES,1800,1.5,2,109.0,2065,386,-0.1566,-0.1009,0.4107,0.4171,-1.8543,0.06446,0.094152,SURVIVES — time-stop recommended
MES,1800,1.5,3,132.0,1734,332,-0.1589,-0.0595,0.4031,0.4307,-0.9981,0.318949,0.384189,DIRECTIONAL (not significant)
MES,1800,1.5,4,150.0,1634,328,-0.1447,-0.0335,0.407,0.439,-0.5532,0.580523,0.632523,DIRECTIONAL (not significant)
MES,1800,1.5,5,158.0,1560,333,-0.1578,-0.0825,0.3974,0.4144,-1.374,0.170376,0.221788,DIRECTIONAL (not significant)
MES,1800,2.0,1,121.0,4462,742,-0.2106,0.0329,0.3303,0.407,0.715,0.474864,0.537938,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.0,2,189.0,2141,310,-0.1813,0.1226,0.333,0.4323,1.6698,0.095963,0.134095,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.0,3,228.0,1814,247,-0.2181,0.2496,0.3126,0.4737,2.9633,0.003342,0.006775,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.0,4,226.0,1696,257,-0.1933,0.2289,0.3208,0.463,2.76,0.006199,0.011615,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.0,5,239.0,1643,244,-0.2226,0.2496,0.3074,0.4631,2.8866,0.004244,0.008353,NO-BENEFIT (avg_r_after >= 0)
MES,1800,2.5,1,198.0,4618,588,-0.2415,0.3278,0.272,0.4473,5.3542,0.0,0.0,NO-BENEFIT (avg_r_after >= 0)
