symbol,leader_session,follower_session,entry_model,confirm_bars,rr_target,condition,n,n_on,signals_per_year,avg_on,avg_off,uplift,perm_p,test2025_uplift
MES,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp_stretch,1660,203,25.375,0.11812315270935961,0.017065202470830473,0.10105795023852913,0.208955223880597,
MES,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same,1524,787,98.375,-0.09460914866581957,-0.18639226594301223,0.09178311727719266,0.1044776119402985,0.07105724739904776
MES,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_fast30,1524,668,83.5,-0.10078907185628742,-0.16881004672897199,0.06802097487268456,0.21393034825870647,0.04346385850388146
MES,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_cont,1524,683,85.375,-0.08395109809663251,-0.1836978596908442,0.0997467615942117,0.1044776119402985,0.07105724739904776
MES,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp,1524,737,92.125,-0.18639226594301223,-0.09460914866581957,-0.09178311727719266,0.900497512437811,-0.07105724739904776
MES,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp_stretch,1524,184,23.0,-0.038749456521739126,-0.15276014925373135,0.11401069273199223,0.14925373134328357,
MNQ,0900,1000,E0,1,2.5,same,482,250,83.33333333333333,0.1745532,-0.012473275862068976,0.18702647586206897,0.03482587064676617,0.3774811605937921
MNQ,0900,1000,E0,1,2.5,same_fast30,482,241,80.33333333333333,0.2048701244813278,-0.03580580912863071,0.2406759336099585,0.004975124378109453,0.4662132974789916
MNQ,0900,1000,E0,1,2.5,same_cont,482,246,82.0,0.1808044715447154,-0.015819491525423727,0.19662396307013913,0.01990049751243781,0.3951736568924839
MNQ,0900,1000,E0,1,2.5,opp,482,232,77.33333333333333,-0.012473275862068976,0.1745532,-0.18702647586206897,0.9701492537313433,-0.3774811605937921
MNQ,0900,1000,E1,2,2.5,same,482,251,83.66666666666667,0.1284422310756972,-0.11973982683982684,0.24818205791552403,0.04477611940298507,0.4046126785714286
MNQ,0900,1000,E1,2,2.5,same_fast30,482,242,80.66666666666667,0.1568628099173554,-0.13909041666666663,0.295953226584022,0.01990049751243781,0.48637689572649573
MNQ,0900,1000,E1,2,2.5,same_cont,482,247,82.33333333333333,0.13366437246963564,-0.1210042553191489,0.2546686277887845,0.03980099502487562,0.420908341908486
MNQ,0900,1000,E1,2,2.5,opp,482,231,77.0,-0.11973982683982684,0.1284422310756972,-0.24818205791552403,0.9601990049751243,-0.4046126785714286
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same,471,234,78.0,0.03719743589743588,0.06943248945147677,-0.03223505355404089,0.5870646766169154,-0.0074722807017543885
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_fast30,471,231,77.0,0.05066753246753246,0.05606458333333332,-0.005397050865800862,0.5124378109452736,-0.0074722807017543885
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_cont,471,234,78.0,0.03719743589743588,0.06943248945147677,-0.03223505355404089,0.5870646766169154,-0.0074722807017543885
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp,471,237,79.0,0.06943248945147677,0.03719743589743588,0.03223505355404089,0.417910447761194,0.0074722807017543885
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same,425,216,72.0,-0.08741805555555555,-0.15326028708133974,0.06584223152578418,0.40298507462686567,0.014132667591308351
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_fast30,425,213,71.0,-0.07456478873239439,-0.16524245283018868,0.09067766409779429,0.29850746268656714,0.014132667591308351
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_cont,425,216,72.0,-0.08741805555555555,-0.15326028708133974,0.06584223152578418,0.40298507462686567,0.014132667591308351
MNQ,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp,425,209,69.66666666666667,-0.15326028708133974,-0.08741805555555555,-0.06584223152578418,0.6019900497512438,-0.014132667591308351
M2K,0900,1000,E0,1,2.5,same,1032,492,82.0,-0.14365731707317073,-0.1849131481481481,0.04125583107497738,0.2736318407960199,0.2768566237541528
M2K,0900,1000,E0,1,2.5,same_fast30,1032,470,78.33333333333333,-0.1392072340425532,-0.1870197508896797,0.04781251684712651,0.25870646766169153,0.24442166666666668
M2K,0900,1000,E0,1,2.5,same_cont,1032,418,69.66666666666667,-0.13992488038277512,-0.18248192182410425,0.04255704144132913,0.3283582089552239,0.2946249387755102
M2K,0900,1000,E0,1,2.5,opp,1032,540,90.0,-0.1849131481481481,-0.14365731707317073,-0.04125583107497738,0.7313432835820896,-0.2768566237541528
M2K,0900,1000,E0,1,2.5,opp_stretch,1032,142,23.666666666666668,-0.06766267605633804,-0.18081393258426964,0.1131512565279316,0.15920398009950248,
M2K,0900,1000,E1,2,2.5,same,1230,596,99.33333333333333,-0.2571974832214765,-0.28244305993690855,0.02524557671543204,0.31840796019900497,0.2379259009009009
M2K,0900,1000,E1,2,2.5,same_fast30,1230,569,94.83333333333333,-0.24520773286467487,-0.2917328290468987,0.04652509618222381,0.24875621890547264,0.24499140010843043
M2K,0900,1000,E1,2,2.5,same_cont,1230,500,83.33333333333333,-0.2598958,-0.2772749315068493,0.017379131506849277,0.39303482587064675,0.2920585867499321
M2K,0900,1000,E1,2,2.5,opp,1230,634,105.66666666666667,-0.28244305993690855,-0.2571974832214765,-0.02524557671543204,0.6865671641791045,-0.2379259009009009
M2K,0900,1000,E1,2,2.5,opp_stretch,1230,172,28.666666666666668,-0.231625,-0.27648308128544424,0.044858081285444246,0.42786069651741293,
M2K,1000,US_DATA_OPEN,E0,1,2.5,same,1154,564,94.0,-0.06193031914893618,-0.07570271186440679,0.013772392715470608,0.3880597014925373,0.1521689814814815
M2K,1000,US_DATA_OPEN,E0,1,2.5,same_fast30,1154,553,92.16666666666667,-0.07509150090415914,-0.06334059900166389,-0.011750901902495253,0.5174129353233831,0.16700350011564258
M2K,1000,US_DATA_OPEN,E0,1,2.5,same_cont,1154,525,87.5,-0.05487104761904761,-0.08074085850556438,0.02586981088651677,0.35323383084577115,0.12496165291804795
M2K,1000,US_DATA_OPEN,E0,1,2.5,opp,1154,590,98.33333333333333,-0.07570271186440679,-0.06193031914893618,-0.013772392715470608,0.6169154228855721,-0.1521689814814815
M2K,1000,US_DATA_OPEN,E0,1,2.5,opp_stretch,1154,177,29.5,-0.05726892655367232,-0.07109181166837258,0.013822885114700263,0.44776119402985076,
M2K,1000,US_DATA_OPEN,E1,2,2.5,same,1160,568,94.66666666666667,-0.1612669014084507,-0.2826584459459459,0.1213915445374952,0.024875621890547265,0.29141753124091835
M2K,1000,US_DATA_OPEN,E1,2,2.5,same_fast30,1160,557,92.83333333333333,-0.17757701974865353,-0.2653781094527363,0.08780108970408279,0.09950248756218906,0.3016313008130081
M2K,1000,US_DATA_OPEN,E1,2,2.5,same_cont,1160,530,88.33333333333333,-0.16626188679245285,-0.2711342857142857,0.10487239892183287,0.05970149253731343,0.2164956332511243
M2K,1000,US_DATA_OPEN,E1,2,2.5,opp,1160,592,98.66666666666667,-0.2826584459459459,-0.1612669014084507,-0.1213915445374952,0.9800995024875622,-0.29141753124091835
M2K,1000,US_DATA_OPEN,E1,2,2.5,opp_stretch,1160,176,29.333333333333332,-0.3106340909090909,-0.2075831300813008,-0.10305096082779008,0.8059701492537313,
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same,976,485,80.83333333333333,-0.1317498969072165,0.014581059063136474,-0.14633095597035298,0.945273631840796,-0.42248629314110975
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_fast30,976,452,75.33333333333333,-0.14611194690265486,0.017754198473282436,-0.1638661453759373,0.9751243781094527,-0.402859696969697
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_cont,976,480,80.0,-0.122705625,0.004353427419354853,-0.12705905241935486,0.9154228855721394,-0.400592962962963
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp,976,491,81.83333333333333,0.014581059063136474,-0.1317498969072165,0.14633095597035298,0.05970149253731343,0.42248629314110975
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp_stretch,976,125,20.833333333333332,0.027196799999999983,-0.07066862514688603,0.09786542514688601,0.23383084577114427,
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same,815,406,67.66666666666667,-0.3004246305418719,-0.2565650366748166,-0.04385959386705529,0.6865671641791045,-0.06538168449197862
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_fast30,815,377,62.833333333333336,-0.31608912466843503,-0.2459860730593607,-0.07010305160907432,0.7910447761194029,-0.07271201754385964
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_cont,815,403,67.16666666666667,-0.2952168734491315,-0.2619783980582524,-0.033238475390879096,0.6616915422885572,-0.04714454303460508
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp,815,409,68.16666666666667,-0.2565650366748166,-0.3004246305418719,0.04385959386705529,0.31840796019900497,0.06538168449197862
M2K,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp_stretch,815,104,17.333333333333332,-0.27608365384615385,-0.27875499296765116,0.002671339121497307,0.4527363184079602,
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same,1111,535,89.16666666666667,-0.007866542056074767,0.08138993055555556,-0.08925647261163033,0.845771144278607,-0.18111279722970375
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_fast30,1111,532,88.66666666666667,-0.008228195488721803,0.08125975820379965,-0.08948795369252145,0.8407960199004975,-0.18111279722970375
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_cont,1111,534,89.0,-0.006008614232209739,0.0795157712305026,-0.08552438546271234,0.8407960199004975,-0.18111279722970375
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp,1111,576,96.0,0.08138993055555556,-0.007866542056074767,0.08925647261163033,0.15920398009950248,0.18111279722970375
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp_stretch,1111,162,27.0,0.09618148148148149,0.028546469968387774,0.06763501151309372,0.32338308457711445,
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same,967,465,77.5,-0.20277354838709677,-0.13805159362549801,-0.06472195476159875,0.7263681592039801,-0.14816367889420523
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_fast30,967,459,76.5,-0.20666100217864922,-0.1353035433070866,-0.07135745887156261,0.7761194029850746,-0.1780257638667093
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_cont,967,464,77.33333333333333,-0.20105538793103447,-0.1397652087475149,-0.06129017918351956,0.7064676616915423,-0.14816367889420523
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp,967,502,83.66666666666667,-0.13805159362549801,-0.20277354838709677,0.06472195476159875,0.27860696517412936,0.14816367889420523
M2K,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp_stretch,967,137,22.833333333333332,-0.206714598540146,-0.1629779518072289,-0.043736646732917106,0.6865671641791045,
M6E,1000,US_DATA_OPEN,E0,1,2.5,same,1075,542,90.33333333333333,-0.30315258302583026,-0.2903031894934334,-0.012849393532396836,0.6616915422885572,0.13535406746031745
M6E,1000,US_DATA_OPEN,E0,1,2.5,same_fast30,1075,514,85.66666666666667,-0.3007311284046693,-0.29316310160427805,-0.007568026800391259,0.6417910447761194,0.18814742063492065
M6E,1000,US_DATA_OPEN,E0,1,2.5,same_cont,1075,486,81.0,-0.28985864197530864,-0.3024940577249576,0.012635415749648937,0.572139303482587,0.03412970297029705
M6E,1000,US_DATA_OPEN,E0,1,2.5,opp,1075,533,88.83333333333333,-0.2903031894934334,-0.30315258302583026,0.012849393532396836,0.34328358208955223,-0.13535406746031745
M6E,1000,US_DATA_OPEN,E0,1,2.5,opp_stretch,1075,145,24.166666666666668,-0.21052758620689654,-0.3102298924731183,0.09970230626622173,0.0945273631840796,
M6E,1000,US_DATA_OPEN,E1,2,2.5,same,1024,506,84.33333333333333,-0.3784300395256917,-0.4077416988416988,0.0293116593160071,0.3880597014925373,0.152423007316134
M6E,1000,US_DATA_OPEN,E1,2,2.5,same_fast30,1024,482,80.33333333333333,-0.37813008298755196,-0.40671051660516605,0.028580433617614087,0.3781094527363184,0.1869169966199904
M6E,1000,US_DATA_OPEN,E1,2,2.5,same_cont,1024,456,76.0,-0.3734967105263157,-0.40912200704225354,0.03562529651593782,0.39800995024875624,0.1308295321637427
M6E,1000,US_DATA_OPEN,E1,2,2.5,opp,1024,518,86.33333333333333,-0.4077416988416988,-0.3784300395256917,-0.0293116593160071,0.6169154228855721,-0.152423007316134
M6E,1000,US_DATA_OPEN,E1,2,2.5,opp_stretch,1024,142,23.666666666666668,-0.40067887323943663,-0.3920628117913832,-0.008616061448053436,0.43283582089552236,
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same,1176,589,98.16666666666667,-0.19651171477079796,-0.2399136286201022,0.04340191384930425,0.22388059701492538,0.055016807017543884
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_fast30,1176,565,94.16666666666667,-0.20446690265486728,-0.23085253682487727,0.026385634170009997,0.3482587064676617,-0.02239200980392153
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,same_cont,1176,578,96.33333333333333,-0.1961574394463668,-0.2394576923076923,0.043300252861325494,0.21393034825870647,0.05983869047619046
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp,1176,587,97.83333333333333,-0.2399136286201022,-0.19651171477079796,-0.04340191384930425,0.7810945273631841,-0.055016807017543884
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E0,1,2.5,opp_stretch,1176,157,26.166666666666668,-0.23129490445859877,-0.2161544651619235,-0.015140439296675273,0.5124378109452736,
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same,1086,542,90.33333333333333,-0.3009278597785979,-0.3621169117647059,0.06118905198610802,0.13930348258706468,0.0935691890166028
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_fast30,1086,517,86.16666666666667,-0.30235145067698266,-0.3581349736379613,0.05578352296097866,0.15920398009950248,0.0013620343039489613
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,same_cont,1086,532,88.66666666666667,-0.3006830827067669,-0.36124747292418774,0.06056439021742083,0.13432835820895522,0.06838660714285719
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp,1086,544,90.66666666666667,-0.3621169117647059,-0.3009278597785979,-0.06118905198610802,0.8656716417910447,-0.0935691890166028
M6E,US_DATA_OPEN,US_EQUITY_OPEN,E1,2,2.5,opp_stretch,1086,149,24.833333333333332,-0.33447718120805375,-0.33111782283884733,-0.003359358369206422,0.48258706467661694,
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same,1097,545,90.83333333333333,-0.20342256880733947,-0.2003461956521739,-0.003076373155165568,0.5472636815920398,0.24113725490196086
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_fast30,1097,543,90.5,-0.20759723756906082,-0.19626552346570397,-0.011331714103356844,0.572139303482587,0.24113725490196086
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,same_cont,1097,536,89.33333333333333,-0.20892574626865673,-0.19513761140819966,-0.013788134860457074,0.5920398009950248,0.174023831775701
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp,1097,552,92.0,-0.2003461956521739,-0.20342256880733947,0.003076373155165568,0.4577114427860697,-0.24113725490196086
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E0,1,2.5,opp_stretch,1097,166,27.666666666666668,-0.22393192771084336,-0.19794167561761547,-0.02599025209322789,0.6169154228855721,
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same,992,504,84.0,-0.3649119047619048,-0.33750717213114756,-0.027404732630757267,0.6368159203980099,0.26747994097393024
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_fast30,992,500,83.33333333333333,-0.3598312,-0.34289329268292684,-0.016937907317073175,0.572139303482587,0.29101839960726567
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,same_cont,992,497,82.83333333333333,-0.37736539235412475,-0.3253909090909092,-0.051974483263215576,0.7114427860696517,0.15905423163675592
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp,992,488,81.33333333333333,-0.33750717213114756,-0.3649119047619048,0.027404732630757267,0.3681592039800995,-0.26747994097393024
M6E,US_EQUITY_OPEN,US_POST_EQUITY,E1,2,2.5,opp_stretch,992,146,24.333333333333332,-0.3925267123287671,-0.34433829787234044,-0.04818841445642669,0.7960199004975125,
