leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_off,wr_on,wr_off
MES_LONDON_OPEN,M6E_LONDON_OPEN,1247,530,0.42502004811547717,-0.2762086607858861,-0.2749883018867925,-0.27711073919107393,0.0021224373042814104,0.28679245283018867,0.28730822873082285
MES_0900,M6E_US_EQUITY_OPEN,1121,528,0.47100802854594115,-0.3287345227475468,-0.32814412878787885,-0.32926020236087694,0.0011160735729980886,0.26704545454545453,0.2630691399662732
MES_CME_OPEN,MES_1000,1796,275,0.15311804008908686,-0.18779682628062358,-0.18695527272727272,-0.1879489809335963,0.0009937082063235791,0.28363636363636363,0.28205128205128205
M6E_1800,M6E_US_POST_EQUITY,996,479,0.48092369477911645,-0.35162881526104417,-0.35141106471816286,-0.35183056092843334,0.0004194962102704869,0.25052192066805845,0.2514506769825919
M2K_US_POST_EQUITY,M2K_CME_CLOSE,433,209,0.48267898383371827,-0.7626859122401848,-0.7625684210526316,-0.7627955357142858,0.00022711466165425964,0.0861244019138756,0.08482142857142858
MES_1100,MES_0030,1585,779,0.4914826498422713,-0.1373372239747634,-0.13726302952503208,-0.1374089330024814,0.0001459034774493051,0.27214377406931967,0.27419354838709675
MES_LONDON_OPEN,M6E_1800,1246,612,0.4911717495987159,-0.3443307383627608,-0.3445655228758171,-0.3441041009463723,-0.0004614219294448163,0.26633986928104575,0.2618296529968454
M6E_LONDON_OPEN,M6E_0030,1094,539,0.4926873857404022,-0.38030146252285185,-0.3807272727272728,-0.37988792792792797,-0.0008393447993448322,0.24675324675324675,0.25045045045045045
MES_0030,M2K_0030,1027,616,0.5998052580331061,-0.2466025316455696,-0.2474300324675325,-0.24536228710462282,-0.0020677453629096842,0.23863636363636365,0.24330900243309003
M6E_1100,MES_1100,1278,588,0.460093896713615,-0.31437949921752745,-0.315937074829932,-0.3130521739130435,-0.0028849009168884776,0.25,0.2492753623188406
M6E_1800,M6E_US_EQUITY_OPEN,1125,571,0.5075555555555555,-0.33112124444444435,-0.33324343257443084,-0.3289339350180505,-0.004309497556380326,0.2609457092819615,0.26714801444043323
M2K_1000,M2K_CME_CLOSE,433,226,0.5219399538106235,-0.7626859122401849,-0.7648486725663717,-0.7603246376811594,-0.004524034885212247,0.084070796460177,0.08695652173913043
M6E_1000,M6E_1100,1285,638,0.4964980544747082,-0.41177813229571986,-0.4141932601880877,-0.40939659969088094,-0.004796660497206784,0.2852664576802508,0.2890262751159196
M2K_1100,M6E_LONDON_OPEN,1253,641,0.5115722266560255,-0.2796745411013567,-0.28232730109204374,-0.2768960784313726,-0.005431222660671142,0.28549141965678626,0.28594771241830064
M6E_0030,M6E_US_POST_EQUITY,996,212,0.21285140562248997,-0.35162881526104417,-0.35668113207547175,-0.35026262755102044,-0.006418504524451307,0.24528301886792453,0.25255102040816324
M2K_1000,M2K_1100,1284,653,0.5085669781931464,-0.3210744548286603,-0.3243186830015314,-0.317717115689382,-0.006601567312149392,0.2771822358346095,0.27892234548335976
M6E_1000,MES_US_EQUITY_OPEN,1097,561,0.5113947128532361,-0.09587356426618049,-0.09942887700534761,-0.09215242537313433,-0.007276451632213285,0.27629233511586454,0.2798507462686567
M2K_1000,M6E_1100,1285,641,0.49883268482490273,-0.41177813229571986,-0.41569984399375975,-0.40787468944099375,-0.007825154552766,0.2839313572542902,0.29037267080745344
M6E_1000,MES_CME_CLOSE,398,197,0.4949748743718593,-0.625843216080402,-0.6299913705583755,-0.6217776119402986,-0.008213758618076938,0.1218274111675127,0.12437810945273632
M2K_1100,M2K_US_DATA_OPEN,1160,580,0.5,-0.22321844827586207,-0.22733137931034483,-0.21910551724137928,-0.008225862068965556,0.2637931034482759,0.2706896551724138
M6E_1100,M6E_0030,1094,533,0.48720292504570384,-0.3803014625228519,-0.38470769230769236,-0.3761151515151516,-0.008592540792540737,0.24765478424015008,0.24955436720142601
M2K_1000,MES_0030,1132,595,0.5256183745583038,-0.12134558303886926,-0.12573042016806724,-0.11648715083798883,-0.009243269330078407,0.2739495798319328,0.2774674115456238
M2K_0900,MES_CME_OPEN,491,301,0.6130346232179226,-0.3074075356415478,-0.311,-0.30171631578947367,-0.009283684210526333,0.2292358803986711,0.23157894736842105
M6E_LONDON_OPEN,M2K_US_POST_EQUITY,990,515,0.5202020202020202,-0.15672333333333333,-0.1614343689320388,-0.1516155789473684,-0.009818789984670395,0.26601941747572816,0.2673684210526316
MES_1100,M6E_0030,1090,545,0.5,-0.3780273394495413,-0.38332366972477067,-0.3727310091743119,-0.010592660550458766,0.24770642201834864,0.25137614678899084
MES_0900,MES_LONDON_OPEN,1780,845,0.4747191011235955,-0.18688044943820226,-0.19304698224852074,-0.18130748663101606,-0.011739495617504675,0.2698224852071006,0.2727272727272727
M6E_1000,MES_US_POST_EQUITY,1080,530,0.49074074074074076,-0.1318489814814815,-0.13832849056603774,-0.1256050909090909,-0.012723399656946854,0.269811320754717,0.2727272727272727
