symbol,session,rr_target,confirm_bars,n_winners,sample_class,session_max_min,t50,t80,t90,t95,t_max_obs,dead_exposure_min
MES,CME_CLOSE,3.0,4,19,INVALID,180,34.0,118.0,163.0,173.0,173.0,62.0
MES,CME_CLOSE,3.0,5,16,INVALID,180,36.0,100.0,133.0,136.0,136.0,80.0
MES,CME_CLOSE,4.0,1,57,REGIME,180,43.0,128.0,137.0,144.0,164.0,52.0
MES,CME_CLOSE,4.0,2,17,INVALID,180,48.0,123.0,127.0,139.0,139.0,57.0
MES,CME_CLOSE,4.0,3,12,INVALID,180,49.0,126.0,137.0,137.0,137.0,54.0
MES,CME_CLOSE,4.0,4,12,INVALID,180,69.0,126.0,137.0,167.0,167.0,54.0
MES,CME_CLOSE,4.0,5,8,INVALID,180,35.0,104.0,125.0,125.0,125.0,76.0
MES,CME_OPEN,1.0,1,897,CORE,480,25.0,71.0,139.0,386.0,963.0,409.0
MES,CME_OPEN,1.0,2,407,CORE,480,33.0,103.0,192.0,455.0,935.0,377.0
MES,CME_OPEN,1.0,3,390,CORE,480,35.0,107.0,251.0,506.0,1076.0,373.0
MES,CME_OPEN,1.0,4,360,CORE,480,47.0,149.0,388.0,553.0,1074.0,331.0
MES,CME_OPEN,1.0,5,344,CORE,480,57.0,171.0,430.0,556.0,1295.0,309.0
MES,CME_OPEN,1.5,1,578,CORE,480,49.0,184.0,505.0,623.0,1092.0,296.0
MES,CME_OPEN,1.5,2,282,CORE,480,71.0,271.0,539.0,704.0,1096.0,209.0
MES,CME_OPEN,1.5,3,256,CORE,480,92.0,306.0,541.0,764.0,1139.0,174.0
MES,CME_OPEN,1.5,4,236,CORE,480,107.0,397.0,571.0,764.0,1136.0,83.0
MES,CME_OPEN,1.5,5,245,CORE,480,113.0,417.0,576.0,759.0,1106.0,63.0
MES,CME_OPEN,2.0,1,429,CORE,480,100.0,376.0,561.0,720.0,1195.0,104.0
MES,CME_OPEN,2.0,2,215,CORE,480,131.0,446.0,585.0,861.0,1192.0,34.0
MES,CME_OPEN,2.0,3,208,CORE,480,145.0,464.0,659.0,860.0,1191.0,16.0
MES,CME_OPEN,2.0,4,200,CORE,480,149.0,491.0,639.0,869.0,1205.0,-11.0
MES,CME_OPEN,2.0,5,196,PRELIMINARY,480,151.0,483.0,661.0,916.0,1233.0,-3.0
MES,CME_OPEN,2.5,1,336,CORE,480,139.0,496.0,642.0,874.0,1248.0,-16.0
MES,CME_OPEN,2.5,2,171,PRELIMINARY,480,200.0,578.0,774.0,907.0,1276.0,-98.0
MES,CME_OPEN,2.5,3,170,PRELIMINARY,480,191.0,558.0,782.0,925.0,1271.0,-78.0
MES,CME_OPEN,2.5,4,159,PRELIMINARY,480,205.0,586.0,871.0,951.0,1297.0,-106.0
MES,CME_OPEN,2.5,5,157,PRELIMINARY,480,244.0,607.0,870.0,950.0,1262.0,-127.0
MES,CME_OPEN,3.0,1,283,CORE,480,191.0,581.0,834.0,920.0,1299.0,-101.0
MES,CME_OPEN,3.0,2,142,PRELIMINARY,480,286.0,647.0,878.0,938.0,1293.0,-167.0
MES,CME_OPEN,3.0,3,148,PRELIMINARY,480,286.0,622.0,906.0,955.0,1287.0,-142.0
MES,CME_OPEN,3.0,4,140,PRELIMINARY,480,300.0,719.0,926.0,970.0,1296.0,-239.0
MES,CME_OPEN,3.0,5,140,PRELIMINARY,480,342.0,747.0,904.0,943.0,1297.0,-267.0
MES,CME_OPEN,4.0,1,214,CORE,480,363.0,745.0,943.0,995.0,1304.0,-265.0
MES,CME_OPEN,4.0,2,109,PRELIMINARY,480,460.0,835.0,928.0,983.0,1302.0,-355.0
MES,CME_OPEN,4.0,3,108,PRELIMINARY,480,508.0,862.0,944.0,1000.0,1299.0,-382.0
MES,CME_OPEN,4.0,4,109,PRELIMINARY,480,566.0,883.0,975.0,1126.0,1305.0,-403.0
MES,CME_OPEN,4.0,5,101,PRELIMINARY,480,568.0,885.0,968.0,1104.0,1310.0,-405.0
MES,US_DATA_OPEN,1.0,1,1716,CORE,240,17.0,45.0,60.0,91.0,466.0,195.0
MES,US_DATA_OPEN,1.0,2,872,CORE,240,23.0,50.0,67.0,111.0,443.0,190.0
MES,US_DATA_OPEN,1.0,3,832,CORE,240,26.0,51.0,71.0,123.0,451.0,189.0
MES,US_DATA_OPEN,1.0,4,830,CORE,240,27.0,52.0,81.0,142.0,450.0,188.0
MES,US_DATA_OPEN,1.0,5,816,CORE,240,29.0,53.0,82.0,138.0,471.0,187.0
MES,US_DATA_OPEN,1.5,1,1349,CORE,240,28.0,54.0,81.0,149.0,481.0,186.0
MES,US_DATA_OPEN,1.5,2,663,CORE,240,34.0,59.0,91.0,191.0,439.0,181.0
MES,US_DATA_OPEN,1.5,3,639,CORE,240,39.0,63.0,112.0,241.0,541.0,177.0
MES,US_DATA_OPEN,1.5,4,624,CORE,240,41.0,64.0,107.0,239.0,445.0,176.0
MES,US_DATA_OPEN,1.5,5,618,CORE,240,43.0,69.0,141.0,263.0,452.0,171.0
MES,US_DATA_OPEN,2.0,1,1107,CORE,240,37.0,61.0,102.0,205.0,431.0,179.0
MES,US_DATA_OPEN,2.0,2,552,CORE,240,47.0,71.0,124.0,234.0,600.0,169.0
MES,US_DATA_OPEN,2.0,3,532,CORE,240,49.0,79.0,136.0,264.0,428.0,161.0
MES,US_DATA_OPEN,2.0,4,505,CORE,240,49.0,76.0,138.0,282.0,432.0,164.0
MES,US_DATA_OPEN,2.0,5,496,CORE,240,49.0,87.0,173.0,289.0,498.0,153.0
MES,US_DATA_OPEN,2.5,1,938,CORE,240,47.0,73.0,124.0,263.0,505.0,167.0
MES,US_DATA_OPEN,2.5,2,456,CORE,240,52.0,86.0,157.0,269.0,485.0,154.0
MES,US_DATA_OPEN,2.5,3,439,CORE,240,53.0,96.0,181.0,315.0,516.0,144.0
MES,US_DATA_OPEN,2.5,4,422,CORE,240,54.0,99.0,180.0,293.0,529.0,141.0
MES,US_DATA_OPEN,2.5,5,403,CORE,240,55.0,110.0,199.0,321.0,527.0,130.0
MES,US_DATA_OPEN,3.0,1,809,CORE,240,52.0,82.0,168.0,284.0,505.0,158.0
MES,US_DATA_OPEN,3.0,2,389,CORE,240,57.0,101.0,184.0,332.0,451.0,139.0
