symbol,session,entry_model,confirm_bars,rr_target,filter,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,wr_on,wr_off,years_pos,years_total,years_pos_ratio,train_uplift,test_uplift,n_test_on,n_test_off
MES,0030,E0,2,2.0,fast_and_q75,709,156,19.5,0.12494423076923077,0.09974122965641956,0.025203001112811207,0.3974358974358974,0.42857142857142855,1,3,0.3333333333333333,,,0,0
MES,US_POST_EQUITY,E0,1,2.0,short_fast,1728,665,83.125,0.124623007518797,-0.008930291627469424,0.13355329914626643,0.42105263157894735,0.380997177798683,5,6,0.8333333333333334,0.11005021371034031,0.335320156774916,94,152
M2K,CME_CLOSE,E0,1,1.0,size_q50_plus,1032,586,97.66666666666667,0.12424266211604094,-0.050039013452914796,0.17428167556895574,0.6638225255972696,0.6524663677130045,4,5,0.8,0.23643663494239542,-0.06188586206896552,116,100
MES,US_EQUITY_OPEN,E0,2,2.0,fast_le_15,724,574,71.75,0.12403414634146341,0.08545400000000002,0.038580146341463395,0.41114982578397213,0.41333333333333333,0,0,,,,0,0
MES,1000,E0,2,1.0,size_q75_plus,640,170,21.25,0.12375235294117645,-0.11123489361702127,0.23498724655819772,0.6294117647058823,0.5957446808510638,3,3,1.0,,,0,0
MES,0030,E0,2,1.5,size_q50_plus,717,375,46.875,0.12323920000000001,-0.005328362573099405,0.12856756257309943,0.48533333333333334,0.4824561403508772,5,6,0.8333333333333334,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.0,size_q75_plus,742,187,23.375,0.12080160427807486,0.05815657657657657,0.0626450277014983,0.5882352941176471,0.5963963963963964,2,3,0.6666666666666666,,,0,0
MGC,1100,E0,2,4.0,fast_and_q75,883,172,15.636363636363637,0.12077848837209303,-0.309892264416315,0.43067075278840805,0.26744186046511625,0.22644163150492264,2,3,0.6666666666666666,,,0,0
MES,0030,E0,1,2.0,short_fast,1751,724,90.5,0.12056367403314919,-0.011165043816942555,0.13172871785009174,0.4198895027624309,0.38169425511197663,4,6,0.6666666666666666,0.1342972059597045,0.13561131386861314,112,137
MES,0030,E0,2,2.0,long_only,709,351,43.875,0.12015470085470085,0.09070921787709495,0.029445482977605908,0.42735042735042733,0.41620111731843573,4,7,0.5714285714285714,,,0,0
MES,US_POST_EQUITY,E0,2,2.0,long_only,723,380,47.5,0.12012710526315791,0.051419533527696806,0.0687075717354611,0.43157894736842106,0.39941690962099125,5,7,0.7142857142857143,,,0,0
MES,US_EQUITY_OPEN,E0,2,1.5,fast_and_q75,735,168,21.0,0.1200892857142857,0.06283015873015874,0.05725912698412697,0.47023809523809523,0.47795414462081126,1,3,0.3333333333333333,,,0,0
MES,US_EQUITY_OPEN,E0,1,2.0,size_q50_plus,1735,904,113.0,0.12004878318584071,0.060028399518652235,0.060020383667188475,0.39823008849557523,0.40794223826714804,4,6,0.6666666666666666,0.039311777338603415,0.12195452061599601,183,66
MES,US_POST_EQUITY,E0,2,1.5,long_only,737,388,48.5,0.11942216494845362,0.030364469914040123,0.08905769503441349,0.5154639175257731,0.4699140401146132,5,7,0.7142857142857143,,,0,0
MES,1000,E0,1,4.0,size_q75_plus,1765,459,57.375,0.11790522875816993,-0.10061408882082697,0.2185193175789969,0.25272331154684097,0.24655436447166923,4,5,0.8,0.11677547496751037,0.48015623479708114,107,146
MES,1100,E0,2,1.5,size_q75_plus,652,176,22.0,0.11713011363636365,-0.17797184873949579,0.29510196237585945,0.5113636363636364,0.4894957983193277,3,3,1.0,,,0,0
MES,1000,E0,2,4.0,size_q50_plus,636,349,43.625,0.11676618911174784,-0.1939982578397213,0.31076444695146915,0.2636103151862464,0.23693379790940766,4,6,0.6666666666666666,,,0,0
MES,0030,E0,2,2.5,size_q50_plus,690,356,44.5,0.1155820224719101,0.06049820359281437,0.05508381887909573,0.3455056179775281,0.36826347305389223,4,6,0.6666666666666666,,,0,0
MES,0030,E0,2,1.0,size_q50_plus,727,382,47.75,0.11354083769633508,0.056808405797101454,0.056732431899233625,0.6020942408376964,0.6434782608695652,5,6,0.8333333333333334,,,0,0
MES,1000,E0,1,1.0,size_q75_plus,1770,463,57.875,0.11340107991360693,-0.0763743687834736,0.18977544869708052,0.6263498920086393,0.6273909716908952,5,5,1.0,0.17576960189440716,0.25058400332863906,107,146
MES,0030,E0,2,3.0,long_fast,675,266,33.25,0.11333947368421055,-0.024088264058679698,0.13742773774289024,0.3157894736842105,0.28117359413202936,4,6,0.6666666666666666,,,0,0
MES,US_EQUITY_OPEN,E0,2,2.5,long_fast,697,274,34.25,0.11315036496350366,0.042386288416075654,0.070764076547428,0.35036496350364965,0.3309692671394799,3,6,0.5,,,0,0
MES,0030,E0,2,1.0,long_only,727,364,45.5,0.113114010989011,0.06004958677685951,0.05306442421215149,0.6373626373626373,0.6060606060606061,3,7,0.42857142857142855,,,0,0
MES,0030,E0,1,1.5,fast_and_q75,1774,428,53.5,0.11271635514018691,8.328380386329857e-05,0.11263307133632361,0.4719626168224299,0.46656760772659733,4,6,0.6666666666666666,0.11614442290526229,-0.056195249565100996,94,159
MES,US_EQUITY_OPEN,E0,2,1.0,long_fast,742,290,36.25,0.10992517241379308,0.050859513274336285,0.0590656591394568,0.6103448275862069,0.584070796460177,2,6,0.3333333333333333,,,0,0
MES,US_POST_EQUITY,E0,1,1.5,short_fast,1764,677,84.625,0.10962732644017727,0.011725298988040481,0.09790202745213679,0.4977843426883309,0.46550137994480223,5,6,0.8333333333333334,0.0824032870798643,0.3168870063694268,95,157
MES,1000,E0,1,3.0,size_q75_plus,1767,460,57.5,0.10940826086956525,-0.06851652639632748,0.17792478726589273,0.3130434782608696,0.3182861514919663,3,5,0.6,0.09209063960955562,0.43066058123159645,107,146
MES,US_POST_EQUITY,E0,2,2.0,fast_le_15,723,561,70.125,0.10792531194295901,0.016908024691358034,0.09101728725160098,0.41711229946524064,0.41358024691358025,0,0,,,,0,0
MES,US_EQUITY_OPEN,E0,2,2.5,long_only,697,348,43.5,0.10777873563218392,0.03273810888252149,0.07504062674966243,0.3505747126436782,0.32664756446991405,3,7,0.42857142857142855,,,0,0
MES,US_POST_EQUITY,E0,2,2.5,long_fast,708,287,35.875,0.10667526132404183,0.08235130641330167,0.02432395491074016,0.3588850174216028,0.3586698337292161,4,6,0.6666666666666666,,,0,0
MES,US_POST_EQUITY,E0,1,1.5,fast_and_q75,1764,399,49.875,0.10623959899749374,0.032654578754578764,0.07358502024291498,0.46616541353383456,0.48131868131868133,3,6,0.5,0.040305049295774664,0.10917756868402076,101,151
MES,US_POST_EQUITY,E0,2,1.0,long_fast,743,301,37.625,0.10601162790697674,-0.010112443438914029,0.11612407134589077,0.627906976744186,0.5746606334841629,4,6,0.6666666666666666,,,0,0
MES,0030,E0,1,2.5,short_fast,1716,717,89.625,0.1060115760111576,-0.0024032032032032086,0.10841477921436081,0.35564853556485354,0.33133133133133136,3,6,0.5,0.12836004162536382,0.003322650375939866,112,133
