leader,follower,n_base,n_on,on_rate,avg_r_base,avg_r_on,avg_r_off,uplift_on_vs_base,uplift_on_vs_off,wr_base,wr_on,wr_off
MES_1800,MGC_2300,2292,833,0.3634380453752182,-0.3180875654450262,-0.26651968787515007,-0.347529677861549,0.05156787756987613,0.08100998998639891,0.2617801047120419,0.2653061224489796,0.25976696367374913
MNQ_0900,MES_1100,1787,251,0.14045886961387802,-0.27530173475097935,-0.20842948207171313,-0.2862294270833334,0.06687225267926622,0.07779994501162024,0.26357022943480696,0.2788844621513944,0.2610677083333333
MGC_1000,MGC_1800,2516,1237,0.49165341812400637,-0.3299538950715421,-0.2951864187550525,-0.36357967161845195,0.034767476316489576,0.06839325286339942,0.2802066772655008,0.29830234438156833,0.2627052384675528
MES_0900,MGC_2300,2292,757,0.33027923211169286,-0.3180875654450262,-0.27375402906208723,-0.3399510749185668,0.044333536382938965,0.06619704585647956,0.2617801047120419,0.2628797886393659,0.26123778501628664
MES_0900,MNQ_1100,512,249,0.486328125,-0.015373437500000003,0.017013253012048216,-0.0460361216730038,0.03238669051204822,0.063049374685052,0.30859375,0.3172690763052209,0.30038022813688214
MES_0900,MNQ_0030,423,211,0.4988179669030733,-0.029734278959810893,-0.0005459715639810583,-0.05878490566037738,0.029188307395829834,0.05823893409639633,0.2860520094562648,0.2938388625592417,0.2783018867924528
MNQ_1800,MGC_2300,2292,249,0.10863874345549739,-0.3180875654450262,-0.2720244979919679,-0.3237017131669114,0.046063067453058326,0.0516772151749435,0.2617801047120419,0.24497991967871485,0.26382770435633873
MES_1100,MGC_2300,2292,803,0.35034904013961604,-0.3180875654450262,-0.2856445828144458,-0.335583680322364,0.032442982630580375,0.049939097507918195,0.2617801047120419,0.2590286425902864,0.26326393552719946
MGC_1000,MNQ_0030,423,209,0.4940898345153664,-0.029734278959810893,-0.008750239234449782,-0.05022803738317755,0.02098403972536111,0.04147779814872776,0.2860520094562648,0.291866028708134,0.2803738317757009
MES_0900,MGC_1800,2516,802,0.31875993640699524,-0.3299538950715421,-0.30491022443890275,-0.34167211201866976,0.025043670632639348,0.036761887579767005,0.2802066772655008,0.2718204488778055,0.28413068844807465
MES_0900,MGC_1100,2525,853,0.33782178217821784,-0.2886754851485149,-0.2655350527549824,-0.30048098086124403,0.023140432393532473,0.034945928106261626,0.2883168316831683,0.2825322391559203,0.29126794258373206
MNQ_1100,MGC_2300,2292,239,0.10427574171029669,-0.3180875654450262,-0.2910548117154812,-0.32123458353628837,0.027032753729545,0.030179771820807166,0.2617801047120419,0.24267782426778242,0.26400389673648317
MNQ_1000,MNQ_1100,512,252,0.4921875,-0.015373437500000003,-0.0027007936507936372,-0.027656153846153844,0.012672643849206366,0.024955360195360207,0.30859375,0.30952380952380953,0.3076923076923077
MGC_0900,MGC_1800,2516,1190,0.47297297297297297,-0.3299538950715421,-0.3174555462184874,-0.3411703619909502,0.012498348853054675,0.02371481577246276,0.2802066772655008,0.2857142857142857,0.27526395173454
MNQ_1000,MES_1100,1787,243,0.13598209289311697,-0.27530173475097935,-0.25484650205761317,-0.27852104922279797,0.020455232693366188,0.0236745471651848,0.26357022943480696,0.25925925925925924,0.26424870466321243
MGC_1800,MES_0030,1585,776,0.489589905362776,-0.13733722397476342,-0.1255590206185567,-0.14863498145859086,0.011778203356206718,0.02307596084003416,0.273186119873817,0.2770618556701031,0.2694684796044499
MGC_0900,MGC_2300,2292,1118,0.48778359511343805,-0.3180875654450262,-0.30658488372093023,-0.3290415672913118,0.011502681724095964,0.022456683570381553,0.2617801047120419,0.26475849731663686,0.25894378194207834
MGC_1000,MES_0030,1585,775,0.4889589905362776,-0.13733722397476342,-0.1262221935483871,-0.14797197530864195,0.011115030426376321,0.021749781760254855,0.273186119873817,0.27741935483870966,0.2691358024691358
