instrument,session,dst_regime,delay_bucket,n,sample_class,win_rate,avg_r,total_r,sharpe,pvalue,pvalue_bh,pct_of_fills
MES,0900,WINTER,0-2,5,INVALID,0.400000,0.200000,1.000000,0.136100,0.798966,0.898837,23.800000
MES,0900,WINTER,2-5,0,INVALID,,,,,,,0.000000
MES,0900,WINTER,5-10,0,INVALID,,,,,,,0.000000
MES,0900,WINTER,10-20,0,INVALID,,,,,,,0.000000
MES,0900,WINTER,20-30,1,INVALID,1.000000,2.000000,2.000000,,,,4.800000
MES,0900,WINTER,30+,15,INVALID,0.200000,-0.400000,-6.000000,-0.333300,0.232779,0.427172,71.400000
MES,1000,ALL,0-2,6,INVALID,0.000000,-1.000000,-6.000000,,0.000000,0.000000,13.600000
MES,1000,ALL,2-5,4,INVALID,0.250000,-0.250000,-1.000000,-0.192500,0.760820,0.898837,9.100000
MES,1000,ALL,5-10,2,INVALID,0.500000,0.500000,1.000000,0.333300,0.795167,0.898837,4.500000
MES,1000,ALL,10-20,1,INVALID,0.000000,-1.000000,-1.000000,,,,2.300000
MES,1000,ALL,20-30,0,INVALID,,,,,,,0.000000
MES,1000,ALL,30+,31,REGIME,0.354800,0.019200,0.600000,0.013800,0.940322,0.940322,70.500000
MES,1800,SUMMER,0-2,15,INVALID,0.066700,-0.800000,-12.000000,-1.069000,0.001316,0.004635,42.900000
MES,1800,SUMMER,2-5,2,INVALID,1.000000,2.000000,4.000000,,0.000000,0.000000,5.700000
MES,1800,SUMMER,5-10,0,INVALID,,,,,,,0.000000
MES,1800,SUMMER,10-20,1,INVALID,0.000000,-1.000000,-1.000000,,,,2.900000
MES,1800,SUMMER,20-30,2,INVALID,0.500000,0.500000,1.000000,0.333300,0.795167,0.898837,5.700000
MES,1800,SUMMER,30+,15,INVALID,0.533300,0.101400,1.520000,0.089400,0.742870,0.898837,42.900000
MES,1800,WINTER,0-2,4,INVALID,0.250000,-0.250000,-1.000000,-0.192500,0.760820,0.898837,10.300000
MES,1800,WINTER,2-5,2,INVALID,1.000000,1.250000,2.500000,1.666700,0.344042,0.568722,5.100000
MES,1800,WINTER,5-10,0,INVALID,,,,,,,0.000000
MES,1800,WINTER,10-20,0,INVALID,,,,,,,0.000000
MES,1800,WINTER,20-30,0,INVALID,,,,,,,0.000000
MES,1800,WINTER,30+,33,REGIME,0.393900,0.024700,0.820000,0.019900,0.911177,0.940322,84.600000
MES,2300,SUMMER,0-2,17,INVALID,0.294100,-0.453000,-7.700000,-0.541900,0.045622,0.115481,51.500000
MES,2300,SUMMER,2-5,0,INVALID,,,,,,,0.000000
MES,2300,SUMMER,5-10,0,INVALID,,,,,,,0.000000
MES,2300,SUMMER,10-20,1,INVALID,0.000000,-1.000000,-1.000000,,,,3.000000
MES,2300,SUMMER,20-30,2,INVALID,0.500000,0.125000,0.250000,0.111100,0.929553,0.940322,6.100000
MES,2300,SUMMER,30+,13,INVALID,0.461500,0.311600,4.050000,0.255000,0.394477,0.614474,39.400000
MES,2300,WINTER,0-2,8,INVALID,0.125000,-0.857100,-6.860000,-2.267800,0.000542,0.002091,50.000000
MES,2300,WINTER,2-5,0,INVALID,,,,,,,0.000000
MES,2300,WINTER,5-10,1,INVALID,0.000000,-1.000000,-1.000000,,,,6.200000
MES,2300,WINTER,10-20,1,INVALID,0.000000,-1.000000,-1.000000,,,,6.200000
MES,2300,WINTER,20-30,2,INVALID,0.000000,-1.000000,-2.000000,,0.000000,0.000000,12.500000
MES,2300,WINTER,30+,4,INVALID,0.250000,-0.250000,-1.000000,-0.192500,0.760820,0.898837,25.000000
MGC,0030,SUMMER,0-2,297,CORE,0.266000,-0.405000,-120.280000,-0.514300,0.000000,0.000000,50.900000
MGC,0030,SUMMER,2-5,14,INVALID,0.285700,-0.377400,-5.280000,-0.425400,0.149013,0.317633,2.400000
MGC,0030,SUMMER,5-10,9,INVALID,0.555600,0.095800,0.860000,0.100100,0.784179,0.898837,1.500000
MGC,0030,SUMMER,10-20,28,INVALID,0.357100,-0.050500,-1.420000,-0.049500,0.798793,0.898837,4.800000
