strategy_id,source,instrument,session,filter,combined_n,combined_avgR,combined_sharpe,winter_n,winter_avgR,winter_wr,winter_sharpe,winter_maxdd,summer_n,summer_avgR,summer_wr,summer_sharpe,summer_maxdd,verdict
MGC_0900_E1_RR2.0_CB1_ORB_G4,validated,MGC,0900,ORB_G4,52,0.8884,0.697,32,1.0595,0.75,0.8735,1.0,20,0.6147,0.6,0.454,3.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB4_ORB_G4,validated,MNQ,0900,ORB_G4,136,0.5843,0.3612,44,0.2846,0.3864,0.1737,6.72,92,0.7277,0.5435,0.4557,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR4.0_CB3_ORB_G6,validated,MNQ,0900,ORB_G6,115,0.7784,0.3427,44,0.5051,0.3182,0.2265,7.24,71,0.9478,0.4225,0.4128,6.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB3_ORB_G8,experimental,MES,0900,ORB_G8,18,0.453,0.3796,14,0.3554,0.5714,0.2916,2.0,4,0.7945,0.75,,1.0,LOW-N
MGC_0900_E1_RR2.5_CB1_ORB_G4,validated,MGC,0900,ORB_G4,51,0.9946,0.6394,31,1.1662,0.6774,0.7653,2.0,20,0.7286,0.55,0.4538,3.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB4_NO_FILTER,validated,MNQ,0900,NO_FILTER,143,0.583,0.3631,44,0.2846,0.3864,0.1737,6.72,99,0.7157,0.5455,0.4526,4.0,SUMMER-DOMINANT
MES_0900_E1_RR2.0_CB5_ORB_G5,validated,MES,0900,ORB_G5,34,0.2309,0.1641,23,0.0914,0.3913,0.0656,6.08,11,0.5225,0.5455,0.3581,3.0,UNSTABLE
MGC_1800_E1_RR4.0_CB2_ORB_G6,experimental,MGC,1800,ORB_G6,17,1.4971,0.6165,12,1.3716,0.5,0.5534,3.0,5,1.7984,0.6,,1.0,LOW-N
MGC_1800_E3_RR4.0_CB1_ORB_G8,experimental,MGC,1800,ORB_G8,12,2.5559,1.1909,7,2.3784,0.7143,,2.0,5,2.8043,0.8,,1.0,LOW-N
MGC_0900_E1_RR2.0_CB3_ORB_G6,experimental,MGC,0900,ORB_G6,30,0.8719,0.6469,18,1.0408,0.7222,0.7977,1.0,12,0.6187,0.5833,0.4329,3.0,WINTER-DOMINANT
MES_0900_E3_RR2.0_CB1_ORB_G8,experimental,MES,0900,ORB_G8,23,0.5839,0.4109,17,0.4738,0.5294,0.3307,3.26,6,0.8957,0.6667,,1.0,LOW-N
MNQ_0900_E1_RR2.5_CB2_ORB_G6,validated,MNQ,0900,ORB_G6,133,0.759,0.4662,51,0.4992,0.451,0.2987,6.0,82,0.9205,0.5976,0.5792,4.0,SUMMER-DOMINANT
MNQ_1800_E3_RR4.0_CB1_ORB_G6,experimental,MNQ,1800,ORB_G6,123,2.2132,1.0245,47,2.4731,0.7447,1.2015,3.0,76,2.0525,0.6579,0.9249,3.0,WINTER-DOMINANT
MNQ_1800_E3_RR4.0_CB1_ORB_G8,experimental,MNQ,1800,ORB_G8,123,2.2132,1.0245,47,2.4731,0.7447,1.2015,3.0,76,2.0525,0.6579,0.9249,3.0,WINTER-DOMINANT
MES_0900_E1_RR1.5_CB5_ORB_G5,validated,MES,0900,ORB_G5,36,0.6185,0.5671,25,0.4901,0.64,0.4291,4.57,11,0.9102,0.8182,0.9611,1.0,UNSTABLE
MGC_0900_E1_RR2.5_CB5_ORB_G5,validated,MGC,0900,ORB_G5,37,0.7502,0.4582,20,0.9429,0.6,0.5785,2.0,17,0.5235,0.4706,0.3142,3.0,WINTER-DOMINANT
MGC_0900_E1_RR1.0_CB4_ORB_G6,experimental,MGC,0900,ORB_G6,29,0.6208,0.9386,17,0.4474,0.7647,0.5394,1.17,12,0.8665,1.0,35.6475,0.0,UNSTABLE
MES_0900_E1_RR1.0_CB1_ORB_G8,experimental,MES,0900,ORB_G8,21,0.6146,0.909,15,0.4956,0.8,0.6399,1.0,6,0.9122,1.0,,0.0,LOW-N
MGC_1800_E1_RR2.5_CB5_ORB_G8,experimental,MGC,1800,ORB_G8,12,1.7993,1.3748,8,1.9372,0.875,,1.0,4,1.5235,0.75,,1.0,LOW-N
MNQ_0900_E1_RR3.0_CB1_NO_FILTER,validated,MNQ,0900,NO_FILTER,158,0.8398,0.4642,53,0.5651,0.4151,0.3012,6.0,105,0.9785,0.5619,0.5537,4.0,SUMMER-DOMINANT
MES_0900_E1_RR1.5_CB4_ORB_G4,validated,MES,0900,ORB_G4,55,0.3722,0.3287,37,0.2373,0.5405,0.2049,4.58,18,0.6495,0.7222,0.6155,1.0,SUMMER-DOMINANT
MGC_0900_E1_RR4.0_CB1_ORB_G8,experimental,MGC,0900,ORB_G8,21,1.0204,0.4267,15,0.903,0.4,0.3742,5.0,6,1.3139,0.5,,3.0,LOW-N
MNQ_0900_E1_RR4.0_CB3_ORB_G4,validated,MNQ,0900,ORB_G4,129,0.7753,0.3452,44,0.5051,0.3182,0.2265,7.24,85,0.9151,0.4235,0.406,6.0,SUMMER-DOMINANT
MGC_0900_E1_RR3.0_CB4_ORB_G5,validated,MGC,0900,ORB_G5,38,0.6562,0.3515,20,0.85,0.5,0.4472,2.0,18,0.4409,0.3889,0.2372,6.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB5_ORB_G4,validated,MNQ,0900,ORB_G4,139,0.6495,0.3999,46,0.3761,0.413,0.2266,6.3,93,0.7847,0.5591,0.4911,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR3.0_CB1_ORB_G6,validated,MNQ,0900,ORB_G6,136,0.8144,0.44,53,0.5651,0.4151,0.3012,6.0,83,0.9737,0.5422,0.5326,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB4_ORB_G5,validated,MNQ,0900,ORB_G5,131,0.5557,0.3419,44,0.2846,0.3864,0.1737,6.72,87,0.6928,0.5287,0.4301,4.0,SUMMER-DOMINANT
MNQ_1800_E1_RR3.0_CB2_ORB_G8,experimental,MNQ,1800,ORB_G8,131,1.7913,1.0786,51,2.036,0.8039,1.3428,2.0,80,1.6353,0.7,0.941,2.0,WINTER-DOMINANT
MNQ_0900_E1_RR2.5_CB5_NO_FILTER,validated,MNQ,0900,NO_FILTER,146,0.649,0.4019,46,0.3761,0.413,0.2266,6.3,100,0.7745,0.56,0.4882,4.0,SUMMER-DOMINANT
MGC_0900_E1_RR4.0_CB4_ORB_G8,experimental,MGC,0900,ORB_G8,19,0.7558,0.3199,12,0.6092,0.3333,0.2563,3.0,7,1.0072,0.4286,,2.0,LOW-N
MGC_0900_E1_RR4.0_CB3_ORB_G8,experimental,MGC,0900,ORB_G8,19,0.7485,0.3181,12,0.6026,0.3333,0.2545,3.0,7,0.9987,0.4286,,2.0,LOW-N
MGC_0900_E3_RR2.5_CB1_ORB_G4,validated,MGC,0900,ORB_G4,53,1.012,0.6644,29,1.1891,0.6897,0.7922,2.0,24,0.7981,0.5833,0.5135,3.0,WINTER-DOMINANT
MNQ_0900_E1_RR3.0_CB1_ORB_G4,validated,MNQ,0900,ORB_G4,152,0.817,0.4469,53,0.5651,0.4151,0.3012,6.0,99,0.9519,0.5455,0.5297,4.0,SUMMER-DOMINANT
MNQ_0900_E1_RR2.5_CB2_ORB_G8,validated,MNQ,0900,ORB_G8,120,0.7209,0.4381,51,0.4992,0.451,0.2987,6.0,69,0.8848,0.5797,0.5465,4.0,SUMMER-DOMINANT
MES_0900_E1_RR2.0_CB3_ORB_G4,experimental,MES,0900,ORB_G4,56,0.6119,0.45,40,0.5019,0.55,0.3643,3.43,16,0.887,0.6875,0.6737,2.0,SUMMER-DOMINANT
