symbol,session,rr_target,confirm_bars,checkpoint_min,n_hit,n_total,pct_hit
M2K,BRISBANE_1025,1.5,4,360,475,491,96.7
M2K,BRISBANE_1025,1.5,4,420,480,491,97.8
M2K,BRISBANE_1025,1.5,4,480,487,491,99.2
M2K,BRISBANE_1025,1.5,5,5,37,496,7.5
M2K,BRISBANE_1025,1.5,5,10,87,496,17.5
M2K,BRISBANE_1025,1.5,5,15,133,496,26.8
M2K,BRISBANE_1025,1.5,5,20,172,496,34.7
M2K,BRISBANE_1025,1.5,5,30,226,496,45.6
M2K,BRISBANE_1025,1.5,5,45,292,496,58.9
M2K,BRISBANE_1025,1.5,5,60,342,496,69.0
M2K,BRISBANE_1025,1.5,5,90,390,496,78.6
M2K,BRISBANE_1025,1.5,5,120,424,496,85.5
M2K,BRISBANE_1025,1.5,5,150,434,496,87.5
M2K,BRISBANE_1025,1.5,5,180,447,496,90.1
M2K,BRISBANE_1025,1.5,5,240,459,496,92.5
M2K,BRISBANE_1025,1.5,5,300,472,496,95.2
M2K,BRISBANE_1025,1.5,5,360,483,496,97.4
M2K,BRISBANE_1025,1.5,5,420,486,496,98.0
M2K,BRISBANE_1025,1.5,5,480,493,496,99.4
M2K,BRISBANE_1025,2.0,1,5,139,1206,11.5
M2K,BRISBANE_1025,2.0,1,10,309,1206,25.6
M2K,BRISBANE_1025,2.0,1,15,456,1206,37.8
M2K,BRISBANE_1025,2.0,1,20,567,1206,47.0
M2K,BRISBANE_1025,2.0,1,30,741,1206,61.4
M2K,BRISBANE_1025,2.0,1,45,921,1206,76.4
M2K,BRISBANE_1025,2.0,1,60,1010,1206,83.7
M2K,BRISBANE_1025,2.0,1,90,1099,1206,91.1
M2K,BRISBANE_1025,2.0,1,120,1117,1206,92.6
M2K,BRISBANE_1025,2.0,1,150,1131,1206,93.8
M2K,BRISBANE_1025,2.0,1,180,1139,1206,94.4
M2K,BRISBANE_1025,2.0,1,240,1150,1206,95.4
M2K,BRISBANE_1025,2.0,1,300,1170,1206,97.0
M2K,BRISBANE_1025,2.0,1,360,1187,1206,98.4
M2K,BRISBANE_1025,2.0,1,420,1194,1206,99.0
M2K,BRISBANE_1025,2.0,1,480,1200,1206,99.5
M2K,BRISBANE_1025,2.0,2,5,20,411,4.9
M2K,BRISBANE_1025,2.0,2,10,65,411,15.8
M2K,BRISBANE_1025,2.0,2,15,92,411,22.4
M2K,BRISBANE_1025,2.0,2,20,126,411,30.7
M2K,BRISBANE_1025,2.0,2,30,190,411,46.2
M2K,BRISBANE_1025,2.0,2,45,255,411,62.0
M2K,BRISBANE_1025,2.0,2,60,292,411,71.0
M2K,BRISBANE_1025,2.0,2,90,341,411,83.0
M2K,BRISBANE_1025,2.0,2,120,356,411,86.6
M2K,BRISBANE_1025,2.0,2,150,366,411,89.1
M2K,BRISBANE_1025,2.0,2,180,374,411,91.0
M2K,BRISBANE_1025,2.0,2,240,377,411,91.7
M2K,BRISBANE_1025,2.0,2,300,390,411,94.9
M2K,BRISBANE_1025,2.0,2,360,399,411,97.1
M2K,BRISBANE_1025,2.0,2,420,405,411,98.5
M2K,BRISBANE_1025,2.0,2,480,409,411,99.5
M2K,BRISBANE_1025,2.0,3,5,20,397,5.0
M2K,BRISBANE_1025,2.0,3,10,57,397,14.4
M2K,BRISBANE_1025,2.0,3,15,78,397,19.6
M2K,BRISBANE_1025,2.0,3,20,110,397,27.7
M2K,BRISBANE_1025,2.0,3,30,170,397,42.8
M2K,BRISBANE_1025,2.0,3,45,225,397,56.7
M2K,BRISBANE_1025,2.0,3,60,255,397,64.2
M2K,BRISBANE_1025,2.0,3,90,301,397,75.8
M2K,BRISBANE_1025,2.0,3,120,320,397,80.6
M2K,BRISBANE_1025,2.0,3,150,331,397,83.4
M2K,BRISBANE_1025,2.0,3,180,343,397,86.4
M2K,BRISBANE_1025,2.0,3,240,351,397,88.4
M2K,BRISBANE_1025,2.0,3,300,365,397,91.9
M2K,BRISBANE_1025,2.0,3,360,381,397,96.0
M2K,BRISBANE_1025,2.0,3,420,387,397,97.5
M2K,BRISBANE_1025,2.0,3,480,391,397,98.5
M2K,BRISBANE_1025,2.0,4,5,16,389,4.1
M2K,BRISBANE_1025,2.0,4,10,47,389,12.1
M2K,BRISBANE_1025,2.0,4,15,70,389,18.0
M2K,BRISBANE_1025,2.0,4,20,101,389,26.0
M2K,BRISBANE_1025,2.0,4,30,141,389,36.2
M2K,BRISBANE_1025,2.0,4,45,189,389,48.6
M2K,BRISBANE_1025,2.0,4,60,238,389,61.2
M2K,BRISBANE_1025,2.0,4,90,286,389,73.5
M2K,BRISBANE_1025,2.0,4,120,308,389,79.2
M2K,BRISBANE_1025,2.0,4,150,322,389,82.8
M2K,BRISBANE_1025,2.0,4,180,338,389,86.9
M2K,BRISBANE_1025,2.0,4,240,343,389,88.2
M2K,BRISBANE_1025,2.0,4,300,358,389,92.0
M2K,BRISBANE_1025,2.0,4,360,372,389,95.6
M2K,BRISBANE_1025,2.0,4,420,379,389,97.4
M2K,BRISBANE_1025,2.0,4,480,383,389,98.5
M2K,BRISBANE_1025,2.0,5,5,11,414,2.7
M2K,BRISBANE_1025,2.0,5,10,40,414,9.7
M2K,BRISBANE_1025,2.0,5,15,63,414,15.2
M2K,BRISBANE_1025,2.0,5,20,91,414,22.0
M2K,BRISBANE_1025,2.0,5,30,125,414,30.2
M2K,BRISBANE_1025,2.0,5,45,186,414,44.9
M2K,BRISBANE_1025,2.0,5,60,230,414,55.6
M2K,BRISBANE_1025,2.0,5,90,279,414,67.4
M2K,BRISBANE_1025,2.0,5,120,300,414,72.5
M2K,BRISBANE_1025,2.0,5,150,321,414,77.5
M2K,BRISBANE_1025,2.0,5,180,337,414,81.4
M2K,BRISBANE_1025,2.0,5,240,352,414,85.0
M2K,BRISBANE_1025,2.0,5,300,371,414,89.6
M2K,BRISBANE_1025,2.0,5,360,393,414,94.9
M2K,BRISBANE_1025,2.0,5,420,400,414,96.6
M2K,BRISBANE_1025,2.0,5,480,407,414,98.3
M2K,BRISBANE_1025,2.5,1,5,68,1043,6.5
M2K,BRISBANE_1025,2.5,1,10,171,1043,16.4
M2K,BRISBANE_1025,2.5,1,15,298,1043,28.6
M2K,BRISBANE_1025,2.5,1,20,389,1043,37.3
M2K,BRISBANE_1025,2.5,1,30,532,1043,51.0
M2K,BRISBANE_1025,2.5,1,45,683,1043,65.5
M2K,BRISBANE_1025,2.5,1,60,796,1043,76.3
M2K,BRISBANE_1025,2.5,1,90,904,1043,86.7
M2K,BRISBANE_1025,2.5,1,120,926,1043,88.8
M2K,BRISBANE_1025,2.5,1,150,942,1043,90.3
M2K,BRISBANE_1025,2.5,1,180,953,1043,91.4
M2K,BRISBANE_1025,2.5,1,240,967,1043,92.7
M2K,BRISBANE_1025,2.5,1,300,990,1043,94.9
M2K,BRISBANE_1025,2.5,1,360,1015,1043,97.3
M2K,BRISBANE_1025,2.5,1,420,1029,1043,98.7
M2K,BRISBANE_1025,2.5,1,480,1036,1043,99.3
M2K,BRISBANE_1025,2.5,2,5,12,344,3.5
M2K,BRISBANE_1025,2.5,2,10,29,344,8.4
M2K,BRISBANE_1025,2.5,2,15,51,344,14.8
M2K,BRISBANE_1025,2.5,2,20,77,344,22.4
M2K,BRISBANE_1025,2.5,2,30,116,344,33.7
M2K,BRISBANE_1025,2.5,2,45,162,344,47.1
M2K,BRISBANE_1025,2.5,2,60,199,344,57.8
M2K,BRISBANE_1025,2.5,2,90,247,344,71.8
M2K,BRISBANE_1025,2.5,2,120,268,344,77.9
M2K,BRISBANE_1025,2.5,2,150,281,344,81.7
M2K,BRISBANE_1025,2.5,2,180,293,344,85.2
M2K,BRISBANE_1025,2.5,2,240,297,344,86.3
M2K,BRISBANE_1025,2.5,2,300,305,344,88.7
M2K,BRISBANE_1025,2.5,2,360,323,344,93.9
M2K,BRISBANE_1025,2.5,2,420,332,344,96.5
M2K,BRISBANE_1025,2.5,2,480,337,344,98.0
M2K,BRISBANE_1025,2.5,3,5,9,340,2.6
M2K,BRISBANE_1025,2.5,3,10,34,340,10.0
M2K,BRISBANE_1025,2.5,3,15,51,340,15.0
M2K,BRISBANE_1025,2.5,3,20,65,340,19.1
M2K,BRISBANE_1025,2.5,3,30,101,340,29.7
M2K,BRISBANE_1025,2.5,3,45,145,340,42.6
M2K,BRISBANE_1025,2.5,3,60,187,340,55.0
M2K,BRISBANE_1025,2.5,3,90,230,340,67.6
M2K,BRISBANE_1025,2.5,3,120,250,340,73.5
M2K,BRISBANE_1025,2.5,3,150,261,340,76.8
M2K,BRISBANE_1025,2.5,3,180,278,340,81.8
M2K,BRISBANE_1025,2.5,3,240,283,340,83.2
M2K,BRISBANE_1025,2.5,3,300,294,340,86.5
M2K,BRISBANE_1025,2.5,3,360,314,340,92.4
M2K,BRISBANE_1025,2.5,3,420,327,340,96.2
M2K,BRISBANE_1025,2.5,3,480,332,340,97.6
M2K,BRISBANE_1025,2.5,4,5,9,332,2.7
M2K,BRISBANE_1025,2.5,4,10,26,332,7.8
M2K,BRISBANE_1025,2.5,4,15,45,332,13.6
M2K,BRISBANE_1025,2.5,4,20,64,332,19.3
M2K,BRISBANE_1025,2.5,4,30,93,332,28.0
M2K,BRISBANE_1025,2.5,4,45,131,332,39.5
M2K,BRISBANE_1025,2.5,4,60,167,332,50.3
M2K,BRISBANE_1025,2.5,4,90,206,332,62.0
M2K,BRISBANE_1025,2.5,4,120,225,332,67.8
M2K,BRISBANE_1025,2.5,4,150,245,332,73.8
M2K,BRISBANE_1025,2.5,4,180,255,332,76.8
M2K,BRISBANE_1025,2.5,4,240,269,332,81.0
M2K,BRISBANE_1025,2.5,4,300,284,332,85.5
M2K,BRISBANE_1025,2.5,4,360,303,332,91.3
M2K,BRISBANE_1025,2.5,4,420,314,332,94.6
M2K,BRISBANE_1025,2.5,4,480,321,332,96.7
M2K,BRISBANE_1025,2.5,5,5,5,351,1.4
M2K,BRISBANE_1025,2.5,5,10,20,351,5.7
M2K,BRISBANE_1025,2.5,5,15,37,351,10.5
M2K,BRISBANE_1025,2.5,5,20,56,351,16.0
M2K,BRISBANE_1025,2.5,5,30,78,351,22.2
M2K,BRISBANE_1025,2.5,5,45,125,351,35.6
M2K,BRISBANE_1025,2.5,5,60,159,351,45.3
M2K,BRISBANE_1025,2.5,5,90,201,351,57.3
M2K,BRISBANE_1025,2.5,5,120,223,351,63.5
M2K,BRISBANE_1025,2.5,5,150,250,351,71.2
M2K,BRISBANE_1025,2.5,5,180,261,351,74.4
M2K,BRISBANE_1025,2.5,5,240,276,351,78.6
M2K,BRISBANE_1025,2.5,5,300,293,351,83.5
M2K,BRISBANE_1025,2.5,5,360,323,351,92.0
M2K,BRISBANE_1025,2.5,5,420,333,351,94.9
M2K,BRISBANE_1025,2.5,5,480,344,351,98.0
M2K,BRISBANE_1025,3.0,1,5,37,925,4.0
M2K,BRISBANE_1025,3.0,1,10,98,925,10.6
M2K,BRISBANE_1025,3.0,1,15,184,925,19.9
M2K,BRISBANE_1025,3.0,1,20,269,925,29.1
M2K,BRISBANE_1025,3.0,1,30,387,925,41.8
M2K,BRISBANE_1025,3.0,1,45,531,925,57.4
M2K,BRISBANE_1025,3.0,1,60,622,925,67.2
M2K,BRISBANE_1025,3.0,1,90,730,925,78.9
M2K,BRISBANE_1025,3.0,1,120,771,925,83.4
M2K,BRISBANE_1025,3.0,1,150,801,925,86.6
M2K,BRISBANE_1025,3.0,1,180,821,925,88.8
M2K,BRISBANE_1025,3.0,1,240,835,925,90.3
M2K,BRISBANE_1025,3.0,1,300,857,925,92.6
M2K,BRISBANE_1025,3.0,1,360,890,925,96.2
M2K,BRISBANE_1025,3.0,1,420,903,925,97.6
M2K,BRISBANE_1025,3.0,1,480,914,925,98.8
