trading_day,year,instrument,session,dst_regime,day_of_week,pnl_r,outcome,break_dir,orb_size,entry_price,stop_price,risk_dollars,eb_open,eb_close,c1_break_distance_r,c2_wick_ratio,c3_break_speed_min,c4_entry_bar_engulf,c5_entry_bar_continues,c6_reversal_1bar,c6_reversal_2bar,c6_reversal_3bar,c6_reversal_4bar,c6_reversal_5bar,c6_reversal_6bar,c6_reversal_7bar,c6_reversal_8bar,c6_reversal_10bar,c6_exit_close_1bar,c6_exit_close_2bar,c6_exit_close_3bar,c6_exit_close_4bar,c6_exit_close_5bar,c6_exit_close_6bar,c6_exit_close_7bar,c6_exit_close_8bar,c6_exit_close_10bar
2025-02-17,2025,MGC,1000,clean,0,-0.3258,early_exit,long,4.2000,2896.8000,2892.3000,,2896.8000,2897.0000,0.0476,0.0000,6.0000,False,True,True,True,True,True,True,True,True,True,True,2896.3000,2896.3000,2896.3000,2896.3000,2896.3000,2896.3000,2896.3000,2896.3000,2896.3000
2025-04-07,2025,MGC,1000,clean,0,-1.0000,loss,short,10.9000,3010.5000,3025.2000,,3010.5000,3008.5000,0.2844,0.4423,1.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-04-09,2025,MGC,1000,clean,2,-0.6895,early_exit,long,5.5000,2996.7000,2988.2000,,2996.7000,2994.4000,0.5455,0.2333,1.0000,False,False,False,False,False,False,True,True,True,True,True,,,,,2991.1000,2991.1000,2991.1000,2991.1000,2991.1000
2025-04-10,2025,MGC,1000,clean,3,-1.0000,loss,long,8.1000,3105.3000,3096.3000,,3105.3000,3104.9000,0.1111,0.9375,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-04-14,2025,MGC,1000,clean,0,-1.0000,loss,long,4.6000,3243.4000,3237.5000,,3243.4000,3243.2000,0.3261,0.5000,1.0000,False,False,True,True,True,True,True,True,True,True,True,3241.5000,3241.5000,3241.5000,3241.5000,3241.5000,3241.5000,3241.5000,3241.5000,3241.5000
2025-04-16,2025,MGC,1000,clean,2,1.8205,win,long,10.2000,3281.9000,3268.7000,,3281.9000,3282.1000,0.2843,0.8077,3.0000,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-04-17,2025,MGC,1000,clean,3,-1.0262,early_exit,short,6.2000,3357.7000,3364.5000,,3357.7000,3357.9000,0.0484,0.0625,32.0000,False,False,False,False,False,False,True,True,True,True,True,,,,,3359.0000,3359.0000,3359.0000,3359.0000,3359.0000
2025-04-21,2025,MGC,1000,clean,0,1.6744,win,long,6.9000,3368.1000,3361.2000,,3368.1000,3368.6000,0.0145,0.0500,1.0000,False,True,False,False,False,False,False,False,False,False,True,,,,,,,,,3367.9000
2025-04-22,2025,MGC,1000,clean,1,1.9029,win,long,22.4000,3449.0000,3423.9000,,3449.0000,3448.6000,0.1250,0.0213,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-04-23,2025,MGC,1000,clean,2,1.6316,win,long,5.7000,3349.7000,3343.7000,,3349.7000,3351.3000,0.0702,0.5000,1.0000,False,True,False,False,False,False,False,True,True,True,True,,,,,,3348.5000,3348.5000,3348.5000,3348.5000
2025-04-25,2025,MGC,1000,clean,4,-0.4559,early_exit,long,6.0000,3367.2000,3358.3000,,3367.2000,3367.1000,0.4833,0.1818,1.0000,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,
2025-04-28,2025,MGC,1000,clean,0,-1.0000,loss,long,6.1000,3321.9000,3312.4000,,3321.9000,3321.5000,0.5738,0.0377,1.0000,False,False,False,False,False,True,True,True,True,True,True,,,,3317.5000,3317.5000,3317.5000,3317.5000,3317.5000,3317.5000
2025-04-30,2025,MGC,1000,clean,2,-1.0000,loss,long,6.3000,3332.7000,3326.0000,,3332.7000,3333.4000,0.1111,0.6316,3.0000,False,True,False,False,False,False,True,True,True,True,True,,,,,3332.1000,3332.1000,3332.1000,3332.1000,3332.1000
2025-05-01,2025,MGC,1000,clean,3,-1.0000,loss,long,4.7000,3284.6000,3279.3000,,3284.6000,3282.8000,0.0851,0.3571,1.0000,True,False,True,True,True,True,True,True,True,True,True,3279.9000,3279.9000,3279.9000,3279.9000,3279.9000,3279.9000,3279.9000,3279.9000,3279.9000
