leader,follower,symbol,session,entry_model,confirm_bars,rr_target,n_base,n_on,signals_per_year,avg_on,avg_off,uplift,years_pos,years_total,years_pos_ratio,train_uplift,test2025_uplift,n_test_on,n_test_off
M6E_US_EQUITY_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,1.0,1270,415,83.0,0.11351301204819278,0.03208093567251462,0.08143207637567816,4,5,0.8,0.10272671664615268,0.020051524644945667,84,171
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.0,1182,602,120.4,0.11332707641196013,0.01108655172413792,0.10224052468782222,4,5,0.8,0.10332650496562261,0.29701932996916175,116,123
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.0,1188,603,120.6,0.11320862354892207,0.013797777777777763,0.09941084577114431,4,5,0.8,0.06594928425943154,0.3166376803473876,118,121
MES_1000,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,2.0,381,177,35.4,0.11219265536723164,-0.0903294117647059,0.20252206713193754,1,1,1.0,0.22612702000851428,,29,39
M2K_CME_OPEN,MES_0900,MES,0900,E0,2,2.5,485,91,18.2,0.11215714285714289,-0.17544314720812182,0.2876002900652647,0,0,,,,16,91
M2K_LONDON_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,2.0,1243,619,123.8,0.11211987075928917,0.0853121794871795,0.026807691272109677,2,5,0.4,-0.04574931805152689,0.2921401098901098,130,119
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,3.0,487,245,49.0,0.11023469387755103,0.03099132231404961,0.07924337156350142,3,4,0.75,0.11324345549738218,0.058501721014492705,48,46
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.5,453,214,42.8,0.10963130841121496,0.11011631799163182,-0.00048500958041686193,1,3,0.3333333333333333,-0.039118790666706996,,39,46
M6E_1800,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,1,1.5,1263,635,127.0,0.1092122834645669,0.04347738853503184,0.06573489492953508,4,5,0.8,0.08251946173988944,0.0004995906976743916,125,129
M2K_US_POST_EQUITY,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,2,2.0,504,290,58.0,0.10826379310344826,0.16747990654205608,-0.05921611343860782,0,3,0.0,-0.018475042834245295,-0.2615758412698413,63,50
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.0,1188,608,121.6,0.10808536184210527,0.018311379310344815,0.08977398253176044,3,5,0.6,0.015574493060422738,0.3767007504956103,132,107
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.5,1135,576,115.2,0.1071920138888889,-0.02124311270125222,0.1284351265901411,5,5,1.0,0.14976846153846152,0.27324099883855985,112,123
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,1,3.0,1160,567,113.4,0.10580776014109348,-0.01914384485666105,0.12495160499775454,4,5,0.8,0.1622302922567629,0.019876073805202683,114,116
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.5,1141,578,115.6,0.10576608996539794,-0.014744404973356997,0.12051049493875493,5,5,1.0,0.1262843018149883,0.19774815137016097,114,121
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,3.0,1104,561,112.2,0.10434117647058823,-0.06495432780847146,0.1692955042790597,5,5,1.0,0.1739350699054909,0.27640345604224914,111,116
M2K_1000,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,1,4.0,1107,543,108.6,0.10386169429097603,-0.13893670212765957,0.2427983964186356,5,5,1.0,0.27878444343891395,0.1708981481481482,108,108
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,3.0,403,189,37.8,0.10375925925925925,-0.005817289719626141,0.10957654897888539,1,1,1.0,0.10763173195084481,,32,44
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,3.0,1104,574,114.8,0.10307700348432057,-0.06773773584905658,0.17081473933337715,4,5,0.8,0.13162121393090362,0.4317329247210435,126,101
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,3.0,407,196,39.2,0.10222040816326532,-0.008876303317535526,0.11109671148080084,0,1,0.0,0.10453321428571426,,37,39
M6E_US_EQUITY_OPEN,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,1.5,1227,628,125.6,0.10129936305732481,0.018925709515859757,0.08237365354146506,4,5,0.8,0.04968258290139261,0.1867024689692391,136,109
M2K_US_POST_EQUITY,MES_US_POST_EQUITY,MES,US_POST_EQUITY,E0,1,1.5,1250,679,135.8,0.09777540500736381,0.05093520140105078,0.04684020360631303,3,5,0.6,0.06677208539010016,-0.06441129897167372,131,121
M2K_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.0,479,230,46.0,0.09583347826086958,0.086455421686747,0.009378056574122579,3,5,0.6,-0.007646771177117734,0.09385318503538932,46,43
M2K_LONDON_OPEN,MES_US_EQUITY_OPEN,MES,US_EQUITY_OPEN,E0,2,3.0,487,239,47.8,0.09520753138075312,0.047390322580645176,0.047817208800107945,2,3,0.6666666666666666,-0.043369583573210496,0.43035788043478257,46,48
M6E_1800,M2K_US_EQUITY_OPEN,M2K,US_EQUITY_OPEN,E0,2,2.5,358,179,35.8,0.09490335195530729,-0.18895474860335193,0.28385810055865923,1,1,1.0,0.28305357710651824,,28,39
MES_0030,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,1,2.5,1135,201,40.2,0.09487910447761191,0.032973233404710936,0.06190587107290098,2,3,0.6666666666666666,-0.033412309872461056,0.2118239462209302,43,192
MES_1000,M2K_US_POST_EQUITY,M2K,US_POST_EQUITY,E0,2,1.0,475,226,45.2,0.09419601769911504,0.09792168674698798,-0.0037256690478729426,3,5,0.6,-0.025048314668423388,0.11956505102040818,40,49
