sess,om,em,rr,filt,N,ExpR,clt,clp,posyrs,nyrs,oosN,oos
TOKYO_OPEN,15,E2,1.5,NO_FILTER,918,-0.10085424836601309,-3.075441902674029,0.002164214340891175,1,4,92,0.09147717391304351
TOKYO_OPEN,15,E2,1.5,ORB_G4,186,0.09540430107526882,1.130130742442309,0.2598842304178386,3,4,91,0.07968901098901099
TOKYO_OPEN,15,E2,1.5,ORB_G6,111,0.22773513513513513,2.0591766889111134,0.04183871640196855,3,3,87,0.10326551724137929
TOKYO_OPEN,15,E2,1.5,ORB_G8,70,0.08923142857142856,0.6362794443826237,0.5266993904810175,3,3,82,0.05755121951219514
TOKYO_OPEN,15,E2,2.0,NO_FILTER,918,-0.11568289760348584,-3.026410558634048,0.0025438858554396302,1,4,92,0.15442065217391307
TOKYO_OPEN,15,E2,2.0,ORB_G4,186,0.12276720430107525,1.2363482235200445,0.21789651473264066,3,4,91,0.13856703296703296
TOKYO_OPEN,15,E2,2.0,ORB_G6,111,0.3208081081081082,2.436061863861897,0.016453434594406756,3,3,87,0.15963793103448276
TOKYO_OPEN,15,E2,2.0,ORB_G8,70,0.18370428571428568,1.117140152207519,0.26780929938068815,3,3,82,0.1286829268292683
TOKYO_OPEN,30,E1,1.0,NO_FILTER,4518,-0.10293842408145197,-4.01058538216773,6.550276026881513e-05,1,4,446,0.07122421524663677
TOKYO_OPEN,30,E1,1.0,ORB_G4,1285,0.019066536964980545,0.35557164534600955,0.7224485824967345,2,4,446,0.07122421524663677
TOKYO_OPEN,30,E1,1.0,ORB_G6,832,0.07929987980769232,1.184890191458245,0.23772443370721458,2,4,441,0.07508526077097505
TOKYO_OPEN,30,E1,1.0,ORB_G8,544,0.08006746323529412,0.9641939627985545,0.33704460193014846,2,4,426,0.05113544600938967
TOKYO_OPEN,30,E1,1.5,NO_FILTER,4518,-0.09181564851704294,-2.820941166623717,0.004891773097607687,1,4,446,0.13883946188340807
TOKYO_OPEN,30,E1,1.5,ORB_G4,1285,0.05219143968871598,0.7699246039491944,0.44204089678752123,2,4,446,0.13883946188340807
TOKYO_OPEN,30,E1,1.5,ORB_G6,832,0.10971310096153844,1.3003976172579277,0.19523527994133433,2,4,441,0.15175147392290247
TOKYO_OPEN,30,E1,1.5,ORB_G8,544,0.10848253676470587,1.049798818588297,0.29609090017943374,2,4,426,0.12607183098591548
TOKYO_OPEN,30,E1,2.0,NO_FILTER,4518,-0.08773158477202303,-2.314630837308709,0.020853486131220577,1,4,446,0.18374999999999997
TOKYO_OPEN,30,E1,2.0,ORB_G4,1285,0.0711950972762646,0.9172028809346773,0.3598830805227662,1,4,446,0.18374999999999997
TOKYO_OPEN,30,E1,2.0,ORB_G6,832,0.12611213942307692,1.3066642198060123,0.19310211016890008,2,4,441,0.19717120181405895
TOKYO_OPEN,30,E1,2.0,ORB_G8,544,0.12823235294117646,1.0827836868195504,0.2812509896431414,2,4,426,0.17957276995305163
TOKYO_OPEN,30,E2,1.0,NO_FILTER,917,-0.06342093784078516,-2.3211462813953916,0.020497641720060463,1,4,92,0.09365869565217391
TOKYO_OPEN,30,E2,1.0,ORB_G4,262,0.07860839694656488,1.3909284170930862,0.16543178075956094,2,4,92,0.09365869565217391
TOKYO_OPEN,30,E2,1.0,ORB_G6,170,0.09400411764705882,1.3147462102618148,0.19037654731699818,2,4,91,0.08588351648351646
TOKYO_OPEN,30,E2,1.0,ORB_G8,112,0.11688839285714285,1.3146977929976391,0.19132136558661578,2,4,88,0.08062613636363634
TOKYO_OPEN,30,E2,1.5,NO_FILTER,917,-0.06158276990185389,-1.8029451434644668,0.07172538102687849,1,4,92,0.18484565217391308
TOKYO_OPEN,30,E2,1.5,ORB_G4,262,0.08674618320610689,1.225371640303132,0.2215398453330867,2,4,92,0.18484565217391308
TOKYO_OPEN,30,E2,1.5,ORB_G6,170,0.13570882352941177,1.5236339467764184,0.12946924088370457,2,4,91,0.1978659340659341
TOKYO_OPEN,30,E2,1.5,ORB_G8,112,0.14713660714285717,1.3359227888692127,0.1843070526739735,2,4,88,0.18585681818181818
TOKYO_OPEN,30,E2,2.0,NO_FILTER,917,-0.05532366412213741,-1.3875559539046225,0.1656097560978727,1,4,92,0.2654902173913043
TOKYO_OPEN,30,E2,2.0,ORB_G4,262,0.11435343511450383,1.3852266957024828,0.16716590325106814,3,4,92,0.2654902173913043
TOKYO_OPEN,30,E2,2.0,ORB_G6,170,0.16518117647058825,1.5934770525049877,0.11292177481951349,2,4,91,0.27939670329670335
TOKYO_OPEN,30,E2,2.0,ORB_G8,112,0.1507767857142857,1.18969516282707,0.23670473170922024,2,4,88,0.2914068181818182
SINGAPORE_OPEN,5,E1,1.0,NO_FILTER,4525,-0.18708342541436465,-7.62633438167915,6.033285612271447e-14,0,4,460,0.2035973913043478
SINGAPORE_OPEN,5,E1,1.0,ORB_G4,1058,-0.059768431001890374,-1.0145208376942645,0.3114746171514167,1,4,460,0.2035973913043478
SINGAPORE_OPEN,5,E1,1.0,ORB_G6,559,-0.11414293381037566,-1.3946597046910074,0.16580667155811088,0,3,450,0.201498
SINGAPORE_OPEN,5,E1,1.0,ORB_G8,350,-0.10054057142857141,-0.9288683142136753,0.3561045785659235,1,3,400,0.23377425000000002
SINGAPORE_OPEN,5,E1,1.5,NO_FILTER,4525,-0.18058373480662984,-5.8992307614936434,5.133236709180034e-09,0,4,460,0.27426630434782606
SINGAPORE_OPEN,5,E1,1.5,ORB_G4,1058,-0.06222400756143667,-0.8523744641527442,0.39495478198354145,2,4,460,0.27426630434782606
SINGAPORE_OPEN,5,E1,1.5,ORB_G6,559,-0.1706416815742397,-1.7234430288611098,0.08749598570018279,1,3,450,0.26652577777777775
SINGAPORE_OPEN,5,E1,1.5,ORB_G8,350,-0.17233685714285718,-1.3458302550817387,0.182639161821664,1,3,400,0.31297075
SINGAPORE_OPEN,5,E1,2.0,NO_FILTER,4525,-0.1678914917127072,-4.704920495129381,2.930676469034795e-06,0,4,460,0.3485663043478261
SINGAPORE_OPEN,5,E1,2.0,ORB_G4,1058,-0.022812665406427225,-0.2673653472910252,0.7894441734957176,2,4,460,0.3485663043478261
SINGAPORE_OPEN,5,E1,2.0,ORB_G6,559,-0.17539302325581393,-1.5519923482173597,0.12341180571869319,1,3,450,0.3352655555555556
SINGAPORE_OPEN,5,E1,2.0,ORB_G8,350,-0.18201371428571428,-1.240379360561016,0.21891853628277172,1,3,400,0.38921025
SINGAPORE_OPEN,5,E2,1.0,NO_FILTER,918,-0.12047592592592593,-4.6060214550402865,4.684042840074422e-06,1,4,92,0.2958728260869565
SINGAPORE_OPEN,5,E2,1.0,ORB_G4,216,0.04478842592592592,0.7222244480968052,0.4709412924096095,3,4,92,0.2958728260869565
SINGAPORE_OPEN,5,E2,1.0,ORB_G6,116,-0.043779310344827606,-0.49935334004320775,0.618484467406181,0,3,90,0.30448111111111115
SINGAPORE_OPEN,5,E2,1.0,ORB_G8,72,-0.0234,-0.20754816033464396,0.8361759406406486,1,3,80,0.37519375000000005
SINGAPORE_OPEN,5,E2,1.5,NO_FILTER,918,-0.13079281045751634,-3.998417629074801,6.889522838296376e-05,1,4,92,0.43746304347826087
SINGAPORE_OPEN,5,E2,1.5,ORB_G4,216,0.05953055555555555,0.7643950867897714,0.44546995736995715,4,4,92,0.43746304347826087
SINGAPORE_OPEN,5,E2,1.5,ORB_G6,116,-0.06976810344827589,-0.651841523565742,0.5158040556667715,0,3,90,0.44417000000000006
SINGAPORE_OPEN,5,E2,1.5,ORB_G8,72,-0.07773472222222222,-0.5664903269374985,0.572846924946254,1,3,80,0.53797125
SINGAPORE_OPEN,5,E2,2.0,NO_FILTER,918,-0.12347222222222222,-3.235984405050734,0.0012556665390289446,1,4,92,0.4737978260869565
SINGAPORE_OPEN,5,E2,2.0,ORB_G4,216,0.08151064814814814,0.8896131660135104,0.37466794357071936,3,4,92,0.4737978260869565
SINGAPORE_OPEN,5,E2,2.0,ORB_G6,116,-0.028432758620689683,-0.227629246323174,0.8203386874047538,1,3,90,0.47626555555555555
SINGAPORE_OPEN,5,E2,2.0,ORB_G8,72,0.02711111111111114,0.16719328855933796,0.8676932459719984,2,3,80,0.5567337499999999
SINGAPORE_OPEN,15,E1,1.0,NO_FILTER,4456,-0.1293169434470377,-4.839299632082506,1.5289692759153545e-06,0,4,454,0.15205308370044052
SINGAPORE_OPEN,15,E1,1.0,ORB_G4,1703,-0.01699970640046976,-0.35940857243157226,0.7195055854824478,3,4,454,0.15205308370044052
SINGAPORE_OPEN,15,E1,1.0,ORB_G6,1113,-0.022296316262354003,-0.37578257499707696,0.7074249015110149,2,4,454,0.15205308370044052
