strategy_id,strategy,overlay,n_base,n_on,retain,avg_base,avg_on,delta_avg,wr_base,wr_on,delta_wr,test2025_delta_vs_base
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_l_size60,496,199,0.4012096774193548,0.03453185483870967,-0.006329648241206025,-0.0408615030799157,0.45161290322580644,0.4321608040201005,-0.019452099205705953,-0.004164395604395604
A3,MES_1000 -> M2K_US_POST_EQUITY E1/CB5/RR1.5,OV_l_cont_fast30,496,459,0.9254032258064516,0.03453185483870967,0.03257734204793026,-0.0019545127907794127,0.45161290322580644,0.45098039215686275,-0.0006325110689436864,-0.006384157509157523
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_fast30,830,781,0.9409638554216867,0.028291807228915666,0.032715236875800274,0.004423429646884608,0.37710843373493974,0.38028169014084506,0.0031732564059053225,-0.0012228311442335493
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_fast15,830,718,0.8650602409638555,0.028291807228915666,0.04336894150417826,0.015077134275262596,0.37710843373493974,0.38440111420612816,0.0072926804711884174,0.026207170801102464
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_size60,830,332,0.4,0.028291807228915666,0.13583765060240965,0.10754584337349399,0.37710843373493974,0.3825301204819277,0.005421686746987953,0.1311012592831773
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_vol60,830,332,0.4,0.028291807228915666,0.16950843373493973,0.14121662650602407,0.37710843373493974,0.43373493975903615,0.05662650602409641,0.09548505209854899
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_cont_fast30,830,763,0.9192771084337349,0.028291807228915666,0.04003001310615991,0.011738205877244244,0.37710843373493974,0.382699868938401,0.005591435203461281,0.006397525286022193
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_f_fast30_size60,830,300,0.3614457831325301,0.028291807228915666,0.14298766666666668,0.11469585943775101,0.37710843373493974,0.38666666666666666,0.009558232931726918,0.09837518640868334
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_l_cont,830,779,0.9385542168674699,0.028291807228915666,0.03246777920410783,0.004175971975192164,0.37710843373493974,0.3774069319640565,0.0002984982291167615,0.06673086013093424
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_l_size60,830,332,0.4,0.028291807228915666,0.08368072289156628,0.05538891566265061,0.37710843373493974,0.3674698795180723,-0.009638554216867434,-0.04786166977860763
B1,M2K_1000 -> MES_1000 E0/CB1/RR2.5,OV_l_cont_fast30,830,762,0.9180722891566265,0.028291807228915666,0.03154540682414698,0.0032535995952313115,0.37710843373493974,0.3779527559055118,0.0008443221705720649,0.037538566837778065
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,OV_f_size60,1311,525,0.40045766590389015,0.011141952707856584,0.05953104761904763,0.04838909491119105,0.3707093821510298,0.35619047619047617,-0.014518905960553607,0.01452727574750834
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,OV_f_vol60,1311,525,0.40045766590389015,0.011141952707856584,0.08852190476190477,0.07737995205404818,0.3707093821510298,0.40190476190476193,0.031195379753732155,0.0882184415584415
B2,MES_1000_fast_le_15 -> MES_1000 E0/CB1/RR2.5,OV_f_fast30_size60,1311,525,0.40045766590389015,0.011141952707856584,0.05953104761904763,0.04838909491119105,0.3707093821510298,0.35619047619047617,-0.014518905960553607,0.01452727574750834
