session,rr,cb,em,tier,n,avg_r,win_rate,t_stat,p_val,p_bh,bh_sig
0900,1.5,3,E0,NESTED_15,68,-0.3778,0.294,-4.96,0.0,0.0,True
0900,1.5,3,E0,SOLO_5,342,-0.3879,0.272,-10.536,0.0,0.0,True
0900,1.5,3,E1,NESTED_15,618,-0.4769,0.217,-19.551,0.0,0.0,True
0900,1.5,3,E1,NESTED_30,610,-0.387,0.275,-13.865,0.0,0.0,True
0900,1.5,3,E1,SOLO_5,1204,-0.4387,0.251,-23.175,0.0,0.0,True
0900,1.5,4,E0,NESTED_15,33,-0.513,0.212,-4.692,0.0,0.0,True
0900,1.5,4,E0,SOLO_5,233,-0.4289,0.27,-10.03,0.0,0.0,True
0900,1.5,4,E1,NESTED_15,644,-0.4743,0.22,-20.268,0.0,0.0,True
0900,1.5,4,E1,NESTED_30,697,-0.3538,0.297,-13.287,0.0,0.0,True
0900,1.5,4,E1,SOLO_5,1070,-0.4299,0.25,-21.526,0.0,0.0,True
0900,1.5,5,E0,SOLO_5,155,-0.5164,0.239,-10.835,0.0,0.0,True
0900,1.5,5,E1,NESTED_15,634,-0.4436,0.238,-18.02,0.0,0.0,True
0900,1.5,5,E1,NESTED_30,804,-0.3491,0.29,-14.258,0.0,0.0,True
0900,1.5,5,E1,SOLO_5,969,-0.4331,0.258,-20.446,0.0,0.0,True
0900,2.0,1,E0,NESTED_15,335,-0.4125,0.257,-10.026,0.0,0.0,True
0900,2.0,1,E0,NESTED_30,151,-0.2904,0.318,-4.314,0.0,0.0,True
0900,2.0,1,E0,SOLO_5,1752,-0.4304,0.24,-23.946,0.0,0.0,True
0900,2.0,1,E1,NESTED_15,496,-0.5312,0.175,-18.212,0.0,0.0,True
0900,2.0,1,E1,NESTED_30,344,-0.5243,0.174,-14.195,0.0,0.0,True
0900,2.0,1,E1,SOLO_5,1631,-0.4537,0.228,-24.418,0.0,0.0,True
0900,2.0,1,E3,NESTED_15,345,-0.4846,0.197,-13.38,0.0,0.0,True
0900,2.0,1,E3,NESTED_30,148,-0.3235,0.297,-4.854,0.0,0.0,True
0900,2.0,1,E3,SOLO_5,1783,-0.5013,0.201,-29.897,0.0,0.0,True
0900,2.0,2,E0,NESTED_15,120,-0.3546,0.258,-4.995,0.0,0.0,True
0900,2.0,2,E0,NESTED_30,52,-0.1788,0.365,-1.503,0.139,0.1448,False
0900,2.0,2,E0,SOLO_5,578,-0.3934,0.261,-12.324,0.0,0.0,True
0900,2.0,2,E1,NESTED_15,583,-0.4845,0.206,-16.617,0.0,0.0,True
0900,2.0,2,E1,NESTED_30,481,-0.4046,0.235,-11.422,0.0,0.0,True
0900,2.0,2,E1,SOLO_5,1379,-0.4205,0.234,-20.523,0.0,0.0,True
0900,2.0,3,E0,NESTED_15,68,-0.3654,0.265,-4.153,0.0001,0.0001,True
0900,2.0,3,E0,SOLO_5,341,-0.4085,0.252,-9.73,0.0,0.0,True
0900,2.0,3,E1,NESTED_15,618,-0.4778,0.196,-17.017,0.0,0.0,True
0900,2.0,3,E1,NESTED_30,610,-0.3829,0.241,-11.905,0.0,0.0,True
0900,2.0,3,E1,SOLO_5,1204,-0.4354,0.229,-20.057,0.0,0.0,True
0900,2.0,4,E0,NESTED_15,33,-0.6177,0.121,-5.996,0.0,0.0,True
0900,2.0,4,E0,SOLO_5,233,-0.4492,0.249,-9.164,0.0,0.0,True
0900,2.0,4,E1,NESTED_15,644,-0.4908,0.185,-18.409,0.0,0.0,True
0900,2.0,4,E1,NESTED_30,697,-0.3333,0.261,-10.599,0.0,0.0,True
0900,2.0,4,E1,SOLO_5,1069,-0.4263,0.224,-18.552,0.0,0.0,True
0900,2.0,5,E0,SOLO_5,155,-0.5549,0.213,-10.46,0.0,0.0,True
0900,2.0,5,E1,NESTED_15,634,-0.4668,0.197,-16.972,0.0,0.0,True
0900,2.0,5,E1,NESTED_30,802,-0.3372,0.256,-11.743,0.0,0.0,True
0900,2.0,5,E1,SOLO_5,969,-0.4158,0.236,-16.928,0.0,0.0,True
0900,2.5,1,E0,NESTED_15,335,-0.4089,0.227,-8.795,0.0,0.0,True
0900,2.5,1,E0,NESTED_30,151,-0.2623,0.298,-3.421,0.0008,0.001,True
0900,2.5,1,E0,SOLO_5,1752,-0.4315,0.233,-21.418,0.0,0.0,True
0900,2.5,1,E1,NESTED_15,496,-0.521,0.175,-15.845,0.0,0.0,True
0900,2.5,1,E1,NESTED_30,344,-0.5294,0.148,-13.146,0.0,0.0,True
0900,2.5,1,E1,SOLO_5,1629,-0.4448,0.219,-21.308,0.0,0.0,True
0900,2.5,1,E3,NESTED_15,345,-0.4817,0.177,-11.886,0.0,0.0,True
0900,2.5,1,E3,NESTED_30,148,-0.3077,0.27,-4.049,0.0001,0.0001,True
