entry_model,confirm_bars,rr_target,n,n_on,avg_on,avg_off,uplift
E0,4,2.0,5915.0,5570.0,-0.10354429084380609,-0.22235826086956517,0.11881397002575908
E0,1,1.5,49409.0,47210.0,-0.09598103579750053,-0.20734674852205548,0.11136571272455495
E0,5,1.0,4523.0,4257.0,-0.05721928588207657,-0.16232105263157898,0.1051017667495024
E1,1,3.0,48119.0,45256.0,-0.27995756363797064,-0.38503059727558503,0.10507303363761439
E0,4,1.5,6037.0,5688.0,-0.09249959563994374,-0.19675444126074498,0.10425484562080124
E0,4,2.5,5817.0,5476.0,-0.11246327611395178,-0.21422639296187682,0.10176311684792504
E3,1,2.5,45472.0,42770.0,-0.26591880056114103,-0.36712990377498145,0.10121110321384041
E3,1,3.0,44885.0,42206.0,-0.2873398260910771,-0.38774329973870847,0.10040347364763136
E1,1,2.5,48863.0,45971.0,-0.25982615779513174,-0.35746282849239275,0.09763667069726101
E1,1,2.0,49690.0,46756.0,-0.24132680297715797,-0.3370729379686435,0.09574613499148554
E3,1,2.0,46135.0,43398.0,-0.2509719733628278,-0.34616452320058466,0.09519254983775688
E3,1,4.0,43906.0,41259.0,-0.3276304636564144,-0.4218643747638836,0.0942339111074692
E1,2,3.0,45495.0,42768.0,-0.2844714295735129,-0.3766884121745508,0.09221698260103789
E1,5,2.5,41317.0,38853.0,-0.24404141507734278,-0.3361842532467533,0.09214283816941049
E0,4,1.0,6169.0,5812.0,-0.06267993805918788,-0.15480084033613442,0.09212090227694654
E1,2,4.0,44301.0,41621.0,-0.33529354172172704,-0.42660608208955214,0.0913125403678251
E3,1,1.5,46852.0,44079.0,-0.2445900610267928,-0.3343169130905157,0.08972685206372291
E1,1,1.5,50699.0,47715.0,-0.2267602934087813,-0.3156408512064343,0.08888055779765303
E0,3,1.5,9015.0,8536.0,-0.08135317478912839,-0.16977432150313151,0.08842114671400313
E1,1,4.0,46900.0,44079.0,-0.33072186528732506,-0.41863555476781283,0.08791368948048778
E1,4,2.5,43121.0,40533.0,-0.24727110009128367,-0.3298882534775889,0.08261715338630521
E1,3,2.0,45543.0,42846.0,-0.22490794940017736,-0.3053733036707452,0.08046535427056786
E0,1,1.0,50515.0,48226.0,-0.08379433707958363,-0.16233128003494973,0.0785369429553661
E1,2,2.0,47259.0,44448.0,-0.2307169343952484,-0.3062204909284952,0.07550355653324678
E1,2,1.5,48334.0,45474.0,-0.21833652636671502,-0.2935505944055944,0.07521406803887937
E0,3,1.0,9240.0,8743.0,-0.07416296465744025,-0.14784627766599598,0.07368331300855573
E1,2,2.5,46321.0,43556.0,-0.25700582468546235,-0.3300425678119349,0.07303674312647257
E1,3,2.5,44509.0,41845.0,-0.2587960544867965,-0.32910822072072077,0.07031216623392428
E1,1,1.0,51936.0,48866.0,-0.213237269266975,-0.28255286644951144,0.06931559718253644
E1,4,3.0,42316.0,39756.0,-0.27570868548143673,-0.3442948046875,0.06858611920606328
E1,2,1.0,49732.0,46796.0,-0.202926842037781,-0.2709274182561308,0.06800057621834982
E0,2,1.0,17480.0,16428.0,-0.06080016435354273,-0.12587918250950572,0.065079018155963
E1,3,1.5,46720.0,43967.0,-0.20696244683512632,-0.2710494369778424,0.06408699014271607
E1,3,3.0,43741.0,41103.0,-0.282243395859183,-0.34578161485974224,0.06353821900055923
E1,5,1.5,43632.0,41072.0,-0.1905799279314375,-0.25398519531249997,0.06340526738106247
E3,1,1.0,47803.0,44939.0,-0.22512495605153654,-0.288225,0.06310004394846347
E1,5,2.0,42343.0,39838.0,-0.21217722526231236,-0.27328542914171655,0.06110820387940419
E1,3,1.0,48179.0,45340.0,-0.19416852668725185,-0.25385301162381124,0.059684484936559395
E1,4,2.0,44117.0,41490.0,-0.21849823812966981,-0.2759133993148078,0.05741516118513798
E1,4,1.5,45347.0,42664.0,-0.19797630320645038,-0.2547569511740589,0.05678064796760851
E1,5,1.0,45185.0,42532.0,-0.17195134016740335,-0.22785518281191106,0.055903842644507706
E1,5,3.0,40467.0,38030.0,-0.27373250065737575,-0.32770746819860486,0.0539749675412291
E1,4,1.0,46884.0,44114.0,-0.17689292288162486,-0.22850736462093865,0.05161444173931379
E1,3,4.0,42485.0,39898.0,-0.34293389392952023,-0.3843221105527638,0.041388216623243546
E1,4,4.0,41074.0,38554.0,-0.3400664418737355,-0.36523023809523814,0.02516379622150261
E1,5,4.0,39226.0,36823.0,-0.34922871574830944,-0.35182076570952975,0.0025920499612203107
