instrument,session,dst_regime,orb_filter,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MGC,1800,SUMMER,G5,5-10,3,INVALID,-0.493900,0.000000,0.219241,0.415802
MGC,1800,SUMMER,G5,10-20,9,INVALID,-0.139200,0.444400,0.720573,0.865086
MGC,1800,SUMMER,G5,20-30,7,INVALID,-0.264200,0.285700,0.559309,0.750293
MGC,1800,SUMMER,G5,30+,61,REGIME,-0.158900,0.327900,0.242029,0.443720
MGC,1800,SUMMER,G6,0-2,60,REGIME,-0.615700,0.150000,0.000000,0.000000
MGC,1800,SUMMER,G6,2-5,3,INVALID,-0.084000,0.666700,0.878364,0.925479
MGC,1800,SUMMER,G6,5-10,2,INVALID,-0.517600,0.000000,0.477540,0.687558
MGC,1800,SUMMER,G6,10-20,6,INVALID,-0.661600,0.166700,0.107946,0.245332
MGC,1800,SUMMER,G6,20-30,4,INVALID,-0.050000,0.250000,0.948207,0.967561
MGC,1800,SUMMER,G6,30+,36,REGIME,-0.113800,0.388900,0.515448,0.698668
MGC,1800,SUMMER,G8,0-2,35,REGIME,-0.488100,0.171400,0.001643,0.005648
MGC,1800,SUMMER,G8,2-5,0,INVALID,,,,
MGC,1800,SUMMER,G8,5-10,2,INVALID,-0.517600,0.000000,0.477540,0.687558
MGC,1800,SUMMER,G8,10-20,1,INVALID,-1.000000,0.000000,,
MGC,1800,SUMMER,G8,20-30,2,INVALID,0.500000,0.500000,0.795167,0.878863
MGC,1800,SUMMER,G8,30+,17,INVALID,0.208000,0.588200,0.432321,0.650550
MGC,1800,WINTER,G4,0-2,70,REGIME,-0.601900,0.200000,0.000000,0.000000
MGC,1800,WINTER,G4,2-5,7,INVALID,-0.817100,0.142900,0.004243,0.013412
MGC,1800,WINTER,G4,5-10,9,INVALID,-0.630700,0.222200,0.033063,0.091842
MGC,1800,WINTER,G4,10-20,14,INVALID,0.040700,0.357100,0.892760,0.937057
MGC,1800,WINTER,G4,20-30,27,INVALID,-0.204800,0.296300,0.366832,0.585144
MGC,1800,WINTER,G4,30+,147,PRELIMINARY,-0.288300,0.265300,0.000468,0.001788
MGC,1800,WINTER,G5,0-2,48,REGIME,-0.658500,0.145800,0.000000,0.000000
MGC,1800,WINTER,G5,2-5,4,INVALID,-0.680000,0.250000,0.123595,0.274102
MGC,1800,WINTER,G5,5-10,6,INVALID,-0.745300,0.166700,0.032787,0.091842
MGC,1800,WINTER,G5,10-20,9,INVALID,0.119700,0.444400,0.757229,0.875421
MGC,1800,WINTER,G5,20-30,15,INVALID,-0.305900,0.266700,0.269217,0.474581
MGC,1800,WINTER,G5,30+,101,PRELIMINARY,-0.260200,0.277200,0.013049,0.039176
MGC,1800,WINTER,G6,0-2,30,REGIME,-0.788800,0.066700,0.000000,0.000000
MGC,1800,WINTER,G6,2-5,0,INVALID,,,,
MGC,1800,WINTER,G6,5-10,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MGC,1800,WINTER,G6,10-20,3,INVALID,-0.201200,0.333300,0.681652,0.844389
MGC,1800,WINTER,G6,20-30,12,INVALID,-0.469000,0.166700,0.093403,0.215847
MGC,1800,WINTER,G6,30+,76,REGIME,-0.247000,0.236800,0.056785,0.143918
MGC,1800,WINTER,G8,0-2,6,INVALID,-0.367200,0.166700,0.199927,0.395539
MGC,1800,WINTER,G8,2-5,0,INVALID,,,,
MGC,1800,WINTER,G8,5-10,0,INVALID,,,,
MGC,1800,WINTER,G8,10-20,0,INVALID,,,,
MGC,1800,WINTER,G8,20-30,7,INVALID,-0.337400,0.285700,0.452621,0.669198
MGC,1800,WINTER,G8,30+,47,REGIME,-0.154800,0.255300,0.376361,0.594823
MGC,2300,SUMMER,G4,0-2,353,CORE,-0.553200,0.181300,0.000000,0.000000
MGC,2300,SUMMER,G4,2-5,14,INVALID,-0.290100,0.357100,0.257225,0.465374
MGC,2300,SUMMER,G4,5-10,15,INVALID,-0.224800,0.400000,0.186675,0.383102
MGC,2300,SUMMER,G4,10-20,18,INVALID,-0.399700,0.277800,0.021112,0.061764
MGC,2300,SUMMER,G4,20-30,15,INVALID,-0.139400,0.333300,0.512208,0.698668
MGC,2300,SUMMER,G4,30+,203,CORE,-0.400000,0.275900,0.000000,0.000000
MGC,2300,SUMMER,G5,0-2,257,CORE,-0.556400,0.171200,0.000000,0.000000
MGC,2300,SUMMER,G5,2-5,8,INVALID,-0.519800,0.250000,0.054347,0.139677
MGC,2300,SUMMER,G5,5-10,11,INVALID,-0.214200,0.454500,0.334087,0.560207
MGC,2300,SUMMER,G5,10-20,16,INVALID,-0.324700,0.312500,0.072195,0.175696
MGC,2300,SUMMER,G5,20-30,8,INVALID,-0.255900,0.375000,0.313161,0.538636
MGC,2300,SUMMER,G5,30+,148,PRELIMINARY,-0.400200,0.283800,0.000000,0.000000
MGC,2300,SUMMER,G6,0-2,200,CORE,-0.566600,0.155000,0.000000,0.000000
MGC,2300,SUMMER,G6,2-5,6,INVALID,-0.563800,0.166700,0.083257,0.195690
MGC,2300,SUMMER,G6,5-10,8,INVALID,-0.392600,0.250000,0.173294,0.363785
MGC,2300,SUMMER,G6,10-20,10,INVALID,-0.208100,0.400000,0.348438,0.570360
MGC,2300,SUMMER,G6,20-30,4,INVALID,-0.430300,0.250000,0.313388,0.538636
MGC,2300,SUMMER,G6,30+,107,PRELIMINARY,-0.423800,0.280400,0.000000,0.000000
MGC,2300,SUMMER,G8,0-2,112,PRELIMINARY,-0.540400,0.160700,0.000000,0.000000
MGC,2300,SUMMER,G8,2-5,3,INVALID,-0.916900,0.000000,0.008116,0.024799
MGC,2300,SUMMER,G8,5-10,3,INVALID,0.012600,0.666700,0.984409,0.991621
MGC,2300,SUMMER,G8,10-20,2,INVALID,-0.494800,0.500000,0.506563,0.698668
MGC,2300,SUMMER,G8,20-30,0,INVALID,,,,
MGC,2300,SUMMER,G8,30+,58,REGIME,-0.418300,0.310300,0.000003,0.000013
MGC,2300,WINTER,G4,0-2,168,PRELIMINARY,-0.562100,0.178600,0.000000,0.000000
MGC,2300,WINTER,G4,2-5,18,INVALID,-0.378700,0.277800,0.052400,0.137238
MGC,2300,WINTER,G4,5-10,9,INVALID,-0.483800,0.333300,0.057044,0.143918
MGC,2300,WINTER,G4,10-20,11,INVALID,-0.143700,0.454500,0.515744,0.698668
MGC,2300,WINTER,G4,20-30,4,INVALID,-0.452400,0.250000,0.469322,0.682876
MGC,2300,WINTER,G4,30+,87,REGIME,-0.358500,0.287400,0.000045,0.000179
MGC,2300,WINTER,G5,0-2,124,PRELIMINARY,-0.577200,0.193500,0.000000,0.000000
MGC,2300,WINTER,G5,2-5,12,INVALID,-0.402300,0.250000,0.142459,0.306064
MGC,2300,WINTER,G5,5-10,4,INVALID,-0.020300,0.750000,0.957006,0.967561
MGC,2300,WINTER,G5,10-20,7,INVALID,-0.155900,0.285700,0.629055,0.793533
MGC,2300,WINTER,G5,20-30,1,INVALID,-1.000000,0.000000,,
MGC,2300,WINTER,G5,30+,58,REGIME,-0.467800,0.241400,0.000001,0.000005
MGC,2300,WINTER,G6,0-2,89,REGIME,-0.591900,0.202200,0.000000,0.000000
MGC,2300,WINTER,G6,2-5,11,INVALID,-0.443500,0.181800,0.138165,0.301551
MGC,2300,WINTER,G6,5-10,4,INVALID,-0.020300,0.750000,0.957006,0.967561
MGC,2300,WINTER,G6,10-20,4,INVALID,-0.216700,0.250000,0.596974,0.770258
MGC,2300,WINTER,G6,20-30,0,INVALID,,,,
MGC,2300,WINTER,G6,30+,41,REGIME,-0.453600,0.243900,0.000067,0.000263
MGC,2300,WINTER,G8,0-2,50,REGIME,-0.618100,0.220000,0.000000,0.000000
MGC,2300,WINTER,G8,2-5,6,INVALID,-0.370200,0.166700,0.484618,0.694114
MGC,2300,WINTER,G8,5-10,4,INVALID,-0.020300,0.750000,0.957006,0.967561
MGC,2300,WINTER,G8,10-20,4,INVALID,-0.216700,0.250000,0.596974,0.770258
MGC,2300,WINTER,G8,20-30,0,INVALID,,,,
MGC,2300,WINTER,G8,30+,22,INVALID,-0.488700,0.272700,0.001157,0.004079
