instrument,session,dst_regime,orb_filter,delay_bucket,n,sample_class,avg_r,win_rate,pvalue,pvalue_bh
MES,0030,WINTER,G5,0-2,31,REGIME,-0.582900,0.129000,0.000000,0.000000
MES,0030,WINTER,G5,2-5,1,INVALID,0.569800,1.000000,,
MES,0030,WINTER,G5,5-10,0,INVALID,,,,
MES,0030,WINTER,G5,10-20,2,INVALID,-0.444400,0.500000,0.570447,0.754197
MES,0030,WINTER,G5,20-30,3,INVALID,-0.479500,0.000000,0.206770,0.400362
MES,0030,WINTER,G5,30+,13,INVALID,-0.407500,0.230800,0.058406,0.144700
MES,0030,WINTER,G6,0-2,30,REGIME,-0.599300,0.133300,0.000000,0.000000
MES,0030,WINTER,G6,2-5,1,INVALID,0.569800,1.000000,,
MES,0030,WINTER,G6,5-10,0,INVALID,,,,
MES,0030,WINTER,G6,10-20,2,INVALID,-0.444400,0.500000,0.570447,0.754197
MES,0030,WINTER,G6,20-30,3,INVALID,-0.479500,0.000000,0.206770,0.400362
MES,0030,WINTER,G6,30+,11,INVALID,-0.368400,0.272700,0.140073,0.303308
MES,0030,WINTER,G8,0-2,24,INVALID,-0.568000,0.125000,0.000013,0.000053
MES,0030,WINTER,G8,2-5,1,INVALID,0.569800,1.000000,,
MES,0030,WINTER,G8,5-10,0,INVALID,,,,
MES,0030,WINTER,G8,10-20,1,INVALID,-1.000000,0.000000,,
MES,0030,WINTER,G8,20-30,2,INVALID,-0.608100,0.000000,0.364439,0.585144
MES,0030,WINTER,G8,30+,10,INVALID,-0.519000,0.200000,0.024219,0.070108
MES,0900,SUMMER,G4,0-2,1,INVALID,-1.000000,0.000000,,
MES,0900,SUMMER,G4,2-5,0,INVALID,,,,
MES,0900,SUMMER,G4,5-10,0,INVALID,,,,
MES,0900,SUMMER,G4,10-20,2,INVALID,-1.000000,0.000000,0.000000,0.000000
MES,0900,SUMMER,G4,20-30,0,INVALID,,,,
MES,0900,SUMMER,G4,30+,10,INVALID,-0.400000,0.200000,0.343436,0.566594
MES,0900,SUMMER,G5,0-2,0,INVALID,,,,
MES,0900,SUMMER,G5,2-5,0,INVALID,,,,
MES,0900,SUMMER,G5,5-10,0,INVALID,,,,
MES,0900,SUMMER,G5,10-20,1,INVALID,-1.000000,0.000000,,
MES,0900,SUMMER,G5,20-30,0,INVALID,,,,
MES,0900,SUMMER,G5,30+,7,INVALID,-0.142900,0.285700,0.804882,0.881843
MES,0900,SUMMER,G6,0-2,0,INVALID,,,,
MES,0900,SUMMER,G6,2-5,0,INVALID,,,,
MES,0900,SUMMER,G6,5-10,0,INVALID,,,,
MES,0900,SUMMER,G6,10-20,1,INVALID,-1.000000,0.000000,,
MES,0900,SUMMER,G6,20-30,0,INVALID,,,,
MES,0900,SUMMER,G6,30+,3,INVALID,0.000000,0.333300,1.000000,1.000000
MES,0900,SUMMER,G8,0-2,0,INVALID,,,,
MES,0900,SUMMER,G8,2-5,0,INVALID,,,,
