filter,symbol,session,year,n_on,avg_r_on,avg_r_base,uplift
continue_only,MGC,0900,2026,22,0.5106454545454546,0.5106454545454546,0.0
continue_only,MGC,1000,2020,250,-0.2813432,-0.289036328125,0.007693128125000004
continue_only,MGC,1000,2021,240,-0.4153954166666667,-0.3972216535433071,-0.01817376312335961
continue_only,MGC,1000,2022,240,-0.35929249999999996,-0.3573949416342413,-0.001897558365758667
continue_only,MGC,1000,2023,243,-0.4162057613168724,-0.40545859375000004,-0.010747167566872384
continue_only,MGC,1000,2024,243,-0.3195699588477366,-0.29511764705882354,-0.02445231178891305
continue_only,MGC,1000,2025,249,-0.10253052208835343,-0.10558110236220473,0.0030505802738513
continue_only,MGC,1000,2026,24,0.177875,0.177875,0.0
continue_only,MGC,1100,2020,244,-0.23003688524590166,-0.2201421686746988,-0.00989471657120286
continue_only,MGC,1100,2021,250,-0.33904600000000007,-0.3416792828685259,0.0026332828685258214
continue_only,MGC,1100,2022,252,-0.3229738095238095,-0.33093882352941173,0.007965014005602233
continue_only,MGC,1100,2023,251,-0.35146494023904384,-0.36660583657587553,0.015140896336831688
continue_only,MGC,1100,2024,250,-0.17021039999999998,-0.17289446640316206,0.002684066403162072
continue_only,MGC,1100,2025,254,-0.14695236220472438,-0.153616796875,0.00666443467027561
continue_only,MGC,1100,2026,23,0.462291304347826,0.462291304347826,0.0
continue_only,MNQ,0900,2024,216,-0.05267129629629629,-0.056514999999999996,0.0038437037037037033
continue_only,MNQ,0900,2025,241,-0.09713526970954356,-0.10086611570247933,0.003730845992935772
continue_only,MNQ,0900,2026,17,0.36838235294117644,0.36838235294117644,0.0
continue_only,MNQ,1000,2024,233,0.009292274678111606,0.004979059829059832,0.004313214849051774
continue_only,MNQ,1000,2025,253,-0.034900790513833976,-0.029493333333333316,-0.0054074571805006605
continue_only,MNQ,1000,2026,23,0.2897,0.2897,0.0
continue_only,MNQ,1100,2024,231,-0.09024199134199132,-0.08582188841201714,-0.004420102929974176
continue_only,MNQ,1100,2025,254,-0.007889370078740156,0.007907421875,-0.015796791953740157
continue_only,MNQ,1100,2026,23,0.4391739130434783,0.4391739130434783,0.0
