entry_model,confirm_bars,rr_target,condition,n,n_on,signals_per_year,avg_on,avg_off,uplift,perm_p,test2025_uplift
E0,3,2.0,same_dir,194,113,18.833333333333332,0.2833442477876106,0.19229753086419754,0.09104671692341304,0.3388704318936877,
E0,3,2.0,same_short,194,64,10.666666666666666,0.32535312499999997,0.20593384615384622,0.11941927884615375,0.28903654485049834,
E0,3,2.0,same_fast15,194,103,17.166666666666668,0.27475728155339807,0.21202197802197806,0.06273530353142001,0.33554817275747506,
E0,3,2.0,same_short_fast15,194,60,10.0,0.2756383333333333,0.2317589552238806,0.04387937810945272,0.43521594684385384,
E0,3,2.0,same_cont,194,112,18.666666666666668,0.2703071428571428,0.21121463414634148,0.05909250871080132,0.3920265780730897,
E0,3,2.5,same_dir,187,109,18.166666666666668,0.2304137614678899,0.19205769230769235,0.03835606916019754,0.34219269102990035,
E0,3,2.5,same_short,187,62,10.333333333333334,0.2377016129032258,0.2028648,0.034836812903225794,0.47840531561461797,
E0,3,2.5,same_fast15,187,100,16.666666666666668,0.24457900000000002,0.17974367816091952,0.0648353218390805,0.30564784053156147,
E0,3,2.5,same_short_fast15,187,59,9.833333333333334,0.19279491525423728,0.22438046875,-0.031585553495762725,0.5481727574750831,
E0,3,2.5,same_cont,187,108,18.0,0.24180648148148146,0.17696835443037978,0.06483812705110167,0.3122923588039867,
E0,3,3.0,same_dir,184,108,18.0,0.318474074074074,0.05818684210526318,0.2602872319688108,0.11295681063122924,
E0,3,3.0,same_short,184,61,10.166666666666666,0.2593573770491803,0.1869642276422764,0.07239314940690392,0.38205980066445183,
E0,3,3.0,same_fast15,184,99,16.5,0.32685151515151517,0.07598941176470587,0.2508621033868093,0.14950166112956811,
E0,3,3.0,same_short_fast15,184,58,9.666666666666666,0.19912413793103448,0.2164142857142857,-0.01729014778325122,0.46511627906976744,
E0,3,3.0,same_cont,184,107,17.833333333333332,0.33079626168224296,0.04444415584415587,0.2863521058380871,0.09966777408637874,
E0,3,4.0,same_dir,169,100,16.666666666666668,0.13788799999999998,-0.2109536231884058,0.3488416231884058,0.08970099667774087,
E0,3,4.0,same_short,169,59,9.833333333333334,0.24089152542372883,-0.1361781818181819,0.3770697072419107,0.12624584717607973,
E0,3,4.0,same_fast15,169,92,15.333333333333334,0.13803586956521735,-0.17488701298701298,0.31292288255223033,0.10963455149501661,
E0,3,4.0,same_short_fast15,169,56,9.333333333333334,0.14505535714285714,-0.07867345132743364,0.22372880847029078,0.2558139534883721,
E0,3,4.0,same_cont,169,99,16.5,0.14938181818181817,-0.22222571428571428,0.3716075324675324,0.08305647840531562,
E1,1,2.0,same_dir,793,470,78.33333333333333,0.018259787234042563,-0.057290712074303383,0.07555049930834595,0.27906976744186046,0.16284500000000002
