symbol,variant,open_side,year,setups,resolved,wins,hit_rate
MGC,touch_A_B,below,2020,12,12,6,0.5
MGC,touch_A_B,below,2021,8,8,2,0.25
MGC,touch_A_B,below,2022,2,2,0,0.0
MGC,touch_A_B,below,2023,6,6,0,0.0
MGC,touch_A_B,below,2024,3,3,2,0.6666666666666666
MGC,touch_A_B,below,2025,8,8,1,0.125
MGC,touch_A_B,below,2026,1,1,1,1.0
MNQ,close_A_B,above,2024,2,2,1,0.5
MNQ,close_A_B,above,2025,3,3,1,0.3333333333333333
MNQ,close_A_B,above,2026,1,1,1,1.0
MNQ,close_A_B,below,2024,1,1,1,1.0
MNQ,close_A_B,below,2025,3,3,1,0.3333333333333333
MNQ,first_touch_1h,above,2024,23,23,4,0.17391304347826086
MNQ,first_touch_1h,above,2025,21,21,2,0.09523809523809523
MNQ,first_touch_1h,above,2026,2,2,0,0.0
MNQ,first_touch_1h,below,2024,12,12,5,0.4166666666666667
MNQ,first_touch_1h,below,2025,28,28,3,0.10714285714285714
MNQ,first_touch_1h,below,2026,3,3,0,0.0
MNQ,touch_A_B,above,2024,12,12,6,0.5
MNQ,touch_A_B,above,2025,13,13,4,0.3076923076923077
MNQ,touch_A_B,above,2026,2,2,1,0.5
MNQ,touch_A_B,below,2024,8,8,5,0.625
MNQ,touch_A_B,below,2025,18,18,8,0.4444444444444444
