instrument,session,dst_regime,g_filter,stack_level,stack_label,n,n_baseline,pct_of_baseline,avg_r,win_rate,sharpe,pvalue,pvalue_bh,sample_class
MNQ,1000,all,G8,L4,size+dir+conc+vol,134,432,0.310200,0.032204,0.328358,0.406170,0.767553,0.938520,PRELIMINARY
MNQ,1000,all,G8,L5,size+dir+conc+vol+cal,125,432,0.289400,0.055210,0.336000,0.692251,0.626730,0.938520,PRELIMINARY
MGC,0900,winter,G4,L0,size,69,69,1.000000,0.358319,0.420290,4.779699,0.014796,0.138164,REGIME
MGC,0900,winter,G4,L1,size+dir,69,69,1.000000,0.358319,0.420290,4.779699,0.014796,0.138164,REGIME
MGC,0900,winter,G4,L2,size+conc,69,69,1.000000,0.358319,0.420290,4.779699,0.014796,0.138164,REGIME
MGC,0900,winter,G4,L3,size+dir+conc,69,69,1.000000,0.358319,0.420290,4.779699,0.014796,0.138164,REGIME
MGC,0900,winter,G4,L4,size+dir+conc+vol,55,69,0.797100,0.361236,0.418182,4.787052,0.029478,0.141494,REGIME
MGC,0900,winter,G4,L5,size+dir+conc+vol+cal,54,69,0.782600,0.369544,0.425926,4.858024,0.028704,0.141494,REGIME
MGC,0900,winter,G5,L0,size,58,58,1.000000,0.368464,0.413793,4.869393,0.023027,0.138164,REGIME
MGC,0900,winter,G5,L1,size+dir,58,58,1.000000,0.368464,0.413793,4.869393,0.023027,0.138164,REGIME
MGC,0900,winter,G5,L2,size+conc,58,58,1.000000,0.368464,0.413793,4.869393,0.023027,0.138164,REGIME
MGC,0900,winter,G5,L3,size+dir+conc,58,58,1.000000,0.368464,0.413793,4.869393,0.023027,0.138164,REGIME
MGC,0900,winter,G5,L4,size+dir+conc+vol,48,58,0.827600,0.343231,0.395833,4.543673,0.053226,0.212903,REGIME
MGC,0900,winter,G5,L5,size+dir+conc+vol+cal,47,58,0.810300,0.352394,0.404255,4.621550,0.051886,0.212903,REGIME
MGC,0900,winter,G6,L0,size,46,46,1.000000,0.293500,0.369565,3.874593,0.104801,0.251521,REGIME
MGC,0900,winter,G6,L1,size+dir,46,46,1.000000,0.293500,0.369565,3.874593,0.104801,0.251521,REGIME
MGC,0900,winter,G6,L2,size+conc,46,46,1.000000,0.293500,0.369565,3.874593,0.104801,0.251521,REGIME
MGC,0900,winter,G6,L3,size+dir+conc,46,46,1.000000,0.293500,0.369565,3.874593,0.104801,0.251521,REGIME
MGC,0900,winter,G6,L4,size+dir+conc+vol,41,46,0.891300,0.298561,0.365854,3.957768,0.118271,0.258045,REGIME
MGC,0900,winter,G6,L5,size+dir+conc+vol+cal,40,46,0.869600,0.308210,0.375000,4.039663,0.115586,0.258045,REGIME
MGC,0900,winter,G8,L0,size,33,33,1.000000,0.348709,0.363636,4.679614,0.100088,0.251521,REGIME
MGC,0900,winter,G8,L1,size+dir,33,33,1.000000,0.348709,0.363636,4.679614,0.100088,0.251521,REGIME
MGC,0900,winter,G8,L2,size+conc,33,33,1.000000,0.348709,0.363636,4.679614,0.100088,0.251521,REGIME
MGC,0900,winter,G8,L3,size+dir+conc,33,33,1.000000,0.348709,0.363636,4.679614,0.100088,0.251521,REGIME
MGC,0900,winter,G8,L4,size+dir+conc+vol,31,33,0.939400,0.319923,0.354839,4.272343,0.144462,0.288924,REGIME
MGC,0900,winter,G8,L5,size+dir+conc+vol+cal,30,33,0.909100,0.333500,0.366667,4.387685,0.140876,0.288924,REGIME
MGC,0900,summer,G4,L0,size,51,51,1.000000,0.042257,0.333333,0.571791,0.798057,0.815037,REGIME
MGC,0900,summer,G4,L1,size+dir,51,51,1.000000,0.042257,0.333333,0.571791,0.798057,0.815037,REGIME
MGC,0900,summer,G4,L2,size+conc,51,51,1.000000,0.042257,0.333333,0.571791,0.798057,0.815037,REGIME
MGC,0900,summer,G4,L3,size+dir+conc,51,51,1.000000,0.042257,0.333333,0.571791,0.798057,0.815037,REGIME
MGC,0900,summer,G4,L4,size+dir+conc+vol,46,51,0.902000,-0.013998,0.304348,-0.193758,0.934392,0.934392,REGIME
MGC,0900,summer,G4,L5,size+dir+conc+vol+cal,44,51,0.862700,-0.093650,0.272727,-1.342053,0.577855,0.729922,REGIME
MGC,0900,summer,G5,L0,size,36,36,1.000000,0.253686,0.416667,3.264763,0.225438,0.386465,REGIME
MGC,0900,summer,G5,L1,size+dir,36,36,1.000000,0.253686,0.416667,3.264763,0.225438,0.386465,REGIME
MGC,0900,summer,G5,L2,size+conc,36,36,1.000000,0.253686,0.416667,3.264763,0.225438,0.386465,REGIME
MGC,0900,summer,G5,L3,size+dir+conc,36,36,1.000000,0.253686,0.416667,3.264763,0.225438,0.386465,REGIME
MGC,0900,summer,G5,L4,size+dir+conc+vol,34,36,0.944400,0.170971,0.382353,2.226096,0.419405,0.677755,REGIME
MGC,0900,summer,G5,L5,size+dir+conc+vol+cal,32,36,0.888900,0.073009,0.343750,0.974675,0.730695,0.815037,REGIME
MGC,0900,summer,G6,L0,size,23,23,1.000000,0.144778,0.347826,1.899706,0.571845,0.729922,INVALID
MGC,0900,summer,G6,L1,size+dir,23,23,1.000000,0.144778,0.347826,1.899706,0.571845,0.729922,INVALID
MGC,0900,summer,G6,L2,size+conc,23,23,1.000000,0.144778,0.347826,1.899706,0.571845,0.729922,INVALID
MGC,0900,summer,G6,L3,size+dir+conc,23,23,1.000000,0.144778,0.347826,1.899706,0.571845,0.729922,INVALID
MGC,0900,summer,G6,L4,size+dir+conc+vol,22,23,0.956500,0.072091,0.318182,0.965124,0.778312,0.815037,INVALID
MGC,0900,summer,G6,L5,size+dir+conc+vol+cal,20,23,0.869600,-0.094535,0.250000,-1.351734,0.707570,0.815037,INVALID
MGC,0900,summer,G8,L0,size,11,11,1.000000,0.315845,0.454545,3.627901,0.465956,0.677755,INVALID
MGC,0900,summer,G8,L1,size+dir,11,11,1.000000,0.315845,0.454545,3.627901,0.465956,0.677755,INVALID
MGC,0900,summer,G8,L2,size+conc,11,11,1.000000,0.315845,0.454545,3.627901,0.465956,0.677755,INVALID
MGC,0900,summer,G8,L3,size+dir+conc,11,11,1.000000,0.315845,0.454545,3.627901,0.465956,0.677755,INVALID
MGC,0900,summer,G8,L4,size+dir+conc+vol,10,11,0.909100,0.173040,0.400000,2.007143,0.698603,0.815037,INVALID
MGC,0900,summer,G8,L5,size+dir+conc+vol+cal,8,11,0.727300,-0.218287,0.250000,-2.798666,0.633311,0.779460,INVALID
MES,0030,winter,G4,L0,size,160,160,1.000000,-0.044683,0.343750,-0.535303,0.670292,0.883360,PRELIMINARY
MES,0030,winter,G4,L1,size+dir,160,160,1.000000,-0.044683,0.343750,-0.535303,0.670292,0.883360,PRELIMINARY
MES,0030,winter,G4,L2,size+conc,126,160,0.787500,0.013387,0.365079,0.158265,0.911074,0.911074,PRELIMINARY
MES,0030,winter,G4,L3,size+dir+conc,126,160,0.787500,0.013387,0.365079,0.158265,0.911074,0.911074,PRELIMINARY
MES,0030,winter,G4,L4,size+dir+conc+vol,76,160,0.475000,0.107087,0.394737,1.231167,0.501045,0.829315,REGIME
MES,0030,winter,G4,L5,size+dir+conc+vol+cal,69,160,0.431300,0.057707,0.376812,0.668196,0.727685,0.883360,REGIME
MES,0030,winter,G5,L0,size,157,157,1.000000,-0.042527,0.343949,-0.508569,0.688660,0.883360,PRELIMINARY
MES,0030,winter,G5,L1,size+dir,157,157,1.000000,-0.042527,0.343949,-0.508569,0.688660,0.883360,PRELIMINARY
MES,0030,winter,G5,L2,size+conc,123,157,0.783400,0.017556,0.365854,0.207050,0.885224,0.911074,PRELIMINARY
MES,0030,winter,G5,L3,size+dir+conc,123,157,0.783400,0.017556,0.365854,0.207050,0.885224,0.911074,PRELIMINARY
MES,0030,winter,G5,L4,size+dir+conc+vol,76,157,0.484100,0.107087,0.394737,1.231167,0.501045,0.829315,REGIME
MES,0030,winter,G5,L5,size+dir+conc+vol+cal,69,157,0.439500,0.057707,0.376812,0.668196,0.727685,0.883360,REGIME
MES,0030,winter,G6,L0,size,139,139,1.000000,-0.013516,0.352518,-0.159829,0.905683,0.911074,PRELIMINARY
MES,0030,winter,G6,L1,size+dir,139,139,1.000000,-0.013516,0.352518,-0.159829,0.905683,0.911074,PRELIMINARY
MES,0030,winter,G6,L2,size+conc,108,139,0.777000,0.036643,0.370370,0.428175,0.779783,0.891181,PRELIMINARY
MES,0030,winter,G6,L3,size+dir+conc,108,139,0.777000,0.036643,0.370370,0.428175,0.779783,0.891181,PRELIMINARY
MES,0030,winter,G6,L4,size+dir+conc+vol,71,139,0.510800,0.148066,0.408451,1.688417,0.373214,0.814284,REGIME
MES,0030,winter,G6,L5,size+dir+conc+vol+cal,64,139,0.460400,0.099311,0.390625,1.138671,0.568122,0.852182,REGIME
MES,0030,winter,G8,L0,size,100,100,1.000000,0.046385,0.370000,0.536443,0.736134,0.883360,PRELIMINARY
MES,0030,winter,G8,L1,size+dir,100,100,1.000000,0.046385,0.370000,0.536443,0.736134,0.883360,PRELIMINARY
MES,0030,winter,G8,L2,size+conc,79,100,0.790000,0.108828,0.392405,1.243851,0.488226,0.829315,REGIME
MES,0030,winter,G8,L3,size+dir+conc,79,100,0.790000,0.108828,0.392405,1.243851,0.488226,0.829315,REGIME
MES,0030,winter,G8,L4,size+dir+conc+vol,58,100,0.580000,0.220078,0.431034,2.470129,0.240918,0.608636,REGIME
MES,0030,winter,G8,L5,size+dir+conc+vol+cal,52,100,0.520000,0.198238,0.423077,2.226761,0.316542,0.723525,REGIME
MES,0030,summer,G4,L0,size,263,263,1.000000,0.181153,0.437262,2.139648,0.029712,0.118848,CORE
MES,0030,summer,G4,L1,size+dir,263,263,1.000000,0.181153,0.437262,2.139648,0.029712,0.118848,CORE
MES,0030,summer,G4,L2,size+conc,222,263,0.844100,0.219724,0.450450,2.580321,0.016247,0.097485,CORE
MES,0030,summer,G4,L3,size+dir+conc,222,263,0.844100,0.219724,0.450450,2.580321,0.016247,0.097485,CORE
MES,0030,summer,G4,L4,size+dir+conc+vol,136,263,0.517100,0.418262,0.522059,4.868845,0.000484,0.023208,PRELIMINARY
MES,0030,summer,G4,L5,size+dir+conc+vol+cal,121,263,0.460100,0.368173,0.504132,4.284477,0.003610,0.057758,PRELIMINARY
MES,0030,summer,G5,L0,size,220,220,1.000000,0.202007,0.440909,2.361800,0.028370,0.118848,CORE
MES,0030,summer,G5,L1,size+dir,220,220,1.000000,0.202007,0.440909,2.361800,0.028370,0.118848,CORE
MES,0030,summer,G5,L2,size+conc,189,220,0.859100,0.242535,0.455026,2.821578,0.015466,0.097485,PRELIMINARY
MES,0030,summer,G5,L3,size+dir+conc,189,220,0.859100,0.242535,0.455026,2.821578,0.015466,0.097485,PRELIMINARY
MES,0030,summer,G5,L4,size+dir+conc+vol,124,220,0.563600,0.410518,0.516129,4.747795,0.001145,0.027478,PRELIMINARY
MES,0030,summer,G5,L5,size+dir+conc+vol+cal,110,220,0.500000,0.364732,0.500000,4.219348,0.006265,0.075181,PRELIMINARY
MES,0030,summer,G6,L0,size,173,173,1.000000,0.133377,0.410405,1.553284,0.199829,0.532876,PRELIMINARY
MES,0030,summer,G6,L1,size+dir,173,173,1.000000,0.133377,0.410405,1.553284,0.199829,0.532876,PRELIMINARY
MES,0030,summer,G6,L2,size+conc,152,173,0.878600,0.198854,0.434211,2.297877,0.076329,0.244253,PRELIMINARY
MES,0030,summer,G6,L3,size+dir+conc,152,173,0.878600,0.198854,0.434211,2.297877,0.076329,0.244253,PRELIMINARY
