instrument,orb_label,orb_minutes,entry_model,rr_target,confirm_bars,filter_type,sample_size,win_rate,expr,sharpe,wfe,fdr_significant,wf_passed,status,promoted_at
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G8_FAST10,994,0.335,0.0934,0.0785,0.8277,True,True,active,2026-03-23 16:02:18.952828+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G8_NOMON,1000,0.321,0.0917,0.0748,0.843,True,True,active,2026-03-23 16:02:19.105565+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G6_CONT,1243,0.3355,0.0914,0.077,0.703,True,True,active,2026-03-23 16:02:18.488692+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G6,1248,0.3349,0.09,0.0759,0.6828,True,True,active,2026-03-23 16:02:18.783497+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G6_NOMON,1002,0.3204,0.09,0.0735,0.8545,True,True,active,2026-03-23 16:02:18.704514+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G6_FAST10,1061,0.3355,0.0894,0.0755,0.7654,True,True,active,2026-03-23 16:02:18.553486+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G4_CONT,1259,0.3352,0.0891,0.0752,0.6505,True,True,active,2026-03-23 16:02:17.884969+10:00
MNQ,LONDON_METALS,30,E2,3.0,1,ORB_G8_FAST10,593,0.2344,0.0887,0.0584,0.5983,False,True,active,2026-03-23 16:02:20.409167+10:00
MNQ,LONDON_METALS,15,E2,2.0,1,ORB_G8_NOMON,1008,0.3244,0.0887,0.0732,0.2029,True,True,active,2026-03-23 16:02:19.055521+10:00
MNQ,LONDON_METALS,5,E2,1.0,1,VOL_RV12_N20,828,0.5882,0.0878,0.0962,0.5628,True,True,active,2026-03-23 16:02:15.473198+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G4,1264,0.3347,0.0877,0.0741,0.6311,True,True,active,2026-03-23 16:02:18.065239+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,ORB_G5_CONT,1254,0.3341,0.0875,0.0739,0.6522,True,True,active,2026-03-23 16:02:18.148866+10:00
MNQ,LONDON_METALS,5,E2,2.5,1,ORB_G8_FAST5,820,0.2817,0.0873,0.0652,0.6836,False,True,active,2026-03-23 16:02:19.726749+10:00
MNQ,LONDON_METALS,5,E2,1.5,1,ORB_G8,1175,0.4068,0.0873,0.0862,0.7131,True,True,active,2026-03-23 16:02:17.686116+10:00
MNQ,LONDON_METALS,5,E2,2.0,1,NO_FILTER,1267,0.3346,0.0872,0.0737,0.6246,True,True,active,2026-03-23 16:02:17.805004+10:00
MNQ,LONDON_METALS,30,E2,2.0,1,ORB_G8_NOMON,994,0.3783,0.0862,0.0618,0.8493,False,True,active,2026-03-23 16:02:19.082372+10:00
