ledger_version,phase_name,shadow_action,written_at_utc,trading_day,family_id,instrument,orb_label,entry_model,rr_target,confirm_bars,direction,score_bucket,size_scalar,baseline_pnl_r,shadow_pnl_r,baseline_expectancy_r,shadow_expectancy_r_dev,cusum_severity,cusum_alarm,sr_alarm_ratio,sr_alarm,notes
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-13,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,3,1.349737,-1.0,-1.349737,0.071158,0.161814,3.906517,0,0.552986,0,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-16,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,5.045378,1,1.106805,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-18,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.3683,1.846845,0.071158,0.161814,3.77581,1,0.193939,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-20,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,1,1.219745,1.3771,1.679711,0.071158,0.161814,2.632167,1,0.043531,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-24,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,1,1.219745,-1.0,-1.219745,0.071158,0.161814,3.673087,1,0.12851,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-02-27,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,4.811948,1,0.302711,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-02,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,1,1.219745,-1.0,-1.219745,0.071158,0.161814,5.852869,1,0.573673,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-04,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,6.99173,1,1.145993,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-05,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.3279,1.792315,0.071158,0.161814,5.763246,1,0.209031,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-06,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,1,1.219745,-1.0,-1.219745,0.071158,0.161814,6.804166,1,0.41277,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-09,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,-1.0,-0.0,0.071158,0.161814,6.926083,1,0.304258,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-11,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.2783,1.725368,0.071158,0.161814,5.74804,1,0.06266,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-13,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.4092,1.902049,0.071158,0.161814,4.43688,1,0.015357,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-16,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,1.4373,0.0,0.071158,0.161814,4.558796,1,0.031961,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-18,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.3461,1.816881,0.071158,0.161814,3.311805,1,0.011024,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-19,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,3,1.349737,-1.0,-1.349737,0.071158,0.161814,4.450666,1,0.080155,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-20,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,-1.0,-1.349737,0.071158,0.161814,5.589527,1,0.211112,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-25,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,2,1.349737,1.4069,1.898945,0.071158,0.161814,4.280705,1,0.039717,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-26,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,-1.0,-0.0,0.071158,0.161814,4.402622,1,0.048651,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-03-30,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,1.4251,0.0,0.071158,0.161814,4.524539,1,0.054773,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-04-06,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,0,0.0,1.4498,0.0,0.071158,0.161814,4.646456,1,0.058967,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-04-09,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,,0.0,-1.0,-0.0,0.071158,0.161814,4.768372,1,0.061841,1,forward_monitor_only
1,SHADOW_ONLY,LOG_ONLY,2026-04-21T04:15:54.247292+00:00,2026-04-10,MNQ_TOKYO_OPEN_E2_RR1.5_CB1_O5_long,MNQ,TOKYO_OPEN,E2,1.5,1,long,,0.0,1.31,0.0,0.071158,0.161814,4.890289,1,0.063811,1,forward_monitor_only
