strategy_id,orb_label,entry_model,rr_target,confirm_bars,filter_type,regime_n,regime_wr,regime_exp_r,regime_sharpe,regime_maxdd,regime_validated,full_n,full_wr,full_exp_r,full_sharpe,full_maxdd,full_validated,delta_exp_r,delta_sharpe
MGC_1000_E2_RR3.0_CB1_ORB_L8,1000,E2,3.0,1,ORB_L8,233,0.3219,0.0082,0.0055,22.077,False,1239,0.2663,-0.3141,-0.268,413.2433,False,0.3223,0.2735
MGC_0900_E1_RR4.0_CB1_NO_FILTER,0900,E1,4.0,1,NO_FILTER,250,0.236,-0.094,-0.0566,39.0761,False,1229,0.1962,-0.416,-0.3335,524.0795,False,0.322,0.2769
MGC_0900_E1_RR2.5_CB4_ORB_L8,0900,E1,2.5,4,ORB_L8,221,0.3409,-0.0551,-0.0413,18.7346,False,1159,0.2786,-0.3764,-0.3612,441.1697,False,0.3213,0.3199
MGC_1100_E3_RR4.0_CB1_ORB_L4,1100,E3,4.0,1,ORB_L4,100,0.26,-0.0384,-0.0234,15.066,False,1016,0.1949,-0.3583,-0.2699,372.2787,False,0.3199,0.2465
MGC_2300_E3_RR4.0_CB3_ORB_L3,2300,E3,4.0,3,ORB_L3,34,0.2727,0.0003,0.0002,6.0,False,617,0.1997,-0.319,-0.2317,196.5143,False,0.3193,0.2319
MGC_1000_E2_RR4.0_CB4_ORB_L8,1000,E2,4.0,4,ORB_L8,224,0.2545,0.0414,0.023,20.6075,False,1209,0.208,-0.2777,-0.1935,362.6836,False,0.3191,0.2165
MGC_1800_E2_RR4.0_CB3_ORB_L2,1800,E2,4.0,3,ORB_L2,33,0.2727,0.0126,0.0074,14.0,False,721,0.2014,-0.3058,-0.2195,228.4105,False,0.3184,0.2269
MGC_0900_E1_RR2.5_CB4_ORB_L3,0900,E1,2.5,4,ORB_L3,146,0.3493,-0.0918,-0.0731,24.1999,False,1049,0.2758,-0.41,-0.4153,439.7582,False,0.3182,0.3422
MGC_0900_E2_RR2.5_CB4_NO_FILTER,0900,E2,2.5,4,NO_FILTER,242,0.3361,-0.0512,-0.0378,21.9354,False,1203,0.2777,-0.369,-0.348,452.2346,False,0.3178,0.3102
MGC_1800_E1_RR2.5_CB5_ORB_L3,1800,E1,2.5,5,ORB_L3,108,0.3796,0.0745,0.0538,14.6336,False,993,0.2946,-0.2429,-0.2056,249.2029,False,0.3174,0.2594
